"","component 1","component 2","component 3"
"Bh",485.8506312318,61.6044901333023,6.98627613269827
"Bh.sd",1.03963763678963,1.15612154591006,1.28595439843055
"DP",2.21314455028478,2.49921036059619,2.31614168817093
"DP.sd",1.02319083740318,1.14459887862285,1.23047828350108
"P",0.977860447558791,0.182378330328758,0.0298645066719501
"P.sd",0.0163020026167122,0.0184476736687292,0.0125190604855774
"S",0.940344433230862,1.00881963427712,1.09907821030199
"S.sd",0.0338146521438389,0.115053059108079,0.153996279094926
"OC.mean",0.798524534847591,0.175381521811209,0.0260318702158927
"OC.sd",0.0612947387732946,0.107034494030663,0.0403789882286144
"EC.mean",0.801596572120931,0.173071026268671,0.0253272763385517
"EC.sd",0.0607453083288566,0.106195696500145,0.0392560127053843
