"","component 1","component 2","component 3"
"Bh",2.68650277131472,1.78961236750613,0.844245747138605
"Bh.sd",0.0168819933705118,0.0630034949349769,0.109225568229634
"DP",0.345009780552137,0.397802812589503,0.364765123496067
"DP.sd",0.00995664241366441,0.0586533160891052,0.0900739533180793
"P",0.977860447558791,0.182378330328758,0.0298645066719501
"P.sd",0.0163020026167122,0.0184476736687292,0.0125190604855774
"S",0.940344433230862,1.00881963427712,1.09907821030199
"S.sd",0.0338146521438389,0.115053059108079,0.153996279094926
"OC.mean",0.798524534847591,0.175381521811209,0.0260318702158927
"OC.sd",0.0612947387732946,0.107034494030663,0.0403789882286144
"EC.mean",0.801596572120931,0.173071026268671,0.0253272763385517
"EC.sd",0.0607453083288566,0.106195696500145,0.0392560127053843
