"","component 1","component 2"
"Bh",2.86310384295954,1.75622372278624
"Bh.sd",0.048996326157085,0.0463020787505703
"DP",0.562332720650522,0.652583909234209
"DP.sd",0.0383554029821206,0.0333613028801938
"P",0.701221479394792,0.758384678758747
"P.sd",0.0457585989567208,0.0359675576802537
"S",1.1201052404004,1.06457339524374
"S.sd",0.0839617341169359,0.0613086389255933
"OC.mean",0.398127496628609,0.601872503371391
"OC.sd",0.0802601799727292,0.0927290413804412
"EC.mean",0.443664233893689,0.556467555175685
"EC.sd",0.0949745410737722,0.0717511800355869
