"","component 1","component 2"
"Bh",720.400382931766,1508.65844669256
"Bh.sd",1.01798769429457,1.20516364770247
"DP",1.65146329758991,7.37805276394367
"DP.sd",1.01497412755828,1.15992043560363
"P",0.734478034160829,0.260230372724399
"P.sd",0.0196172917591671,0.0210449694439781
"S",0.901634086269619,1.50224458803756
"S.sd",0.0346242794233775,0.111929813408458
"OC.mean",0.535750680606072,0.464294066325417
"OC.sd",0.0648561901683224,0.0822380531375282
"EC.mean",0.422941216914883,0.577058783085117
"EC.sd",0.0105493754779474,0.111833499726179
