"","component 1","component 2","component 3"
"Bh",2.43152087889401,1.43586452972544,0.0752000584968588
"Bh.sd",0.0249731622298285,0.0598231049522257,0.153559799307294
"DP",0.527841354082365,0.786310450438815,0.954242991659313
"DP.sd",0.0130572580118059,0.0699310089539172,0.10421515934761
"P",0.846218305186984,0.248528343507368,0.0640345029423757
"P.sd",0.0223009641471013,0.0253960075591658,0.0223592910564332
"S",1.10163995657737,1.02258202125049,1.14889632766019
"S.sd",0.0487339515483094,0.0767336243848539,0.0934830415995939
"OC.mean",0.629319095847506,0.284176301027021,0.0865046031254728
"OC.sd",0.0356522920197493,0.0991469058296646,0.1017144569964
"EC.mean",0.669915750800471,0.282322547567615,0.0477617016319131
"EC.sd",0.0605128998229426,0.102747519656091,0.0492631023532686
