[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866015863.48036,07/03/2022,2:15 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,149.06,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.28,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866017485.8237,2.00007653236389,24.9708499908447,,,5,,,,46.4299991726875,,,,,5.62901269234222E-5,4.74003352335695E-8,1.16590985888594,0.000703122287967128,1.87633749938488E-5,1.58001111994568E-8,1.87594903548933E-5,8.68909403933476E-9,3.8178892657385E-7,1.31963312587551E-8,3.00000010349289,1.00057637691498,19.98847910208,20,1,3,0.198013741605172,0.0064389091316054,2.87304283119738E-6,226.274993896484,1.99662923812866,2.00360894203186,24.9708499908447,24.9708499908447,,,2.58570027351379,,1,,,,,,1,1,1,2.00011587142944,0,1.99991860955032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866017587.42662,1.99947386980057,24.9708499908447,,,5,,,,46.4299991726875,,,,,5.46690150925207E-5,9.93396915095975E-9,1.07503865529873,0.000105158048346662,1.82230001270319E-5,3.3113221592433E-9,1.82197925282665E-5,2.70428914630152E-9,3.41897435974732E-7,1.91093554456751E-9,3.00000080729984,10.005763053894,10,100,1,3,0.190978625213272,0.0223913552640136,0.00379439885728061,252.776596069336,1.99629950523376,2.00392079353333,24.9708499908447,24.9708499908447,,,2.57259821891785,,1,,,,,,1,1,1,2.0000274181366,0,1.99991282489565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866017645.46697,1.99889993667603,24.9708499908447,,,5,,,,46.4299991726875,,,,,5.30483044991804E-5,4.09704453093301E-9,1.19700250376985,6.73515419544191E-5,1.7684594944355E-5,1.36582259664217E-9,1.76807357719735E-5,6.64880730502793E-10,3.69433224768536E-7,1.19306537109432E-9,2.99969010690367,100.057640075684,10,1000,1,3,0.184344190286607,0.0259674289139874,0.0124312611296773,197.974578857422,1.99747908115387,2.00341773033142,24.9708499908447,24.9708499908447,,,2.56678152084351,,1,,,,,,1,1,1,2.00012373924255,0,1.99983896679348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866017861.10408,11.9328331947327,24.9708499908447,,,5,,,,46.4299991726875,,,,,2.99530876915271E-5,5.26942206079189E-8,1.37792257115777,0.00145102102542697,9.98436226037964E-6,1.75647396687804E-8,9.98147508100883E-6,9.92486082202911E-9,2.40093635261184E-7,1.44919707871421E-8,3.0000000911814,1.00057637691498,19.98847910208,20,1,3,0.105353625007799,0.00381602835761541,0.000273185665719211,241.826599121094,11.9322490692139,11.9344902038574,24.9708499908447,24.9708499908447,,,5.22208213806152,,1,,,,,,1,1,1,11.9331750869751,0,11.9330629533337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866017964.12785,11.9330282211304,24.9708499908447,,,5,,,,46.4299991726875,,,,,2.90132372406682E-5,1.02187816164912E-8,1.23525058631247,0.000159803188310357,9.67105860834738E-6,3.4062533284105E-9,9.66881114783262E-6,3.04214560013432E-9,2.08484036888827E-7,1.53228975226326E-9,3.00000635045537,10.005763053894,10,100,1,3,0.101320224956345,0.0121655591455967,0.00379304122179747,253.829551696777,11.9321088790894,11.9346561431885,24.9708499908447,24.9708499908447,,,5.2270679473877,,1,,,,,,1,1,1,11.933349609375,0,11.933254648138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866018025.92613,11.9266076087952,24.9708499908447,,,5,,,,46.4299991726875,,,,,2.80546107912772E-5,2.84673411752129E-9,1.32154361029476,8.56938155374424E-5,9.35249604164437E-6,9.49008694642446E-10,9.35000835303901E-6,5.06302111460919E-10,2.15698880558781E-7,8.02667848139674E-10,2.99969234591032,100.057640075684,10,1000,1,3,0.0974619155272121,0.0139346444945496,0.0123434886336327,198.084213256836,11.9213008880615,11.9340305328369,24.9708499908447,24.9708499908447,,,5.22559642791748,,1,,,,,,1,1,1,11.9213953018188,0,11.9296388042216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866018244.52216,21.8670053482056,24.9708499908447,,,5,,,,46.4299991726875,,,,,2.31679755683339E-5,5.39013397478384E-8,1.83150328746761,0.0019668192845918,7.72265892419108E-6,1.79671141831852E-8,7.71871371516428E-6,9.58438808629211E-9,2.46818643386199E-7,1.51972595254196E-8,2.99999984406416,1.00057637691498,19.98847910208,20,1,3,0.0814625219551044,0.00359643755998207,0.000189767699339427,259.993370056152,21.8667259216309,21.8681735992432,24.9708499908447,24.9708499908447,,,5.85003852844238,,1,,,,,,1,1,1,21.8668441772461,0,21.8671466591432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866018346.24906,21.8667697906494,24.9708499908447,,,5,,,,46.4299991726875,,,,,2.19367582592973E-5,9.64536767604554E-9,2.00182871606429,0.000334849594827316,7.31226767954618E-6,3.21512912168758E-9,7.30780509485308E-6,2.08178181763176E-9,2.55427705966074E-7,2.45015096124736E-9,2.99999387613485,10.005763053894,10,100,1,3,0.0764779885400484,0.0102208391632329,0.00377462175674737,254.103736877441,21.8664875030518,21.8675193786621,24.9708499908447,24.9708499908447,,,5.85019397735596,,1,,,,,,1,1,1,21.8668403625488,0,21.8668004161907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866018405.13198,21.866849899292,24.9708499908447,,,5,,,,46.4299991726875,,,,,2.07799347624707E-5,2.94292830209967E-9,2.31139642768904,0.000121630757483494,6.92594214905577E-6,9.80876571661468E-10,6.92030715353704E-6,4.9780170011397E-10,2.793269639174E-7,8.45169992485534E-10,3.00030440844842,100.057640075684,10,1000,1,3,0.0720029881992162,0.0115519967602126,0.0123521694913507,198.03173828125,21.8664112091064,21.8673553466797,24.9708499908447,24.9708499908447,,,5.84769582748413,,1,,,,,,1,1,1,21.8669700622559,0,21.8668360917465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866018624.6049,31.8005685806274,24.9708499908447,,,5,,,,46.4299991726875,,,,,1.49990189884163E-5,5.22680434939488E-8,0.604627270641109,0.00229024820521877,4.9996728762686E-6,1.74226807469303E-8,4.99939449644084E-6,1.31320765608163E-8,5.27592518229556E-8,1.14498196322177E-8,3.0000000719268,1.00057637691498,19.98847910208,20,1,3,0.0527768562868119,0.0011983675070994,0.00015309987065848,262.843963623047,31.7983837127686,31.8041114807129,24.9708499908447,24.9708499908447,,,6.14489841461182,,1,,,,,,1,1,1,31.8007411956787,0,31.8012307279853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
