[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3872931113.02421,09/21/2022,4:23 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,62.2,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3872931344.25798
,3872932112.91793,99.9857864379883,49999.51953125,0.0640583083950094,7.91872524866939E-6,1,2,13.1008939743042,4.98022630988531,40.3899997472763,74.0243197257084,10.9136978385802,100,5.52325165580969E-5,,,,,,,,,,,,,,,,,,,,,99.9857864379883,99.9857864379883,49999.51953125,49999.51953125,52.8474674422364,5.74420964874807,7.62215280532837,26,1,0,0,1,0.289840698242188,31.7693061828613,1,1,1,99.9857864379883,0,2084573184,99.9857864379883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872932115.68165,99.9928894042969,49999.51953125,0.0640427782877654,4.43778133563717E-6,1,2,13.1008939743042,4.98011969482923,40.3899997472763,74.0041556220844,10.9106943354359,100,5.51931832711097E-5,,,,,,,,,,,,,,,,,,,,,99.9928894042969,99.9928894042969,49999.51953125,49999.51953125,52.8181563727652,5.74423895856039,7.61906623840332,26,1,0,0,1,0.298004150390625,31.7693061828613,6,1,1,99.9928894042969,0,2084573184,99.9928894042969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872932117.37534,99.9936065673828,49999.51953125,0.0640308384094022,8.85313996166917E-6,1,2,13.1008939743042,4.9800750852801,40.3899997472763,73.9890529987769,10.9110882361136,100,5.74024724231591E-5,,,,,,,,,,,,,,,,,,,,,99.9928894042969,99.9943237304687,49999.51953125,49999.51953125,52.8767785117075,5.74428920785578,7.62460470199585,26,1,0,0,1,0.290145874023438,33.2355842590332,6,1,1,99.9943237304687,0,2084573184,99.9936065673828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872932120.10126,99.9850540161133,49999.51953125,0.0640330816638806,7.22083494506664E-6,1,2,13.1008939743042,4.97993059070338,40.3899997472763,73.9890762492133,10.9080071462846,100,5.47918185055128E-5,,,,,,,,,,,,,,,,,,,,,99.976692199707,99.9934158325195,49999.51953125,49999.51953125,52.893583524871,5.74508364340785,7.61659717559814,26,1,0,0,1,0.290145874023438,31.2805480957031,2,1,1,99.976692199707,0,2084573184,99.9850540161133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872932122.07443,99.9607925415039,49999.51953125,0.0640359890011106,8.28260290891727E-6,1,2,13.1008939743042,4.97993059070338,40.3899997472763,73.9923489835676,10.9090936059877,100,5.53058866437936E-5,,,,,,,,,,,,,,,,,,,,,99.9470062255859,99.9745788574219,49999.51953125,49999.51953125,52.8810774685633,5.74508364340785,7.61565065383911,26,1,0,0,1,0.297012329101562,31.7693061828613,2,1,1,99.9470062255859,0,2084573184,99.9607925415039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872932124.02931,99.9220886230469,49999.51953125,0.0640563200395198,6.30244752045972E-6,1,2,13.1008939743042,4.97971516659633,40.3899997472763,74.0114566948543,10.9111658830356,100,5.46924754065644E-5,,,,,,,,,,,,,,,,,,,,,99.8971710205078,99.9470062255859,49999.51953125,49999.51953125,52.8810774685633,5.74598747011021,7.62117195129395,26,1,0,0,1,0.293121337890625,31.7693061828613,2,1,1,99.8971710205078,0,2084573184,99.9220886230469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872932126.04783,99.8694839477539,49999.51953125,0.0640795535368793,6.68212649526287E-6,1,2,13.1008939743042,4.97971516659633,40.3899997472763,74.0387391154646,10.9121336855903,100,5.2125054916224E-5,,,,,,,,,,,,,,,,,,,,,99.841796875,99.8971710205078,49999.51953125,49999.51953125,52.8740428118902,5.74598747011021,7.61837577819824,26,1,0,0,1,0.290603637695313,32.2580642700195,2,1,1,99.841796875,0,2084573184,99.8694839477539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872932128.04694,99.8061065673828,49999.51953125,0.0641218383779402,1.10379810640094E-5,1,2,13.1008939743042,4.97946567657994,40.3899997472763,74.0820854721412,10.9206376026167,100,5.39514648537143E-5,,,,,,,,,,,,,,,,,,,,,99.7759170532227,99.836296081543,49999.51953125,49999.51953125,52.949469963996,5.74699630842218,7.61742877960205,26,1,0,0,1,0.291671752929687,32.2580642700195,2,1,1,99.7759170532227,0,2084573184,99.8061065673828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872932129.97114,99.7332305908203,49999.51953125,0.064169063799503,8.8410888267593E-6,1,2,13.1008939743042,4.97928461072545,40.3899997472763,74.1330903071849,10.9265850054933,100,5.26599689387662E-5,,,,,,,,,,,,,,,,,,,,,99.690544128418,99.7759170532227,49999.51953125,49999.51953125,52.9350098363902,5.74739004486089,7.61437463760376,26,1,0,0,1,0.291976928710937,32.7468223571777,2,1,1,99.690544128418,0,2084573184,99.7332305908203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
