[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865576667.81968,06/28/2022,12:15 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,oil stained sst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,259.11,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.77,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865579642.24928,2.00020694732666,25.4597358703613,0.0124156033833128,5.70359422527915E-7,1,5,12.9061126708984,4.99317014462746,33.4499999880791,16.1785259570287,2.38827494491351,10,8.61710421573629E-6,,,,,,,,,,,,,,,,,,,,,2.00020694732666,2.00020694732666,25.4597358703613,25.4597358703613,49.9824081049957,5.4329330242165,2.51831412315369,65,1,0,0,1,0.273818969726562,31.7693061828613,1,1,1,2.00020694732666,0,2.00020694732666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865579645.77927,2.11278307437897,25.4597358703613,0.0124158341557618,9.34452192283253E-7,1,5,12.9061126708984,4.99319167520744,33.4499999880791,16.1790030884808,2.38779893622939,10,8.206862965285E-6,,,,,,,,,,,,,,,,,,,,,2.02458763122559,2.20097851753235,25.4597358703613,25.4597358703613,50.1399062516207,5.43293013810938,2.59100270271301,65,1,0,0,1,0.281524658203125,31.2805480957031,6,1,1,2.20097851753235,0,2.11278307437897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865579655.53551,3.02254223823547,25.4597358703613,0.0124137311173498,9.01505014168502E-7,1,5,12.9061126708984,4.99316860702636,33.4499999880791,16.1761757403091,2.38725702492884,10,8.1118668361228E-6,,,,,,,,,,,,,,,,,,,,,3.02254223823547,3.02254223823547,25.4597358703613,25.4597358703613,50.2774728710053,5.4329786728185,2.94789361953735,65,1,0,0,1,0.276336669921875,31.7693061828613,6,1,1,3.02254223823547,0,3.02254223823547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865579662.95232,4.11265659332275,25.4597358703613,0.00959613493484833,0.000116978138736226,1,5,12.9061126708984,4.99325917526764,33.4499999880791,12.5045412512237,1.84803609669263,10,8.24865413994605E-6,,,,,,,,,,,,,,,,,,,,,4.11265659332275,4.11265659332275,25.4597358703613,25.4597358703613,50.1250553097553,5.4330989942231,3.34714460372925,65,1,0,0,1,0.280380249023438,31.7693061828613,6,1,1,4.11265659332275,0,4.11265659332275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865579669.52055,5.04326581954956,25.4597358703613,0.00666466701364082,7.03364352366166E-5,1,5,12.9061126708984,4.9932713780131,33.4499999880791,8.68464589615105,1.28339200262367,10,5.65009149861695E-6,,,,,,,,,,,,,,,,,,,,,5.04326581954956,5.04326581954956,25.4597358703613,25.4597358703613,50.0687780563707,5.43266418648606,3.63904690742493,65,1,0,0,1,0.274581909179687,31.2805480957031,6,1,1,5.04326581954956,0,5.04326581954956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865579676.9506,6.00188398361206,25.4597358703613,0.0044269112702357,2.11125141758832E-5,1,5,12.9061126708984,4.99323726688069,33.4499999880791,5.76875582918549,0.851396311907284,10,2.9315035490731E-6,,,,,,,,,,,,,,,,,,,,,6.00188398361206,6.00188398361206,25.4597358703613,25.4597358703613,50.127400195313,5.43253618046527,3.93054056167603,65,1,0,0,1,0.28228759765625,31.2805480957031,6,1,1,6.00188398361206,0,6.00188398361206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865579683.62087,7.0373706817627,25.4597358703613,0.0038657341841134,1.76092744666608E-5,1,5,12.9061126708984,4.99330260413328,33.4499999880791,5.03757769367701,0.743446459117272,10,2.53203481881648E-6,,,,,,,,,,,,,,,,,,,,,7.0373706817627,7.0373706817627,25.4597358703613,25.4597358703613,50.0722953847072,5.43232850845609,4.13802051544189,65,1,0,0,1,0.2752685546875,30.7917900085449,6,1,1,7.0373706817627,0,7.0373706817627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865579690.42677,8.02655410766602,25.4597358703613,0.00342166050850324,1.29129690171441E-5,1,5,12.9061126708984,4.99314462832521,33.4499999880791,4.45878738693434,0.65736111207762,10,1.73992306041746E-6,,,,,,,,,,,,,,,,,,,,,8.02655410766602,8.02655410766602,25.4597358703613,25.4597358703613,50.0269609305918,5.43309072262714,4.32381725311279,65,1,0,0,1,0.272750854492187,31.7693061828613,6,1,1,8.02655410766602,0,8.02655410766602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865579696.89794,9.02577209472656,25.4597358703613,0.00277601084696942,9.47205312229626E-6,1,5,12.9061126708984,4.99318921690178,33.4499999880791,3.61750193182283,0.533195194826574,10,1.31035876238981E-6,,,,,,,,,,,,,,,,,,,,,9.02577209472656,9.02577209472656,25.4597358703613,25.4597358703613,50.2251037602168,5.4326913275247,4.48733234405518,65,1,0,0,1,0.275802612304687,31.2805480957031,6,1,1,9.02577209472656,0,9.02577209472656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865579704.28624,10.1392993927002,25.4597358703613,0.00251374022175545,8.304088263093E-6,1,5,12.9061126708984,4.9932377334415,33.4499999880791,3.2757970655544,0.482669493994561,10,1.0658447864686E-6,,,,,,,,,,,,,,,,,,,,,10.1392993927002,10.1392993927002,25.4597358703613,25.4597358703613,50.1105951821495,5.43299701202238,4.65579223632812,65,1,0,0,1,0.280990600585938,33.7243423461914,6,1,1,10.1392993927002,0,10.1392993927002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
