[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3872910347.70639,09/21/2022,10:37 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.51,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3872910578.43662
,3872911348.64306,100.062789916992,49999.51953125,0.0708408422598121,8.73019442882062E-5,1,2,13.1008939743042,4.99328775308143,36.7899984121323,82.1816535133353,11.9872233737953,100,-4.78969506986105E-5,,,,,,,,,,,,,,,,,,,,,100.062789916992,100.062789916992,49999.51953125,49999.51953125,52.4066289573901,5.75072706462357,7.4851222038269,26,1,0,0,1,0.302352905273438,31.2805480957031,1,1,1,100.06339263916,0,2084573184,100.062789916992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911351.42388,100.070014953613,49999.51953125,0.0706535484326793,6.87159068109708E-6,1,2,13.1008939743042,4.99436820865923,36.7899984121323,81.9781947657343,12.0343377287326,100,1.70254668261782E-5,,,,,,,,,,,,,,,,,,,,,100.070014953613,100.070014953613,49999.51953125,49999.51953125,52.4441471263132,5.72339151479395,7.48630619049072,26,1,0,0,1,0.300750732421875,31.7693061828613,6,1,1,100.070014953613,0,2084573184,100.070014953613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911353.17149,100.069904327393,49999.51953125,0.0706375072294784,9.16599929690331E-6,1,2,13.1008939743042,4.99433696698509,36.7899984121323,81.9586301777581,12.0330990360778,100,1.8399653093452E-5,,,,,,,,,,,,,,,,,,,,,100.069290161133,100.070518493652,49999.51953125,49999.51953125,52.4011575577555,5.72365524980153,7.4800910949707,26,1,0,0,1,0.3009033203125,32.2580642700195,6,1,1,100.067451477051,0,2084573184,100.069904327393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911355.8817,100.058143615723,49999.51953125,0.0706421567263985,8.02520328433021E-6,1,2,13.1008939743042,4.99422516352346,36.7899984121323,81.9618675334889,12.030702799624,100,1.59781207802153E-5,,,,,,,,,,,,,,,,,,,,,100.050590515137,100.065696716309,49999.51953125,49999.51953125,52.5860127025536,5.72407760370333,7.47659683227539,26,1,0,0,1,0.302658081054687,32.7468223571777,2,1,1,100.050590515137,0,2084573184,100.058143615723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911357.84187,100.026927947998,49999.51953125,0.070649764436101,7.31737890550536E-6,1,2,13.1008939743042,4.99422516352346,36.7899984121323,81.9709877276345,12.0299962624805,100,1.4254249878686E-5,,,,,,,,,,,,,,,,,,,,,100.008445739746,100.04541015625,49999.51953125,49999.51953125,52.4648602820729,5.72407760370333,7.47442674636841,26,1,0,0,1,0.3021240234375,31.7693061828613,2,1,1,100.008445739746,0,2084573184,100.026927947998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911359.82963,99.9805374145508,49999.51953125,0.0706728225912245,9.19366684672084E-6,1,2,13.1008939743042,4.99423227490102,36.7899984121323,81.9985545032228,12.0295099899266,100,1.04352337827568E-5,,,,,,,,,,,,,,,,,,,,,99.960334777832,100.00074005127,49999.51953125,49999.51953125,52.504332522294,5.72423333129723,7.4833517074585,26,1,0,0,1,0.301361083984375,31.7693061828613,2,1,1,99.960334777832,0,2084573184,99.9805374145508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911361.80194,99.9265441894531,49999.51953125,0.0707061646441746,8.22922447425183E-6,1,2,13.1008939743042,4.9942566643825,36.7899984121323,82.0377154388553,12.0358501224025,100,1.09422256453366E-5,,,,,,,,,,,,,,,,,,,,,99.8983459472656,99.9547424316406,49999.51953125,49999.51953125,52.5242640495344,5.72373384315211,7.47802829742432,26,1,0,0,1,0.302963256835937,31.7693061828613,2,1,1,99.8983459472656,0,2084573184,99.9265441894531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911363.82697,99.8622589111328,49999.51953125,0.0707461692446632,8.83318759332309E-6,1,2,13.1008939743042,4.9942566643825,36.7899984121323,82.0830963839403,12.0497214154227,100,1.7034461616302E-5,,,,,,,,,,,,,,,,,,,,,99.8299102783203,99.8946075439453,49999.51953125,49999.51953125,52.4926080945055,5.72373384315211,7.4752984046936,26,1,0,0,1,0.30303955078125,31.7693061828613,2,1,1,99.8299102783203,0,2084573184,99.8622589111328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911365.70962,99.7753372192383,49999.51953125,0.0708037613840094,7.9171892464183E-6,1,2,13.1008939743042,4.99411787439977,36.7899984121323,82.1467722215981,12.0587103887282,100,1.67457821534337E-5,,,,,,,,,,,,,,,,,,,,,99.7207641601562,99.8299102783203,49999.51953125,49999.51953125,52.509413107669,5.72424874929356,7.47280550003052,26,1,0,0,1,0.301284790039063,31.7693061828613,2,1,1,99.7207641601562,0,2084573184,99.7753372192383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911367.7299,99.6690101623535,49999.51953125,0.070870986603864,1.38648680564295E-5,1,2,13.1008939743042,4.99391318259484,36.7899984121323,82.2201372645999,12.0688574710567,100,1.62364113511858E-5,,,,,,,,,,,,,,,,,,,,,99.6172561645508,99.7207641601562,49999.51953125,49999.51953125,52.4969070513613,5.72484498160374,7.47180938720703,26,1,0,0,1,0.3009033203125,31.7693061828613,2,1,1,99.6172561645508,0,2084573184,99.6690101623535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911369.75307,99.5557632446289,49999.51953125,0.0709646649138196,1.19987659226344E-5,1,2,13.1008939743042,4.99391318259484,36.7899984121323,82.3290055345917,12.0835241350625,100,1.51493103602858E-5,,,,,,,,,,,,,,,,,,,,,99.5063247680664,99.6052017211914,49999.51953125,49999.51953125,52.4797112239382,5.72484498160374,7.46201276779175,25,1,64,0,0,0.300979614257812,30.7917900085449,2,1,1,99.5063247680664,0,2084573184,99.5557632446289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911380.80612,98.4831695556641,49999.51953125,0.0717115528184486,1.44456632215117E-5,1,2,13.1008939743042,4.99434853126351,36.7899984121323,83.2030281480073,12.2301274918997,100,3.07667770035427E-5,,,,,,,,,,,,,,,,,,,,,98.4831695556641,98.4831695556641,49999.51953125,49999.51953125,52.4730673815248,5.72360759167615,7.45415496826172,26,1,0,0,1,0.302963256835937,31.7693061828613,2,1,1,98.4831695556641,0,2084573184,98.4831695556641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911386.68476,97.6630554199219,49999.51953125,0.0724931468863466,1.758156101182E-5,1,2,13.1008939743042,4.99435003598354,36.7899984121323,84.1174194977213,12.3121547360723,1000,-1.30890156163647E-5,,,,,,,,,,,,,,,,,,,,,97.6630554199219,97.6630554199219,49999.51953125,49999.51953125,52.5180110213805,5.72367011633925,7.45163869857788,26,1,0,0,1,0.302886962890625,32.2580642700195,2,1,1,97.6355895996094,0,2084573184,97.6630554199219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911387.65155,97.4827766418457,49999.51953125,0.0728010898417759,1.85376374215136E-5,1,2,13.1008939743042,4.99424795429219,36.7899984121323,84.4722975743492,12.3642775222868,1000,-1.29929472019764E-5,,,,,,,,,,,,,,,,,,,,,97.329963684082,97.6355895996094,49999.51953125,49999.51953125,52.5367701058421,5.72399847829446,7.44121742248535,26,1,0,0,1,0.301284790039063,32.2580642700195,2,1,1,97.329963684082,0,2084573184,97.4827766418457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911389.66054,97.1237640380859,49999.51953125,0.0731362238223645,1.89689940811148E-5,1,2,13.1008939743042,4.99418548063023,36.7899984121323,84.8614960005035,12.4085357768906,1000,-2.37762785800812E-5,,,,,,,,,,,,,,,,,,,,,96.9803695678711,97.2671585083008,49999.51953125,49999.51953125,52.6102431866498,5.72425278304484,7.43996238708496,24,1,64,0,0,0.302352905273438,32.2580642700195,2,1,1,96.9803695678711,0,2084573184,97.1237640380859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911396.61621,95.8540878295898,49999.51953125,0.0741560098233033,2.73292933240924E-5,1,2,13.1008939743042,4.99440887001974,36.7899984121323,86.0428459434712,12.6322820137018,100,1.89295515578627E-5,,,,,,,,,,,,,,,,,,,,,95.8540878295898,95.8540878295898,49999.51953125,49999.51953125,52.5223099782363,5.72272490048499,7.43904066085815,26,1,0,0,1,0.3021240234375,32.7468223571777,2,1,1,95.8540878295898,0,2084573184,95.8540878295898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911397.57958,95.7172393798828,49999.51953125,0.0745383455588842,2.07891352557195E-5,1,2,13.1008939743042,4.99440887001974,36.7899984121323,86.4847058075774,12.7094373796855,100,2.9390914629246E-5,,,,,,,,,,,,,,,,,,,,,95.5803909301758,95.8540878295898,49999.51953125,49999.51953125,52.5785872316209,5.72272490048499,7.43497228622436,26,1,0,0,1,0.301361083984375,32.2580642700195,2,1,1,95.5803909301758,0,2084573184,95.7172393798828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911399.74135,95.2945098876953,49999.51953125,0.0749956527251526,2.6929912243537E-5,1,2,13.1008939743042,4.99434019115364,36.7799997329712,87.0110966283694,12.804457237315,100,4.44734017572393E-5,,,,,,,,,,,,,,,,,,,,,95.1781311035156,95.410888671875,49999.51953125,49999.51953125,52.5801504886594,5.72588878858133,7.43600702285767,24,1,64,0,0,0.300827026367188,32.2580642700195,2,1,1,95.1781311035156,0,2084573184,95.2945098876953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911401.51861,94.9763984680176,49999.51953125,0.0753741915176065,2.31581157001342E-5,1,2,13.1008939743042,4.99434943576143,36.7700010538101,87.4524158920648,12.8561143305306,100,3.34884986277467E-5,,,,,,,,,,,,,,,,,,,,,94.7746658325195,95.1781311035156,49999.51953125,49999.51953125,52.4785387811594,5.72447897525483,7.42718505859375,26,1,0,0,1,0.301895141601562,33.7243423461914,2,1,1,94.7746658325195,0,2084573184,94.9763984680176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911403.52021,94.5792274475098,49999.51953125,0.0757437787534632,2.12443759099954E-5,1,2,13.1008939743042,4.99434943576143,36.7700010538101,87.8817477088569,12.9156000742436,100,3.05910573216264E-5,,,,,,,,,,,,,,,,,,,,,94.4216918945313,94.7367630004883,49999.51953125,49999.51953125,52.4679867961498,5.72447897525483,7.425865650177,26,1,0,0,1,0.301742553710937,32.2580642700195,2,1,1,94.4216918945313,0,2084573184,94.5792274475098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872911405.44439,94.2400970458984,49999.51953125,0.0761153421901389,2.64733149445575E-5,1,2,13.1008939743042,4.99440285553599,36.7700010538101,88.3104536524387,13.004558558895,100,5.26366875160023E-5,,,,,,,,,,,,,,,,,,,,,94.0960922241211,94.3841018676758,49999.51953125,49999.51953125,52.5770239745825,5.72406603357834,7.43278360366821,26,1,0,0,1,0.30181884765625,32.2580642700195,2,1,1,94.0960922241211,0,2084573184,94.2400970458984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
