[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866030370.69556,07/03/2022,6:17 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,127.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,55.07,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866031405.71542,100.001640319824,49999.6875,0.133515297751603,3.93294460703773E-5,1,2,12.9061126708984,4.97624207978205,40.3099991381168,173.157209859625,25.5330279263911,100,7.11978218931493E-5,,,,,,,,,,,,,,,,,,,,,100.001640319824,100.001640319824,49999.6875,49999.6875,49.9503613357072,5.37831122640948,7.40670585632324,26,1,0,0,1,0.276641845703125,29.8142719268799,1,1,1,100.001640319824,0,100.001640319824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031408.32125,100.001777648926,49999.6875,0.133518699656599,4.5284381946949E-5,1,2,12.9061126708984,4.97620226590519,40.3099991381168,173.161331242835,25.522100275009,100,6.24943037473066E-5,,,,,,,,,,,,,,,,,,,,,100.001777648926,100.001777648926,49999.6875,49999.6875,49.9202686377168,5.37830371931459,7.39815235137939,26,1,0,0,1,0.277481079101562,30.7917900085449,6,1,1,100.001777648926,0,100.001777648926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031409.5116,99.9967460632324,49999.6875,0.133512170345511,4.373199695502E-5,1,2,12.9061126708984,4.97624578435033,40.3099991381168,173.151286399782,25.5464029180165,100,8.19488083084215E-5,,,,,,,,,,,,,,,,,,,,,99.9917144775391,100.001777648926,49999.6875,49999.6875,49.9554419210822,5.37770992042437,7.39730930328369,26,1,0,0,1,0.278244018554687,30.3030319213867,6,1,1,99.9917144775391,0,99.9967460632324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031411.8717,99.9763565063477,49999.6875,0.13344131095741,4.27067047180736E-5,1,2,12.9061126708984,4.97629878030473,40.3099991381168,173.061846145255,25.5341544864346,100,8.26202629724003E-5,,,,,,,,,,,,,,,,,,,,,99.9609985351562,99.9917144775391,49999.6875,49999.6875,49.8850953543514,5.3782752690305,7.40224409103394,26,1,0,0,1,0.267333984375,29.3255138397217,2,1,1,99.9609985351562,0,99.9763565063477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031414.0167,99.9412422180176,49999.6875,0.133433760863065,3.58471070018072E-5,1,2,12.9061126708984,4.97629878030473,40.3099991381168,173.05487040093,25.5135411793385,100,6.78367746327809E-5,,,,,,,,,,,,,,,,,,,,,99.9277801513672,99.954704284668,49999.6875,49999.6875,49.980063219438,5.3782752690305,7.40470933914185,26,1,0,0,1,0.2862548828125,29.8142719268799,2,1,1,99.9277801513672,0,99.9412422180176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031416.19896,99.8813400268555,49999.6875,0.133383081946832,3.97586023413748E-5,1,2,12.9061126708984,4.97632166563471,40.3099991381168,172.986606729084,25.5289002524163,100,8.69964171568084E-5,,,,,,,,,,,,,,,,,,,,,99.8681945800781,99.8944854736328,49999.6875,49999.6875,49.9179237521591,5.37832111588224,7.39047193527222,26,1,0,0,1,0.276565551757813,30.3030319213867,2,1,1,99.8681945800781,0,99.8813400268555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031427.49069,99.323600769043,49999.6875,0.133620415473132,3.53456005181306E-5,1,2,12.9061126708984,4.97633414422049,40.3099991381168,173.310236382886,25.4708374414441,100,7.29460754377297E-6,,,,,,,,,,,,,,,,,,,,,99.323600769043,99.323600769043,49999.6875,49999.6875,49.919096194938,5.37879285816831,7.39229393005371,26,1,0,0,1,0.277175903320313,30.3030319213867,2,1,1,99.323600769043,0,99.323600769043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031435.06189,98.5817489624023,49999.6875,0.134448949152608,3.89069649757095E-5,1,2,12.9061126708984,4.97634570114637,40.3099991381168,174.41228679392,25.4461329723938,1000,-0.00013353690799772,,,,,,,,,,,,,,,,,,,,,98.5817489624023,98.5817489624023,49999.6875,49999.6875,49.8807963974957,5.37821475881766,7.38709020614624,26,1,0,0,1,0.277481079101562,30.3030319213867,2,1,1,98.5817489624023,0,98.5817489624023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031436.03178,98.4761161804199,49999.6875,0.134730248151012,3.9967404923095E-5,1,2,12.9061126708984,4.97634570114637,40.3099991381168,174.777832006557,25.4950604321984,1000,-0.000137140667525977,,,,,,,,,,,,,,,,,,,,,98.3704833984375,98.5817489624023,49999.6875,49999.6875,49.9874886903707,5.37821475881766,7.37954950332642,26,1,0,0,1,0.26702880859375,30.7917900085449,2,1,1,98.3704833984375,0,98.4761161804199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031447.08183,96.6026229858398,49999.6875,0.136941583348949,4.54283731796352E-5,1,2,12.9061126708984,4.97629386855303,40.3099991381168,177.645004903906,25.9053875532254,1000,-0.000145362893983829,,,,,,,,,,,,,,,,,,,,,96.6026229858398,96.6026229858398,49999.6875,49999.6875,49.868290341188,5.37843603201735,7.3719277381897,26,1,0,0,1,0.277557373046875,30.3030319213867,2,1,1,96.6026229858398,0,96.6026229858398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031448.09149,96.3996734619141,49999.6875,0.137430267678091,0.000139845956780137,1,2,12.9061126708984,4.97629386855303,40.3099991381168,178.255724623562,26.1558685910158,1000,-2.40370114908838E-5,,,,,,,,,,,,,,,,,,,,,96.1967239379883,96.6026229858398,49999.6875,49999.6875,49.9417634219957,5.37843603201735,7.36434459686279,26,1,0,0,1,0.277175903320313,30.3030319213867,2,1,1,96.1967239379883,0,96.3996734619141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031450.20163,95.9895973205566,49999.6875,0.138051830163854,4.15013004260503E-5,1,2,12.9061126708984,4.97628726461405,40.3099991381168,179.086529249036,26.1043993554113,1000,-0.000154996154745915,,,,,,,,,,,,,,,,,,,,,95.782470703125,96.1967239379883,49999.6875,49999.6875,49.875324997861,5.3786241341669,7.36264038085938,26,1,0,0,1,0.277786254882813,30.7917900085449,2,1,1,95.782470703125,0,95.9895973205566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031452.26165,95.5485458374023,49999.6875,0.138660761102134,5.41072014449113E-5,1,2,12.9061126708984,4.97624620234698,40.3099991381168,179.867186625746,26.268142893117,1000,-0.000117974393899637,,,,,,,,,,,,,,,,,,,,,95.4394760131836,95.6576156616211,49999.6875,49999.6875,49.9413726077361,5.37858110463609,7.36252927780151,26,1,0,0,1,0.276718139648438,30.3030319213867,2,1,1,95.4394760131836,0,95.5485458374023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866031454.03863,95.2949142456055,49999.6875,0.139197799095151,4.47150950222263E-5,1,2,12.9061126708984,4.97624620234698,40.3099991381168,180.572198539963,26.3128390483439,1000,-0.000162410298750982,,,,,,,,,,,,,,,,,,,,,95.1503524780273,95.4394760131836,49999.6875,49999.6875,49.9714653057264,5.37858110463609,7.3639817237854,26,1,0,0,1,0.277328491210938,29.8142719268799,2,1,1,95.1503524780273,0,95.2949142456055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
