[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3869996322.56049,08/18/2022,5:10 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Sandstone,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.01,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3869996746.15547
,3869997497.47608,99.9934005737305,49999.57421875,0.0684988171121984,5.81422120439793E-5,1,2,14.0008964538574,4.99652197499541,43.7600016593933,79.4805249082547,11.9925286666577,100,6.76212597534853E-5,,,,,,,,,,,,,,,,,,,,,99.9934005737305,99.9934005737305,49999.57421875,49999.57421875,52.3718464882844,6.12999720457296,7.95265913009644,28,1,0,0,1,0.337142944335937,31.7693061828613,1,1,1,99.9934005737305,0,2084574816,99.9934005737305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869997500.33281,100.000129699707,49999.57421875,0.0683975731652034,1.02140853532729E-5,1,2,14.0008964538574,4.99437836353083,43.7499992549419,79.3163354101374,11.9612600949467,100,6.20453515970729E-5,,,,,,,,,,,,,,,,,,,,,100.000129699707,100.000129699707,49999.57421875,49999.57421875,52.3800535877363,6.12903534995631,7.94741535186768,28,1,0,0,1,0.339584350585937,32.2580642700195,6,1,1,100.000129699707,0,2084574848,100.000129699707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869997502.03327,99.9991569519043,49999.57421875,0.0683803498343948,8.21796561134197E-6,1,2,14.0008964538574,4.99429726822122,43.7600016593933,79.2951859844298,11.9537975381083,100,5.84266957484158E-5,,,,,,,,,,,,,,,,,,,,,99.9977722167969,100.000541687012,49999.57421875,49999.57421875,52.4464920118709,6.12928655265723,7.94657850265503,28,1,0,0,1,0.338211059570313,32.2580642700195,6,1,1,99.9977722167969,0,2084573184,99.9991569519043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869997504.79628,99.9875869750977,49999.57421875,0.0683753098383741,4.51176874891516E-6,1,2,14.0008964538574,4.99417274879861,43.7600016593933,79.2851119174861,11.9622501888761,100,6.68304057671448E-5,,,,,,,,,,,,,,,,,,,,,99.9782485961914,99.9969253540039,49999.57421875,49999.57421875,52.3933412725632,6.12945852865247,7.94970560073853,28,1,0,0,1,0.34149169921875,31.7693061828613,2,1,1,99.9782485961914,0,2084573184,99.9875869750977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869997506.76308,99.9593315124512,49999.57421875,0.0683788654776377,6.52422254411025E-6,1,2,14.0008964538574,4.99417274879861,43.7600016593933,79.2908259402748,11.9522565052867,100,5.76802290151921E-5,,,,,,,,,,,,,,,,,,,,,99.9435653686523,99.97509765625,49999.57421875,49999.57421875,52.3409721617748,6.12945852865247,7.94156837463379,28,1,0,0,1,0.338592529296875,32.2580642700195,2,1,1,99.9435653686523,0,2084573184,99.9593315124512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869997508.7396,99.920597076416,49999.57421875,0.0683956869985926,6.83882965430413E-6,1,2,14.0008964538574,4.99410215744782,43.7600016593933,79.3078541729716,11.9610179554843,100,6.29179596615781E-5,,,,,,,,,,,,,,,,,,,,,99.8976287841797,99.9435653686523,49999.57421875,49999.57421875,52.4793204096786,6.12985842997009,7.94750356674194,28,1,0,0,1,0.338592529296875,33.7243423461914,2,1,1,99.8976287841797,0,2084573184,99.920597076416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869997510.75546,99.8667144775391,49999.57421875,0.0684120193564997,9.97847287747231E-6,1,2,14.0008964538574,4.99406397724121,43.7600016593933,79.3267217286539,11.958550626657,100,5.84529592640953E-5,,,,,,,,,,,,,,,,,,,,,99.839469909668,99.8939590454102,49999.57421875,49999.57421875,52.4566531826209,6.12992954479505,7.9394793510437,28,1,0,0,1,0.340652465820313,31.2805480957031,2,1,1,99.839469909668,0,2084573184,99.8667144775391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869997512.72604,99.8035278320312,49999.57421875,0.0684449777434669,6.098300049364E-6,1,2,14.0008964538574,4.99397111243949,43.7600016593933,79.3631864616657,11.9619011929753,100,5.66710343906148E-5,,,,,,,,,,,,,,,,,,,,,99.7675857543945,99.839469909668,49999.57421875,49999.57421875,52.519574278419,6.13030670065084,7.9420108795166,28,1,0,0,1,0.33721923828125,33.7243423461914,2,1,1,99.7675857543945,0,2084573184,99.8035278320312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869997514.71887,99.725399017334,49999.57421875,0.0684897737538911,7.21820589014656E-6,1,2,14.0008964538574,4.99397111243949,43.7600016593933,79.4132068666868,11.9825497476842,100,6.77628159116204E-5,,,,,,,,,,,,,,,,,,,,,99.6832122802734,99.7675857543945,49999.57421875,49999.57421875,52.4855734378325,6.13030670065084,7.93893766403198,28,1,0,0,1,0.337905883789063,32.7468223571777,2,1,1,99.6832122802734,0,2084573184,99.725399017334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
