[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865775653.75274,06/30/2022,7:31 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,139.94,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.2,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865776773.52633,100.001220703125,49999.5234375,0.0506647070694248,6.26087796725873E-6,1,2,12.9061126708984,4.98257452748191,43.0100001394749,65.8349023686737,9.6397699955673,100,-2.41816893748029E-5,,,,,,,,,,,,,,,,,,,,,100.001220703125,100.001220703125,49999.5234375,49999.5234375,49.8819688402745,5.40367788537743,7.19489860534668,26,1,0,0,1,0.271835327148438,30.3030319213867,1,1,1,100.001220703125,0,100.001220703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865776776.26325,100.001289367676,49999.5234375,0.0506646655748782,5.12595885277281E-6,1,2,12.9061126708984,4.98256295622373,43.0100001394749,65.8352674380622,9.63541611517029,100,-2.75022510985741E-5,,,,,,,,,,,,,,,,,,,,,100.001289367676,100.001289367676,49999.5234375,49999.5234375,49.8319446150437,5.40384331205494,7.20222949981689,26,1,0,0,1,0.270843505859375,30.3030319213867,6,1,1,100.001289367676,0,100.001289367676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865776778.05085,99.9855651855469,49999.5234375,0.0506552715513192,5.90186743322301E-6,1,2,12.9061126708984,4.98262613919074,43.0100001394749,65.8236427953644,9.6378224738275,100,-2.44023470513873E-5,,,,,,,,,,,,,,,,,,,,,99.969841003418,100.001289367676,49999.5234375,49999.5234375,49.7549542058995,5.40331434840078,7.20194053649902,26,1,0,0,1,0.271224975585938,30.3030319213867,6,1,1,99.969841003418,0,99.9855651855469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865776781.11153,99.9470405578613,49999.5234375,0.0506307292409153,6.56197924861006E-6,1,2,12.9061126708984,4.98264078766444,43.0100001394749,65.792746338378,9.62827102015087,100,-2.8178368476563E-5,,,,,,,,,,,,,,,,,,,,,99.9242401123047,99.969841003418,49999.5234375,49999.5234375,49.9061993243707,5.40334832910948,7.19713306427002,26,1,0,0,1,0.27191162109375,30.7917900085449,2,1,1,99.9242401123047,0,99.9470405578613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865776783.16659,99.8891067504883,49999.5234375,0.0506278418128421,6.70317481471152E-5,1,2,12.9061126708984,4.98266987546851,43.0100001394749,65.7760717799692,9.71943589794722,100,4.23460185040489E-5,,,,,,,,,,,,,,,,,,,,,99.8713531494141,99.9068603515625,49999.5234375,49999.5234375,49.8757158121207,5.40321617740127,7.19158744812012,26,1,0,0,1,0.271682739257813,30.3030319213867,2,1,1,99.8713531494141,0,99.8891067504883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865776784.91484,99.8388023376465,49999.5234375,0.0506118333723986,3.11638313068026E-6,1,2,12.9061126708984,4.98266987546851,43.0100001394749,65.7684166498051,9.62689921151435,100,-2.65189008138382E-5,,,,,,,,,,,,,,,,,,,,,99.8062515258789,99.8713531494141,49999.5234375,49999.5234375,49.8221742585533,5.40321617740127,7.19813537597656,26,1,0,0,1,0.272369384765625,30.3030319213867,2,1,1,99.8062515258789,0,99.8388023376465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865776786.95109,99.7591743469238,49999.5234375,0.0506186996271476,3.91402426161666E-6,1,2,12.9061126708984,4.98266881613538,43.0100001394749,65.778053811348,9.62320382147244,100,-3.03694082755836E-5,,,,,,,,,,,,,,,,,,,,,99.7212982177734,99.7970504760742,49999.5234375,49999.5234375,49.8307721722649,5.4032620790525,7.1914644241333,26,1,0,0,1,0.271530151367187,30.7917900085449,2,1,1,99.7212982177734,0,99.7591743469238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865776788.99303,99.6704406738281,49999.5234375,0.050636830405913,3.9023821344769E-6,1,2,12.9061126708984,4.98274826340589,43.0100001394749,65.8028343037487,9.62859899359022,100,-2.90469010592494E-5,,,,,,,,,,,,,,,,,,,,,99.6195831298828,99.7212982177734,49999.5234375,49999.5234375,49.8788423261976,5.40307997709138,7.18846130371094,26,1,0,0,1,0.270843505859375,30.7917900085449,2,1,1,99.6195831298828,0,99.6704406738281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865776791.35412,99.5483703613281,49999.5234375,0.0506679024859461,4.95884835257372E-6,1,2,12.9061126708984,4.98274826340589,43.0100001394749,65.8440540502708,9.62878000009777,100,-3.34724294075473E-5,,,,,,,,,,,,,,,,,,,,,99.4895858764648,99.6071548461914,49999.5234375,49999.5234375,49.8616464987745,5.40307997709138,7.18621349334717,26,1,0,0,1,0.271759033203125,30.3030319213867,2,1,1,99.4895858764648,0,99.5483703613281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865776794.30281,99.3457756042481,49999.5234375,0.0507632302868763,4.2795421818593E-6,1,2,12.9061126708984,4.98280339359966,43.0100001394749,65.9686907001319,9.64888102780407,100,-3.21230643758327E-5,,,,,,,,,,,,,,,,,,,,,99.2328491210937,99.4587020874023,49999.5234375,49999.5234375,49.8354619433803,5.40256186585933,7.18450260162354,26,1,0,0,1,0.271148681640625,30.7917900085449,2,1,1,99.2328491210937,0,99.3457756042481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
