[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865775653.75274,06/30/2022,7:31 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,139.94,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.2,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865781360.38005,1.99987709522247,50000.1875,0.36036750388355,2.67492429018819E-5,1,2,12.9061126708984,4.98362878229118,42.8100004792213,468.4074871121,68.5975481214771,1000,-0.00016316205032611,,,,,,,,,,,,,,,,,,,,,1.99987709522247,1.99987709522247,50000.1875,50000.1875,50.6886094721208,5.40543023943461,2.6223030090332,26,1,0,0,1,0.269393920898438,30.3030319213867,1,4,1,1.99987709522247,0,1.99987709522247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865781375.77962,1.9999440908432,48719.275390625,0.35765867650236,5.30986479962145E-5,1,2,12.9061126708984,4.98344258016305,42.8000018000603,464.840902940399,68.222857175294,1000,-5.07361217738081E-5,,,,,,,,,,,,,,,,,,,,,1.9999440908432,1.9999440908432,48714.25390625,48724.296875,50.7527030106977,5.40585170535107,2.61805057525635,26,1,0,0,1,0.270309448242187,29.8142719268799,1,6,1,1.9999440908432,0,1.9999440908432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865781386.63444,2.00006914138794,47635.453125,0.35427425914242,4.91360464094381E-5,1,2,12.9061126708984,4.98329212036953,42.8000018000603,460.407110189079,67.6806633860305,1000,3.14968081553521E-5,,,,,,,,,,,,,,,,,,,,,2.00006914138794,2.00006914138794,47635.453125,47635.453125,50.6237343050246,5.4060185071615,2.62920951843262,26,1,0,0,1,0.270233154296875,31.2805480957031,1,6,1,2.00006914138794,0,2.00006914138794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865781388.36705,1.99979019165039,47460.76953125,0.35310334416091,4.19385006544181E-5,1,2,12.9061126708984,4.9832604984286,42.8000018000603,458.873213392157,67.5115705138216,1000,7.3868283706913E-5,,,,,,,,,,,,,,,,,,,,,1.99951124191284,2.00006914138794,47306.08203125,47615.45703125,50.6237343050246,5.40648280437176,2.62676072120666,26,1,0,0,1,0.270538330078125,30.7917900085449,1,6,1,1.99951124191284,0,1.99979019165039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865781391.00878,1.99986755847931,47196.1640625,0.352520420439029,3.92737683514694E-5,1,2,12.9061126708984,4.9832604984286,42.8000018000603,458.116570444314,67.3940475553918,1000,6.90749213248779E-5,,,,,,,,,,,,,,,,,,,,,1.99951124191284,2.00022387504578,47106.12890625,47286.19921875,50.6264700048419,5.40648280437176,2.62564635276794,26,1,0,0,1,0.271453857421875,31.7693061828613,1,6,1,2.00022387504578,0,1.99986755847931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865781402.34288,1.99960017204285,46068.08203125,0.349590321488442,4.99329226508029E-5,1,2,12.9061126708984,4.98328686824117,42.8000018000603,454.30133455069,66.9079909110355,1000,0.000125146212752141,,,,,,,,,,,,,,,,,,,,,1.99960017204285,1.99960017204285,46068.08203125,46068.08203125,50.6417117609669,5.40584593360758,2.62506628036499,26,1,0,0,1,0.271453857421875,30.7917900085449,1,6,1,1.99960017204285,0,1.99960017204285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865781403.37353,1.99991011619568,45963.296875,0.348999536883629,4.29462179489447E-5,1,2,12.9061126708984,4.98328686824117,42.8100004792213,453.534469378589,66.788970652249,1000,0.000120356242593369,,,,,,,,,,,,,,,,,,,,,1.99960017204285,2.00022006034851,45878.43359375,46048.16015625,50.6084925488996,5.40584593360758,2.62279415130615,26,1,0,0,1,0.268936157226562,31.2805480957031,1,6,1,2.00022006034851,0,1.99991011619568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865781405.29539,1.99993538856506,45773.6796875,0.348431503040518,3.32439605360599E-5,1,2,12.9061126708984,4.983297753249,42.8100004792213,452.797680241029,66.6804917843536,1000,0.000120177757728785,,,,,,,,,,,,,,,,,,,,,1.99993371963501,1.99993705749512,45698.8359375,45848.5234375,50.62842407614,5.40577179300532,2.61898803710938,26,1,0,0,1,0.2691650390625,31.2805480957031,1,6,1,1.99993371963501,0,1.99993538856506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865781407.54897,2.00016105175018,45544.1015625,0.347810873820102,5.58124131054983E-5,1,2,12.9061126708984,4.98334219106215,42.8000018000603,452.001325128719,66.5318647650709,1000,9.6349622237907E-5,,,,,,,,,,,,,,,,,,,,,2.00004982948303,2.00027227401733,45489.2265625,45598.9765625,50.6401485039284,5.40575889545118,2.62514996528626,26,1,0,0,1,0.269851684570313,30.7917900085449,1,6,1,2.00027227401733,0,2.00016105175018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865781409.17651,2.00019192695618,45384.259765625,0.347244634874736,5.46838177001382E-5,1,2,12.9061126708984,4.98334219106215,42.8000018000603,451.267556435632,66.4093025404383,1000,8.5229655180438E-5,,,,,,,,,,,,,,,,,,,,,2.00011157989502,2.00027227401733,45289.2734375,45479.24609375,50.6041935920438,5.40575889545118,2.62639760971069,25,1,68,0,0,0.269851684570313,31.2805480957031,1,6,1,2.00011157989502,0,2.00019192695618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
