[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865775653.75274,06/30/2022,7:31 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,139.94,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.2,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865790403.35381,300.007446289063,50000.3515625,0.0143155838798474,1.5631009722968E-6,1,2,12.9061126708984,4.9938722066945,43.7299981713295,18.6589763949665,2.74786584750682,10,4.99988774850832E-6,,,,,,,,,,,,,,,,,,,,,300.007446289063,300.007446289063,50000.3515625,50000.3515625,49.8800147689764,5.39964797682591,7.40789604187012,26,1,0,0,1,0.271530151367187,30.7917900085449,1,4,1,300.007446289063,0,300.007446289063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790405.70203,300.007598876953,50000.33984375,0.0143152110152617,1.53603149433913E-6,1,2,12.9061126708984,4.99387833091842,43.7299981713295,18.6585947736824,2.74730697300962,10,4.62228203095918E-6,,,,,,,,,,,,,,,,,,,,,300.007598876953,300.007598876953,50000.33984375,50000.33984375,49.7862193466687,5.39980997033983,7.41452741622925,26,1,0,0,1,0.274734497070313,31.7693061828613,1,6,1,300.007598876953,0,300.007598876953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790421.38238,300.006866455078,48449.658203125,0.0139491506897106,3.52613425765687E-6,1,2,12.9061126708984,4.99389426185455,43.7299981713295,18.1908304187746,2.61389110311556,100,-4.39626280490773E-5,,,,,,,,,,,,,,,,,,,,,300.006866455078,300.006866455078,48444.6875,48454.62890625,49.8538302135822,5.3997088912466,7.41101932525635,26,1,0,0,1,0.27130126953125,31.7693061828613,1,6,1,300.006866455078,0,300.006866455078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790423.30939,300.006469726562,48259.826171875,0.0138328288270787,3.81128510333539E-6,1,2,12.9061126708984,4.9938733297995,43.7299981713295,18.0388672802732,2.59319436369649,100,-4.27400670727918E-5,,,,,,,,,,,,,,,,,,,,,300.006072998047,300.006866455078,48084.9921875,48434.66015625,49.8976014106591,5.39990057029897,7.42149209976196,26,1,0,0,1,0.270614624023438,31.2805480957031,1,6,1,300.006072998047,0,300.006469726562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790425.98304,300.005996704102,47990.16796875,0.0137735354195572,3.22119518340515E-6,1,2,12.9061126708984,4.99390218221005,43.7299981713295,17.9615004820351,2.5833932977672,100,-4.15644820813025E-5,,,,,,,,,,,,,,,,,,,,,300.005950927734,300.006042480469,47915.32421875,48065.01171875,49.868290341188,5.39956566923979,7.41211938858032,24,1,68,0,0,0.272140502929687,31.2805480957031,1,6,1,300.005950927734,0,300.005996704102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790432.83197,300.006011962891,47305.7421875,0.0135910862482729,4.68386582920875E-6,1,2,12.9061126708984,4.99396575202114,43.7299981713295,17.7209684237068,2.56912131761327,10,-2.57450108982452E-5,,,,,,,,,,,,,,,,,,,,,300.006011962891,300.006011962891,47305.7421875,47305.7421875,49.8780606976784,5.399549622911,7.41745615005493,13,1,68,0,0,0.27130126953125,31.2805480957031,1,6,1,300.006042480469,0,300.006011962891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790434.16673,300.00651550293,47170.861328125,0.0135339891236535,4.70521857071059E-6,1,2,12.9061126708984,4.99396575202114,43.7299981713295,17.6462816147701,2.55996022460026,10,-2.43848681058482E-5,,,,,,,,,,,,,,,,,,,,,300.006042480469,300.006988525391,47055.91015625,47285.8125,49.8854861686111,5.399549622911,7.41656351089478,13,1,68,0,0,0.272750854492187,31.7693061828613,1,6,1,300.006988525391,0,300.00651550293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790443.04722,300.005737304687,46287.25390625,0.0133151382408124,3.96039270394275E-6,1,2,12.9061126708984,4.9939016891241,43.7299981713295,17.3631501312857,2.50130211561303,100,-3.71990791464692E-5,,,,,,,,,,,,,,,,,,,,,300.005737304687,300.005737304687,46287.25390625,46287.25390625,49.8690719697072,5.39968022953873,7.4276008605957,24,1,68,0,0,0.271377563476562,31.7693061828613,1,6,1,300.005737304687,0,300.005737304687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790453.37067,300.006927490234,45253.96484375,0.01302616816616,3.56617506916702E-6,1,2,12.9061126708984,4.99394275787261,43.7299981713295,16.9860402802012,2.45034207309002,100,-3.38632429941266E-5,,,,,,,,,,,,,,,,,,,,,300.006927490234,300.006927490234,45249.0078125,45258.921875,49.8053692453899,5.3995491433748,7.43383359909058,25,1,68,0,0,0.272903442382813,31.2805480957031,1,6,1,300.006927490234,0,300.006927490234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790455.34604,300.007019042969,45054.48046875,0.0129100914813428,3.54855974986739E-6,1,2,12.9061126708984,4.9939475683435,43.7299981713295,16.8348574647119,2.42743680702873,100,-3.4385004618657E-5,,,,,,,,,,,,,,,,,,,,,300.007019042969,300.007019042969,44889.90234375,45219.05859375,49.9198778234572,5.39943539740636,7.43278455734253,24,1,68,0,0,0.270767211914062,31.2805480957031,1,6,1,300.007019042969,0,300.007019042969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790458.06237,300.006896972656,44790.09375,0.01285455665583,3.84479238468093E-6,1,2,12.9061126708984,4.99397270816121,43.7299981713295,16.7621214228761,2.41998329105096,100,-3.19575256586349E-5,,,,,,,,,,,,,,,,,,,,,300.006866455078,300.006927490234,44700.25,44879.9375,49.8788423261976,5.39946377390446,7.43542051315308,26,1,0,0,1,0.2716064453125,31.2805480957031,1,6,1,300.006866455078,0,300.006896972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790460.10989,300.006622314453,44580.31640625,0.0127991435081105,2.91044327989104E-6,1,2,12.9061126708984,4.99395643146968,43.7299981713295,16.6896722257244,2.41032389540731,100,-3.12185911252818E-5,,,,,,,,,,,,,,,,,,,,,300.006378173828,300.006866455078,44480.33984375,44680.29296875,49.9265216658707,5.3995810240851,7.43066501617432,25,1,68,0,0,0.271987915039062,31.2805480957031,1,6,1,300.006378173828,0,300.006622314453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790462.4712,300.006790161133,44350.623046875,0.0127406723935404,3.62625610795142E-6,1,2,12.9061126708984,4.9939502868871,43.7299981713295,16.6131373268076,2.40109040971254,100,-2.97089714854398E-5,,,,,,,,,,,,,,,,,,,,,300.006378173828,300.007202148438,44230.83203125,44470.4140625,49.8807963974957,5.39947469338967,7.43256616592407,26,1,0,0,1,0.272293090820313,31.7693061828613,1,6,1,300.007202148438,0,300.006790161133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790465.42636,300.006958007812,44051.1796875,0.0126240629238646,3.58317303231209E-6,1,2,12.9061126708984,4.99384369537761,43.7299981713295,16.4606065238375,2.37894624567738,100,-2.9511390429961E-5,,,,,,,,,,,,,,,,,,,,,300.006774902344,300.007141113281,43891.45703125,44210.90234375,49.873370926563,5.39967546204574,7.42844676971436,25,1,68,0,0,0.272750854492187,31.7693061828613,1,6,1,300.006774902344,0,300.006958007812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790468.09476,300.006530761719,43786.673828125,0.0125675247770794,3.29209670613931E-6,1,2,12.9061126708984,4.99384369537761,43.7299981713295,16.386811768977,2.36879735797126,100,-2.89914338394946E-5,,,,,,,,,,,,,,,,,,,,,300.006286621094,300.006774902344,43691.87890625,43881.46875,49.9276941086495,5.39967546204574,7.44071483612061,26,1,0,0,1,0.271224975585938,31.2805480957031,1,6,1,300.006286621094,0,300.006530761719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790470.34487,300.006378173828,43561.9453125,0.0125107497595496,3.1099412609759E-6,1,2,12.9061126708984,4.99385019768239,43.7299981713295,16.3123278262681,2.36139973320484,100,-2.63292471677834E-5,,,,,,,,,,,,,,,,,,,,,300.006256103516,300.006500244141,43462.0234375,43661.8671875,49.9116707240053,5.3997089380267,7.43377923965454,26,1,0,0,1,0.272369384765625,31.2805480957031,1,6,1,300.006500244141,0,300.006378173828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865790472.36083,300.006698608398,43362.205078125,0.0124513272449223,3.29933308787887E-6,1,2,12.9061126708984,4.99395717532313,43.7299981713295,16.2356944390296,2.34781850418478,100,-2.80728879874301E-5,,,,,,,,,,,,,,,,,,,,,300.006683349609,300.006713867188,43292.39453125,43432.015625,49.8960381536207,5.39920620409851,7.43134260177612,24,1,68,0,0,0.270919799804687,31.2805480957031,1,6,1,300.006713867188,0,300.006698608398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
