[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866083946.14096,07/04/2022,9:10 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,123.03,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,59.79,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866084950.10054,100.001998901367,49999.46484375,0.0461369492906702,2.49125715722832E-6,1,2,12.9061126708984,4.98631587976089,42.0500002801418,60.0192212060343,8.75663342173572,100,-4.57921456456274E-5,,,,,,,,,,,,,,,,,,,,,100.001998901367,100.001998901367,49999.46484375,49999.46484375,49.6302844570822,5.35078322061967,7.38684892654419,26,1,0,0,1,0.268402099609375,29.3255138397217,1,1,1,100.001998901367,0,100.001998901367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084953.54985,100.000144958496,49999.46484375,0.0461406192967841,6.03825958870875E-6,1,2,12.9061126708984,4.98631228424919,42.0500002801418,60.0244825883557,8.75359177365951,100,-4.86629594715581E-5,,,,,,,,,,,,,,,,,,,,,100.000144958496,100.000144958496,49999.46484375,49999.46484375,49.6005825733514,5.35110592793582,7.38897228240967,26,1,0,0,1,0.266876220703125,29.3255138397217,6,1,1,100.000144958496,0,100.000144958496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084954.39081,99.9917640686035,49999.46484375,0.0461424362466402,6.23764019919454E-6,1,2,12.9061126708984,4.98631228424919,42.0500002801418,60.0270142498239,8.75279302637886,100,-4.95439788050521E-5,,,,,,,,,,,,,,,,,,,,,99.9833831787109,100.000144958496,49999.46484375,49999.46484375,49.6033182731687,5.35110592793582,7.38814830780029,26,1,0,0,1,0.275955200195313,29.8142719268799,6,1,1,99.9833831787109,0,99.9917640686035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084956.6505,99.9648551940918,49999.46484375,0.0461380183272862,0.000112483291259922,1,2,12.9061126708984,4.98633038283514,42.0500002801418,60.0441996047259,8.59798307144793,100,-0.000167948965644347,,,,,,,,,,,,,,,,,,,,,99.955451965332,99.9742584228516,49999.46484375,49999.46484375,49.5599378903514,5.35068231389479,7.39567375183105,26,1,0,0,1,0.267105102539062,29.8142719268799,2,1,1,99.955451965332,0,99.9648551940918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084958.26693,99.9283027648926,49999.46484375,0.0461528057539327,5.43621002594322E-6,1,2,12.9061126708984,4.98630037029983,42.0500002801418,60.0393944279401,8.76091211535771,100,-4.48026888516451E-5,,,,,,,,,,,,,,,,,,,,,99.9011535644531,99.955451965332,49999.46484375,49999.46484375,49.5751796464764,5.35105443280382,7.38659954071045,26,1,0,0,1,0.27618408203125,29.3255138397217,2,1,1,99.9011535644531,0,99.9283027648926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084960.35562,99.8804931640625,49999.46484375,0.0461633129751179,5.70496191690595E-6,1,2,12.9061126708984,4.98630037029983,42.0500002801418,60.0541264509282,8.7556685196856,100,-5.03776872559267E-5,,,,,,,,,,,,,,,,,,,,,99.8598327636719,99.9011535644531,49999.46484375,49999.46484375,49.5626735901687,5.35105443280382,7.38368225097656,26,1,0,0,1,0.275955200195313,29.8142719268799,2,1,1,99.8598327636719,0,99.8804931640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084962.53266,99.8031806945801,49999.46484375,0.0461911040452574,1.10641985460499E-5,1,2,12.9061126708984,4.98627842150634,42.0500002801418,60.0881001965842,8.77319468245634,100,-4.09443690845249E-5,,,,,,,,,,,,,,,,,,,,,99.7580032348633,99.8483581542969,49999.46484375,49999.46484375,49.6177784007745,5.35088819663548,7.39284706115723,26,1,0,0,1,0.2777099609375,29.8142719268799,2,1,1,99.7580032348633,0,99.8031806945801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084973.87437,99.1159439086914,49999.46484375,0.0461542531891455,0.000239603214339168,1,2,12.9061126708984,4.98624611385529,42.0500002801418,60.037110208011,8.78317311802578,100,-2.77974784263046E-5,,,,,,,,,,,,,,,,,,,,,99.1159439086914,99.1159439086914,49999.46484375,49999.46484375,49.5986285020533,5.35103750355187,7.38097238540649,26,1,0,0,1,0.26763916015625,29.3255138397217,2,1,1,99.1159439086914,0,99.1159439086914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084975.77616,98.888313293457,49999.46484375,0.0465867487300336,1.28016180402331E-5,1,2,12.9061126708984,4.986235205513,42.0500002801418,60.6016335880831,8.85100197177372,100,-3.91660395598893E-5,,,,,,,,,,,,,,,,,,,,,98.7202377319336,99.0563888549805,49999.46484375,49999.46484375,49.5685358040629,5.3510506199284,7.37877941131592,26,1,0,0,1,0.267715454101562,29.8142719268799,2,1,1,98.7202377319336,0,98.888313293457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084978.44398,98.5611801147461,49999.46484375,0.0466917164421566,7.95122799811849E-6,1,2,12.9061126708984,4.98621412746173,42.0500002801418,60.7362688012377,8.88144131345502,100,-3.11436553118753E-5,,,,,,,,,,,,,,,,,,,,,98.4021224975586,98.7202377319336,49999.46484375,49999.46484375,49.6048815302072,5.35075618200405,7.36832475662231,26,1,0,0,1,0.276565551757813,29.8142719268799,2,1,1,98.4021224975586,0,98.5611801147461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084980.55866,98.2781829833984,49999.46484375,0.0468191182002159,8.47617892962491E-6,1,2,12.9061126708984,4.98623055168983,42.0500002801418,60.9030472925438,8.90045159877479,100,-3.52762122884954E-5,,,,,,,,,,,,,,,,,,,,,98.1542434692383,98.4021224975586,49999.46484375,49999.46484375,49.6259855002264,5.351302242082,7.37299203872681,26,1,0,0,1,0.268783569335938,30.7917900085449,2,1,1,98.1542434692383,0,98.2781829833984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084982.60429,98.0315818786621,49999.46484375,0.0469627132812348,9.19478642281186E-6,1,2,12.9061126708984,4.98623055168983,42.0500002801418,61.0891786866983,8.93223754923316,100,-3.19338000174828E-5,,,,,,,,,,,,,,,,,,,,,97.9379348754883,98.1252288818359,49999.46484375,49999.46484375,49.5939387309379,5.351302242082,7.37473487854004,26,1,0,0,1,0.26702880859375,29.8142719268799,2,1,1,97.9379348754883,0,98.0315818786621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084984.90818,97.6716804504394,49999.46484375,0.0471247677068405,9.10929169836225E-6,1,2,12.9061126708984,4.98621933885594,42.0500002801418,61.301373570839,8.95222387469777,100,-4.0353477941392E-5,,,,,,,,,,,,,,,,,,,,,97.5995101928711,97.7438507080078,49999.46484375,49999.46484375,49.5716623181399,5.35110174847058,7.36398315429688,25,1,64,0,0,0.266571044921875,30.3030319213867,2,1,1,97.5995101928711,0,97.6716804504394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084986.51342,97.4455223083496,49999.46484375,0.0473464646886907,7.21739014420598E-5,1,2,12.9061126708984,4.98624440462501,42.0500002801418,61.6028652104866,8.90818421707758,100,-0.000106830812967616,,,,,,,,,,,,,,,,,,,,,97.3075942993164,97.5834503173828,49999.46484375,49999.46484375,49.5661909185052,5.3508278136518,7.36886310577393,26,1,0,0,1,0.26702880859375,29.8142719268799,2,1,1,97.3075942993164,0,97.4455223083496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084988.50694,97.0976409912109,49999.46484375,0.0474810990996568,1.1992423781816E-5,1,2,12.9061126708984,4.98624440462501,42.0500002801418,61.7659256905833,9.01596978204888,100,-4.37412567580186E-5,,,,,,,,,,,,,,,,,,,,,96.8876876831055,97.3075942993164,49999.46484375,49999.46484375,49.5732255751783,5.3508278136518,7.36151361465454,26,1,0,0,1,0.2679443359375,29.8142719268799,2,1,1,96.8876876831055,0,97.0976409912109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084990.72525,96.6689834594727,49999.46484375,0.0476783250144292,1.20031429819008E-5,1,2,12.9061126708984,4.98625080408888,42.0500002801418,62.0237598857942,9.04553706501044,100,-4.99962103874722E-5,,,,,,,,,,,,,,,,,,,,,96.4719924926758,96.8659744262695,49999.46484375,49999.46484375,49.5869040742649,5.35114286348421,7.36153984069824,26,1,0,0,1,0.276947021484375,29.8142719268799,2,1,1,96.4719924926758,0,96.6689834594727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084992.74963,96.3627777099609,49999.46484375,0.0478801289161037,1.21226141615513E-5,1,2,12.9061126708984,4.98624517873596,42.0500002801418,62.2860712014035,9.08457523347346,100,-4.96186688322827E-5,,,,,,,,,,,,,,,,,,,,,96.2535629272461,96.4719924926758,49999.46484375,49999.46484375,49.6291120143033,5.35109904529607,7.35718202590942,26,1,0,0,1,0.27587890625,29.3255138397217,2,1,1,96.2535629272461,0,96.3627777099609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084995.12739,95.8402099609375,49999.46484375,0.0481220451181637,1.37993162769444E-5,1,2,12.9061126708984,4.98624517873596,42.0400016009808,62.6002799178389,9.13383843041151,100,-4.72837701727123E-5,,,,,,,,,,,,,,,,,,,,,95.787223815918,95.893196105957,49999.46484375,49999.46484375,49.6388823707937,5.35109904529607,7.36144304275513,24,1,64,0,0,0.266647338867187,28.8367557525635,2,1,1,95.787223815918,0,95.8402099609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866084996.57437,95.5267562866211,49999.46484375,0.0481658251465284,0.000228848579962646,1,2,12.9061126708984,4.98630072404352,42.0400016009808,62.690181005275,8.92468330073431,100,-0.000214627676235959,,,,,,,,,,,,,,,,,,,,,95.3030624389648,95.7504501342773,49999.46484375,49999.46484375,49.6091804870629,5.35051027268467,7.35290241241455,26,1,0,0,1,0.284652709960938,30.3030319213867,2,1,1,95.3030624389648,0,95.5267562866211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
