[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3873536498.21952,09/28/2022,4:32 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.23,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3873536838.93324
,3873537612.30875,99.9871215820312,49999.53125,0.0406481281361765,3.31368995061648E-5,1,2,13.1008939743042,4.99960053597762,29.6400003135204,47.2301126058599,6.95040994283615,100,2.41710340024036E-5,,,,,,,,,,,,,,,,,,,,,99.9871215820312,99.9871215820312,49999.53125,49999.53125,51.9775149003324,5.73074507477324,7.7015266418457,26,1,0,0,1,0.294570922851562,30.7917900085449,1,1,1,99.9871215820312,0,2084573184,99.9871215820312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873537615.11599,99.9937057495117,49999.53125,0.040545456540079,4.03692245534285E-6,1,2,13.1008939743042,5.00843724510345,29.6400003135204,47.2277653481345,6.94696495870143,100,2.1505361402057E-5,,,,,,,,,,,,,,,,,,,,,99.9937057495117,99.9937057495117,49999.53125,49999.53125,51.7934413840536,5.7301606255632,7.69474792480469,26,1,0,0,1,0.294876098632812,31.7693061828613,6,1,1,99.9942016601562,0,2084573184,99.9937057495117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873537616.75954,99.9944076538086,49999.53125,0.0405358119348934,3.60335930526666E-6,1,2,13.1008939743042,5.0084929518362,29.6400003135204,47.2176233178961,6.94297804771547,100,1.9403603914149E-5,,,,,,,,,,,,,,,,,,,,,99.9942016601562,99.9946136474609,49999.53125,49999.53125,51.7813261420055,5.72842527134082,7.69914436340332,26,1,0,0,1,0.29449462890625,31.7693061828613,6,1,1,99.9946136474609,0,2084573184,99.9944076538086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873537619.39177,99.985652923584,49999.53125,0.0405279744817249,3.22876027513181E-6,1,2,13.1008939743042,5.00869251052838,29.6400003135204,47.2105510039912,6.94592837397881,100,2.27527572530452E-5,,,,,,,,,,,,,,,,,,,,,99.976692199707,99.9946136474609,49999.53125,49999.53125,51.8704317931978,5.72555085119243,7.6894006729126,26,1,0,0,1,0.292434692382812,31.7693061828613,2,1,1,99.976692199707,0,2084573184,99.985652923584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873537621.3848,99.9595184326172,49999.53125,0.0405312011344324,3.30965333719092E-6,1,2,13.1008939743042,5.00869251052838,29.6400003135204,47.2149355876209,6.94221060681405,100,1.90886206070989E-5,,,,,,,,,,,,,,,,,,,,,99.9423446655273,99.976692199707,49999.53125,49999.53125,51.9591466301305,5.72555085119243,7.6943302154541,26,1,0,0,1,0.293960571289063,31.7693061828613,2,1,1,99.9423446655273,0,2084573184,99.9595184326172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873537623.43378,99.9185180664062,49999.53125,0.0405351334460631,3.89546335954985E-6,1,2,13.1008939743042,5.00868479868122,29.6400003135204,47.2188611236754,6.94664662285818,100,2.23329542815426E-5,,,,,,,,,,,,,,,,,,,,,99.8988037109375,99.938232421875,49999.53125,49999.53125,51.896616348592,5.72467092352979,7.68954229354858,26,1,0,0,1,0.293350219726562,32.7468223571777,2,1,1,99.8988037109375,0,2084573184,99.9185180664062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873537625.36283,99.8722534179688,49999.53125,0.0405492451520043,4.17229086793517E-6,1,2,13.1008939743042,5.00873304511823,29.6400003135204,47.2366571527438,6.94423586423423,100,1.81152222094116E-5,,,,,,,,,,,,,,,,,,,,,99.845703125,99.8988037109375,49999.53125,49999.53125,51.8469829376209,5.72541870488793,7.68461132049561,26,1,0,0,1,0.2923583984375,31.7693061828613,2,1,1,99.845703125,0,2084573184,99.8722534179688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873537627.33923,99.8072929382324,49999.53125,0.0405704203872402,4.16426749741586E-6,1,2,13.1008939743042,5.00873304511823,29.6400003135204,47.2610991590014,6.94940066659765,100,1.94452439636709E-5,,,,,,,,,,,,,,,,,,,,,99.7688827514648,99.845703125,49999.53125,49999.53125,51.8430747950247,5.72541870488793,7.68987083435059,26,1,0,0,1,0.2978515625,31.7693061828613,2,1,1,99.7688827514648,0,2084573184,99.8072929382324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873537629.32663,99.7263221740723,49999.53125,0.0405966263819015,3.30950553735575E-6,1,2,13.1008939743042,5.00893774294886,29.6400003135204,47.2944258984611,6.95362341207259,100,1.88883824638303E-5,,,,,,,,,,,,,,,,,,,,,99.6837615966797,99.7688827514648,49999.53125,49999.53125,51.7578772864286,5.72471559868817,7.68851661682129,26,1,0,0,1,0.29205322265625,30.3030319213867,2,1,1,99.6837615966797,0,2084573184,99.7263221740723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
