[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865926910.48806,07/02/2022,1:32 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,102.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,59.08,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865927991.45545,100.000778198242,49999.7265625,0.0450115482097413,1.87567207105404E-5,1,2,12.9061126708984,4.98368520033794,36.5599989891052,58.5268540214165,8.43427358044891,100,-0.000123484963261379,,,,,,,,,,,,,,,,,,,,,100.000778198242,100.000778198242,49999.7265625,49999.7265625,49.9366828366207,5.43003653843262,7.23303318023682,26,1,0,0,1,0.267791748046875,29.8142719268799,1,1,1,100.000778198242,0,100.000778198242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865927994.18579,100.000061035156,49999.7265625,0.0450081006659326,4.33433446749122E-6,1,2,12.9061126708984,4.98362404635134,36.5599989891052,58.5077528944255,8.52611944937664,100,-5.22005376488149E-5,,,,,,,,,,,,,,,,,,,,,100.000061035156,100.000061035156,49999.7265625,49999.7265625,49.9405909792168,5.38345277873333,7.22460651397705,26,1,0,0,1,0.26824951171875,29.3255138397217,6,1,1,100.000061035156,0,100.000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865927995.84183,99.9789581298828,49999.7265625,0.0449901948623373,3.47232236122775E-6,1,2,12.9061126708984,4.98358842636596,36.5599989891052,58.4831626831488,8.52758665521579,100,-4.83752227843168E-5,,,,,,,,,,,,,,,,,,,,,99.9584274291992,99.9994888305664,49999.7265625,49999.7265625,49.9992131181591,5.38366482306608,7.23323774337769,26,1,0,0,1,0.2679443359375,30.3030319213867,6,1,1,99.9584274291992,0,99.9789581298828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865927998.53441,99.9329261779785,49999.7265625,0.0449645776608124,4.1808133286054E-6,1,2,12.9061126708984,4.98346914904474,36.5700013935566,58.4474946054727,8.52518382290694,100,-4.62399386649615E-5,,,,,,,,,,,,,,,,,,,,,99.9074249267578,99.9584274291992,49999.7265625,49999.7265625,50.0023396322361,5.38412996027046,7.22705030441284,26,1,0,0,1,0.268783569335938,30.3030319213867,2,1,1,99.9074249267578,0,99.9329261779785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865928000.69993,99.8802719116211,49999.7265625,0.0449283340447796,4.31665844049696E-5,1,2,12.9061126708984,4.98338232449198,36.5599989891052,58.3924561709678,8.56232954583123,100,-1.21729644127016E-5,,,,,,,,,,,,,,,,,,,,,99.8531188964844,99.9074249267578,49999.7265625,49999.7265625,50.0543179287649,5.38458094513895,7.23253345489502,26,1,0,0,1,0.270156860351562,29.8142719268799,2,1,1,99.8531188964844,0,99.8802719116211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865928002.75055,99.8097953796387,49999.7265625,0.04496604838934,5.34886929873381E-6,1,2,12.9061126708984,4.98338232449198,36.5599989891052,58.4483193828496,8.5229130826382,100,-4.80426439940664E-5,,,,,,,,,,,,,,,,,,,,,99.7882843017578,99.8313064575195,49999.7265625,49999.7265625,49.9628673920149,5.38458094513895,7.22739505767822,26,1,0,0,1,0.2691650390625,30.3030319213867,2,1,1,99.7882843017578,0,99.8097953796387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865928005.02394,99.7140693664551,49999.7265625,0.0450379803802881,5.88801656612641E-5,1,2,12.9061126708984,4.98333314457997,36.5599989891052,58.5455827927684,8.50528285901022,100,-7.20850799796863E-5,,,,,,,,,,,,,,,,,,,,,99.6974029541016,99.7307357788086,49999.7265625,49999.7265625,49.9620857634957,5.38483317244689,7.22506141662598,26,1,0,0,1,0.270538330078125,30.3030319213867,2,1,1,99.6974029541016,0,99.7140693664551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865928006.61467,99.6556396484375,49999.7265625,0.0450038957788461,4.26087006779748E-6,1,2,12.9061126708984,4.98328360735886,36.5599989891052,58.4954589925046,8.53275856047504,100,-4.58444762588372E-5,,,,,,,,,,,,,,,,,,,,,99.6138763427734,99.6974029541016,49999.7265625,49999.7265625,49.964821463313,5.3848665532439,7.22725582122803,26,1,0,0,1,0.267410278320313,28.3479976654053,2,1,1,99.6138763427734,0,99.6556396484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865928008.63325,99.5672836303711,49999.7265625,0.0450386644206748,4.25845562807407E-6,1,2,12.9061126708984,4.98328360735886,36.5599989891052,58.5407537242055,8.53865016179325,100,-4.6418946967092E-5,,,,,,,,,,,,,,,,,,,,,99.5206909179688,99.6138763427734,49999.7265625,49999.7265625,49.9487980786687,5.3848665532439,7.21787118911743,26,1,0,0,1,0.268630981445313,30.7917900085449,2,1,1,99.5206909179688,0,99.5672836303711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865928010.90782,99.421459197998,49999.7265625,0.0450831854451884,4.90267296239857E-6,1,2,12.9061126708984,4.98324550583111,36.5599989891052,58.597901663275,8.54761443261828,100,-4.59911530663423E-5,,,,,,,,,,,,,,,,,,,,,99.3522491455078,99.4906692504883,49999.7265625,49999.7265625,49.9409817934764,5.38512639938337,7.21318674087524,26,1,0,0,1,0.27008056640625,29.8142719268799,2,1,1,99.3522491455078,0,99.421459197998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
