[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865665655.29197,06/29/2022,12:58 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,253.08,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.27,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865667763.98752,1.99989020824432,26.4625797271729,0.00972306623265237,7.13335579953172E-7,1,5,12.9061126708984,4.99635194708944,40.8900007605553,12.6821169344549,1.86614440588206,10,2.25325909883177E-6,,,,,,,,,,,,,,,,,,,,,1.99989020824432,1.99989020824432,26.4625797271729,26.4625797271729,50.2305751598515,5.40071218876708,2.59774327278137,65,1,0,0,1,0.290069580078125,31.2805480957031,1,1,1,1.99989020824432,0,1.99989020824432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865667768.01223,2.28492856025696,26.4625797271729,0.00968128742095816,3.71916489589851E-6,1,5,12.9061126708984,4.9962938434372,40.8900007605553,12.627363682887,1.85846266140485,10,2.52504492955748E-6,,,,,,,,,,,,,,,,,,,,,2.10642313957214,2.46343398094177,26.4625797271729,26.4625797271729,50.2208048033611,5.40098458716853,2.80983781814575,65,1,0,0,1,0.277938842773438,31.2805480957031,6,1,1,2.46343398094177,0,2.28492856025696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865667773.94481,3.08284759521484,26.4625797271729,0.00850772227269092,9.18730248350585E-5,1,5,12.9061126708984,4.99629276086475,40.8900007605553,11.0964091202417,1.63496850315942,10,3.59058108366319E-6,,,,,,,,,,,,,,,,,,,,,3.01909780502319,3.14659738540649,26.4625797271729,26.4625797271729,50.1821141916592,5.40108565741209,3.13619494438171,65,1,0,0,1,0.28961181640625,31.7693061828613,6,1,1,3.14659738540649,0,3.08284759521484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865667781.01949,4.02598905563354,26.4625797271729,0.0057972888175709,7.74800758549307E-5,1,5,12.9061126708984,4.9962012929363,40.8900007605553,7.56093703582546,1.11493171949734,10,3.11245410567787E-6,,,,,,,,,,,,,,,,,,,,,4.00346851348877,4.04850959777832,26.4625797271729,26.4625797271729,50.1813325631399,5.40131974599654,3.49337863922119,65,1,0,0,1,0.289459228515625,31.7693061828613,6,1,1,4.04850959777832,0,4.02598905563354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865667788.03667,5.01631212234497,26.4625797271729,0.00404438389186111,4.38939317481821E-5,1,5,12.9061126708984,4.99612374391123,40.8900007605553,5.27467682213243,0.777611127600683,10,2.02885363346984E-6,,,,,,,,,,,,,,,,,,,,,5.01631212234497,5.01631212234497,26.4625797271729,26.4625797271729,50.2254945744765,5.40178970161263,3.78661727905273,65,1,0,0,1,0.288543701171875,30.7917900085449,6,1,1,5.01631212234497,0,5.01631212234497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865667795.10509,6.04434776306152,26.4625797271729,0.0024158817176489,1.68114984998836E-5,1,5,12.9061126708984,4.9960371407266,40.8900007605553,3.15078402136244,0.463993173151343,10,8.31944831100931E-7,,,,,,,,,,,,,,,,,,,,,6.04434776306152,6.04434776306152,26.4625797271729,26.4625797271729,50.1117676249284,5.40180053688684,4.07138204574585,65,1,0,0,1,0.27923583984375,31.2805480957031,6,1,1,6.04434776306152,0,6.04434776306152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865667801.7167,7.03016138076782,26.4625797271729,0.0019972759573457,1.19303800393538E-5,1,5,12.9061126708984,4.99604066856638,40.8900007605553,2.6049096859749,0.383139071052333,10,3.37214735563123E-7,,,,,,,,,,,,,,,,,,,,,7.03016138076782,7.03016138076782,26.4625797271729,26.4625797271729,50.1848498914765,5.40211220830198,4.28766965866089,65,1,0,0,1,0.27984619140625,30.7917900085449,6,1,1,7.03016138076782,0,7.03016138076782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865667808.17959,8.00486469268799,26.4625797271729,0.00168868458585662,9.13473210290824E-6,1,5,12.9061126708984,4.99594670610991,40.8900007605553,2.20238507910098,0.323879011312228,10,2.43566604794637E-7,,,,,,,,,,,,,,,,,,,,,8.00486469268799,8.00486469268799,26.4625797271729,26.4625797271729,50.2028273474188,5.40210184914124,4.49269437789917,65,1,0,0,1,0.2789306640625,31.2805480957031,6,1,1,8.00486469268799,0,8.00486469268799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865667815.62845,9.1110372543335,26.4625797271729,0.00125473667318199,5.8740827853767E-6,1,5,12.9061126708984,4.99587670525309,40.8900007605553,1.63642365310135,0.240467067046323,10,4.39151274485197E-8,,,,,,,,,,,,,,,,,,,,,9.1110372543335,9.1110372543335,26.4625797271729,26.4625797271729,50.2329200454092,5.40226737254476,4.67056369781494,65,1,0,0,1,0.279693603515625,30.7917900085449,6,1,1,9.1110372543335,0,9.1110372543335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865667821.7823,10.0196828842163,26.4625797271729,0.00109587430470115,4.88912272630353E-6,1,5,12.9061126708984,4.99585616781356,40.8900007605553,1.42923174131365,0.209992183597615,10,1.68034279926011E-8,,,,,,,,,,,,,,,,,,,,,10.0196828842163,10.0196828842163,26.4625797271729,26.4625797271729,50.1821141916592,5.40239058214828,4.82328176498413,65,1,0,0,1,0.27984619140625,30.7917900085449,6,1,1,10.0196828842163,0,10.0196828842163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
