[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866295882.90021,07/06/2022,8:02 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,109.85,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,59.56,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866296855.07469,100.000503540039,49999.8515625,0.0910576927600614,4.19776999704588E-5,1,2,12.9061126708984,4.97604783746606,34.4999991357327,118.130630114791,17.116097948023,100,-0.000180073792318659,,,,,,,,,,,,,,,,,,,,,100.000503540039,100.000503540039,49999.8515625,49999.8515625,49.6400548135726,5.39389568253043,7.06150722503662,26,1,0,0,1,0.268707275390625,29.8142719268799,1,1,1,100.000503540039,0,100.000503540039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296857.7841,100.000701904297,49999.8515625,0.0910740665284927,1.33175763220704E-5,1,2,12.9061126708984,4.97528668417369,34.4999991357327,118.09698583714,17.3159900866835,100,-2.54789006106907E-5,,,,,,,,,,,,,,,,,,,,,100.000701904297,100.000701904297,49999.8515625,49999.8515625,49.6736648398995,5.34600488324857,7.06326627731323,26,1,0,0,1,0.267486572265625,30.7917900085449,6,1,1,100.000701904297,0,100.000701904297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296859.55697,99.9813652038574,49999.8515625,0.0910815991665374,1.27051735596367E-5,1,2,12.9061126708984,4.97524705676273,34.4999991357327,118.105405101654,17.3173955603635,100,-2.53519118846535E-5,,,,,,,,,,,,,,,,,,,,,99.962028503418,100.000701904297,49999.8515625,49999.8515625,49.6717107686014,5.34607895614023,7.05945014953613,26,1,0,0,1,0.268020629882813,33.2355842590332,6,1,1,99.962028503418,0,99.9813652038574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296863.08327,99.923095703125,49999.8515625,0.0911022779708211,1.11051841469113E-5,1,2,12.9061126708984,4.9752707508188,34.4999991357327,118.132759142942,17.3231576875893,100,-2.4035520972995E-5,,,,,,,,,,,,,,,,,,,,,99.884162902832,99.962028503418,49999.8515625,49999.8515625,49.6318477141206,5.34634263070049,7.05371761322022,26,1,0,0,1,0.268402099609375,29.8142719268799,2,1,1,99.884162902832,0,99.923095703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296875.5525,99.3639144897461,49999.8515625,0.0913451232106053,1.31593402677401E-5,1,2,12.9061126708984,4.97515767994355,34.4999991357327,118.440118220529,17.3943135061241,100,-4.40662758485902E-6,,,,,,,,,,,,,,,,,,,,,99.3639144897461,99.3639144897461,49999.8515625,49999.8515625,49.6138702581783,5.34669062411791,7.05612325668335,26,1,0,0,1,0.269622802734375,30.7917900085449,2,1,1,99.3639144897461,0,99.3639144897461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296877.5465,99.2021026611328,49999.8515625,0.0915636137246135,1.17926206098624E-5,1,2,12.9061126708984,4.97509262980854,34.4999991357327,118.72733758508,17.3940477226164,100,-3.64634134757791E-5,,,,,,,,,,,,,,,,,,,,,99.0552978515625,99.3489074707031,49999.8515625,49999.8515625,49.6244222431879,5.34705443731757,7.04229307174683,26,1,0,0,1,0.268402099609375,30.3030319213867,2,1,1,99.0552978515625,0,99.2021026611328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296891.14332,97.3674240112305,49999.8515625,0.0928312800039025,2.21679688758475E-5,1,2,12.9061126708984,4.97479201414964,34.4999991357327,120.361281919206,17.630355480304,100,-3.92877081041127E-5,,,,,,,,,,,,,,,,,,,,,97.3674240112305,97.3674240112305,49999.8515625,49999.8515625,49.6287212000437,5.34825102756386,7.03906154632568,26,1,0,0,1,0.268707275390625,31.2805480957031,2,1,1,97.3674240112305,0,97.3674240112305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296892.69855,97.0101089477539,49999.8515625,0.0931971210697576,2.53624953123662E-5,1,2,12.9061126708984,4.97460555051317,34.4800017774105,120.828471104079,17.7041512381834,100,-3.53932343195587E-5,,,,,,,,,,,,,,,,,,,,,96.9739151000977,97.0463027954102,49999.8515625,49999.8515625,49.7455746636687,5.34917365099192,7.03119993209839,25,1,64,0,0,0.268783569335938,30.7917900085449,2,1,1,96.9739151000977,0,97.0101089477539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296893.98505,96.7847557067871,49999.8515625,0.0935479886612289,2.05857654031512E-5,1,2,12.9061126708984,4.97460555051317,34.4800017774105,121.279904926348,17.7943553326582,100,-1.73596426767176E-5,,,,,,,,,,,,,,,,,,,,,96.5955963134766,96.9739151000977,49999.8515625,49999.8515625,49.6658485547072,5.34917365099192,7.03109741210937,26,1,0,0,1,0.267715454101562,28.8367557525635,2,1,1,96.5955963134766,0,96.7847557067871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296896.21099,96.4016914367676,49999.8515625,0.0938987872701003,2.05751297578289E-5,1,2,12.9061126708984,4.97468698410913,34.4800017774105,121.737944773285,17.858474118885,100,-1.9754465307696E-5,,,,,,,,,,,,,,,,,,,,,96.2077865600586,96.5955963134766,49999.8515625,49999.8515625,49.6650669261879,5.34846873241635,7.03357791900635,26,1,0,0,1,0.269393920898438,30.3030319213867,2,1,1,96.2077865600586,0,96.4016914367676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296898.2445,95.9946403503418,49999.8515625,0.094267428561539,2.35230908659693E-5,1,2,12.9061126708984,4.97465697094028,34.4800017774105,122.215772971769,17.922104749332,100,-2.47134939598931E-5,,,,,,,,,,,,,,,,,,,,,95.8812255859375,96.1080551147461,49999.8515625,49999.8515625,49.6705383258226,5.3489596129257,7.02848529815674,26,1,0,0,1,0.268402099609375,30.3030319213867,2,1,1,95.8812255859375,0,95.9946403503418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296900.03737,95.7213821411133,49999.8515625,0.094653440963498,3.22677407145774E-5,1,2,12.9061126708984,4.97465697094028,34.4800017774105,122.720430975661,17.9668984624651,100,-4.68713410720684E-5,,,,,,,,,,,,,,,,,,,,,95.5615386962891,95.8812255859375,49999.8515625,49999.8515625,49.6087896728033,5.3489596129257,7.01830577850342,26,1,0,0,1,0.279464721679687,31.2805480957031,2,1,1,95.5615386962891,0,95.7213821411133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296911.79663,93.3909072875977,49999.8515625,0.0966313785535559,2.88149813549072E-5,1,2,12.9061126708984,4.97445539458607,34.4800017774105,125.267256964626,18.412580806344,100,7.13478358045553E-6,,,,,,,,,,,,,,,,,,,,,93.3909072875977,93.3909072875977,49999.8515625,49999.8515625,49.6760097254572,5.35002615278311,7.01623058319092,26,1,0,0,1,0.268020629882813,30.7917900085449,2,1,1,93.3909072875977,0,93.3909072875977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296913.7492,93.0749320983887,49999.8515625,0.0974700573397079,8.76309358962358E-5,1,2,12.9061126708984,4.97442678196079,34.4800017774105,126.34962449043,18.5982626090986,100,2.72735415440412E-5,,,,,,,,,,,,,,,,,,,,,92.7785263061523,93.371337890625,49999.8515625,49999.8515625,49.7139187086399,5.34974672529715,7.00916767120361,26,1,0,0,1,0.267257690429687,30.7917900085449,2,1,1,92.7785263061523,0,93.0749320983887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296916.36673,92.6504745483398,49999.8515625,0.0979069378390003,2.85118826078037E-5,1,2,12.9061126708984,4.97442678196079,34.4800017774105,126.927567181538,18.6025409488983,100,-3.36086788508998E-5,,,,,,,,,,,,,,,,,,,,,92.5353164672852,92.7656326293945,49999.8515625,49999.8515625,49.6857800819476,5.34974672529715,7.01073694229126,26,1,0,0,1,0.271759033203125,30.7917900085449,2,1,1,92.5353164672852,0,92.6504745483398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296918.14214,92.339714050293,49999.8515625,0.0982824519847715,6.25961177172788E-5,1,2,12.9061126708984,4.97443170729572,34.4800017774105,127.423871097536,18.6105715127083,100,-8.26010524557423E-5,,,,,,,,,,,,,,,,,,,,,92.1441116333008,92.5353164672852,49999.8515625,49999.8515625,49.6130886296591,5.35052920499064,7.01031589508057,26,1,0,0,1,0.272140502929687,30.7917900085449,2,1,1,92.1441116333008,0,92.339714050293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296920.15859,91.9321174621582,49999.8515625,0.0987449765277524,2.52044864109777E-5,1,2,12.9061126708984,4.97441495686802,34.4800017774105,128.014664324298,18.7543326762827,100,-3.9585256733644E-5,,,,,,,,,,,,,,,,,,,,,91.7670822143555,92.0971527099609,49999.8515625,49999.8515625,49.6627220406303,5.35047177024589,7.01479911804199,26,1,0,0,1,0.269393920898438,30.7917900085449,2,1,1,91.7670822143555,0,91.9321174621582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866296931.3907,90.1805572509766,49999.8515625,0.101011940547845,2.65530338911235E-5,1,2,12.9061126708984,4.9745178418239,34.4800017774105,130.958351367711,19.1790214925585,100,-4.54518910267313E-5,,,,,,,,,,,,,,,,,,,,,90.1805572509766,90.1805572509766,49999.8515625,49999.8515625,49.6392731850533,5.3501080771625,7.01429605484009,26,1,0,0,1,0.268936157226562,30.3030319213867,2,1,1,90.1805572509766,0,90.1805572509766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
