[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865825737.05963,07/01/2022,9:26 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,123.08,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.75,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865826831.59743,100.001815795898,49999.6875,0.0378520306769261,3.25791351741942E-6,1,2,12.9061126708984,4.98650146666163,37.4899990856647,49.2407223600719,7.20690218951387,100,-2.03930472535934E-5,,,,,,,,,,,,,,,,,,,,,100.001815795898,100.001815795898,49999.6875,49999.6875,49.6545149411783,5.34428749855997,7.15971851348877,26,1,0,0,1,0.266571044921875,28.8367557525635,1,1,1,100.001815795898,0,100.001815795898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865826834.36236,100.001884460449,49999.6875,0.0378522001485521,5.79939626637842E-6,1,2,12.9061126708984,4.98647734005469,37.4899990856647,49.2405926789607,7.20699151953858,100,-2.03116245278626E-5,,,,,,,,,,,,,,,,,,,,,100.001884460449,100.001884460449,49999.6875,49999.6875,49.6900790388033,5.3441476570918,7.15805149078369,26,1,0,0,1,0.2752685546875,29.8142719268799,6,1,1,100.001884460449,0,100.001884460449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865826835.85178,99.9918975830078,49999.6875,0.0378527618350469,4.04490959445758E-6,1,2,12.9061126708984,4.9864790696785,37.4899990856647,49.2417879411592,7.20410288634614,100,-2.26175636378278E-5,,,,,,,,,,,,,,,,,,,,,99.9819107055664,100.001884460449,49999.6875,49999.6875,49.7268155792072,5.34418363036278,7.15843391418457,26,1,0,0,1,0.267486572265625,29.8142719268799,6,1,1,99.9819107055664,0,99.9918975830078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865826838.36785,99.9628753662109,49999.6875,0.0378538516236788,3.29533290166158E-6,1,2,12.9061126708984,4.9864790696785,37.4899990856647,49.2429726639362,7.205896004212,100,-2.13991529940185E-5,,,,,,,,,,,,,,,,,,,,,99.9438400268555,99.9819107055664,49999.6875,49999.6875,49.7225166223514,5.34418363036278,7.15017700195313,26,1,0,0,1,0.275421142578125,29.8142719268799,2,1,1,99.9438400268555,0,99.9628753662109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865826840.39697,99.9170341491699,49999.6875,0.0378572065272595,5.374439164886E-6,1,2,12.9061126708984,4.98646857538884,37.4899990856647,49.2471644516528,7.20669688516258,100,-2.12599501139943E-5,,,,,,,,,,,,,,,,,,,,,99.8902282714844,99.9438400268555,49999.6875,49999.6875,49.7658970051687,5.34395347055511,7.15486192703247,26,1,0,0,1,0.265884399414062,29.8142719268799,2,1,1,99.8902282714844,0,99.9170341491699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865826842.70474,99.8425178527832,49999.6875,0.0378659201603769,4.20987827821322E-6,1,2,12.9061126708984,4.98648592227202,37.4899990856647,49.259174283167,7.2054372395836,100,-2.35355321208541E-5,,,,,,,,,,,,,,,,,,,,,99.802848815918,99.8821868896484,49999.6875,49999.6875,49.7014126523322,5.3439664675741,7.14703559875488,25,1,68,0,0,0.275344848632813,29.8142719268799,2,1,1,99.802848815918,0,99.8425178527832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865826845.71104,99.7292556762695,49999.6875,0.0379415310819224,4.39783541686993E-5,1,2,12.9061126708984,4.98648325651056,37.4899990856647,49.3586220298798,7.21217046945232,100,-2.94630820043553E-5,,,,,,,,,,,,,,,,,,,,,99.66259765625,99.7959136962891,49999.6875,49999.6875,49.6932055528802,5.34416846829876,7.15108823776245,26,1,0,0,1,0.266571044921875,30.3030319213867,2,1,1,99.66259765625,0,99.7292556762695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865826848.5063,99.6115379333496,49999.6875,0.0379190640317546,5.5266950712293E-6,1,2,12.9061126708984,4.9864485549173,37.4899990856647,49.3288155921326,7.20848748766586,100,-2.89396666178237E-5,,,,,,,,,,,,,,,,,,,,,99.5604782104492,99.66259765625,49999.6875,49999.6875,49.6857800819476,5.34390620234569,7.14419841766357,26,1,0,0,1,0.2752685546875,29.8142719268799,2,1,1,99.5604782104492,0,99.6115379333496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865826850.63096,99.5010833740234,49999.6875,0.0379515996126249,4.49907601881272E-6,1,2,12.9061126708984,4.9864485549173,37.4899990856647,49.3711322334918,7.21473256315877,100,-2.89183715515276E-5,,,,,,,,,,,,,,,,,,,,,99.451286315918,99.5508804321289,49999.6875,49999.6875,49.6846076391687,5.34390620234569,7.15122699737549,26,1,0,0,1,0.266571044921875,29.8142719268799,2,1,1,99.451286315918,0,99.5010833740234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865826852.62944,99.3645477294922,49999.6875,0.0380005930374242,1.58026981352565E-5,1,2,12.9061126708984,4.98648828221687,37.4899990856647,49.4330191112341,7.24047462850718,100,-1.63881723897215E-5,,,,,,,,,,,,,,,,,,,,,99.3122711181641,99.4168243408203,49999.6875,49999.6875,49.7385400069956,5.34396221143826,7.14340972900391,26,1,0,0,1,0.266571044921875,29.8142719268799,2,1,1,99.3122711181641,0,99.3645477294922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
