[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3872832730.18004,09/20/2022,1:03 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3872833173.81996
,3872833929.49902,100.02156829834,49999.70703125,0.0254699383629899,3.35694486059006E-6,1,2,13.1008939743042,4.99730865067409,41.4800010621548,29.5760799751115,4.3462662551218,100,9.94764353397182E-6,,,,,,,,,,,,,,,,,,,,,100.02156829834,100.02156829834,49999.70703125,49999.70703125,52.5469312765921,5.72979178360811,7.75678396224976,26,1,0,0,1,0.2996826171875,32.2580642700195,1,1,1,100.02156829834,0,2084573184,100.02156829834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872833940.53498,99.9620513916016,49999.70703125,0.025460318955345,1.76302391771121E-6,1,2,13.1008939743042,4.99734153272961,41.4800010621548,29.5646590259436,4.34823381565497,100,1.30172116785109E-5,,,,,,,,,,,,,,,,,,,,,99.9620513916016,99.9620513916016,49999.70703125,49999.70703125,52.5015968224767,5.72993493134623,7.74733400344849,26,1,0,0,1,0.300827026367188,32.2580642700195,2,1,1,99.9620513916016,0,2084573184,99.9620513916016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872833941.81336,99.9349632263184,49999.70703125,0.02546875208849,2.60619281710625E-6,1,2,13.1008939743042,4.99729182065646,41.4800010621548,29.5742228699296,4.34836443992261,100,1.19459315231874E-5,,,,,,,,,,,,,,,,,,,,,99.9116363525391,99.9582901000977,49999.70703125,49999.70703125,52.5578740758613,5.72923765024452,7.74867677688599,26,1,0,0,1,0.299911499023438,33.2355842590332,2,1,1,99.9116363525391,0,2084573184,99.9349632263184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872833943.98904,99.8817291259766,49999.70703125,0.0254789595004601,2.60219911821535E-6,1,2,13.1008939743042,4.99729182065646,41.4800010621548,29.5861631297563,4.34951047353856,100,1.14368779556662E-5,,,,,,,,,,,,,,,,,,,,,99.8589477539063,99.9045104980469,49999.70703125,49999.70703125,52.6540143837267,5.72923765024452,7.74687004089356,26,1,0,0,1,0.299606323242188,32.2580642700195,2,1,1,99.8589477539063,0,2084573184,99.8817291259766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872833945.95141,99.826789855957,49999.70703125,0.025492848040519,3.40928763903069E-6,1,2,13.1008939743042,4.99730281799103,41.4800010621548,29.6023067669968,4.35240600897354,100,1.18833321706093E-5,,,,,,,,,,,,,,,,,,,,,99.7946319580078,99.8589477539063,49999.70703125,49999.70703125,52.5582648901209,5.72928956091451,7.7505464553833,26,1,0,0,1,0.299453735351562,32.7468223571777,2,1,1,99.7946319580078,0,2084573184,99.826789855957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872833957.03618,99.167236328125,49999.70703125,0.0256400888228185,4.22850204140137E-6,1,2,13.1008939743042,4.99727376884477,41.4800010621548,29.772818479764,4.37902430365477,100,1.32569398439813E-5,,,,,,,,,,,,,,,,,,,,,99.167236328125,99.167236328125,49999.70703125,49999.70703125,52.4937805372844,5.72909151758885,7.72972869873047,26,1,0,0,1,0.300750732421875,32.2580642700195,2,1,1,99.167236328125,0,2084573184,99.167236328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872833958.09101,99.0699996948242,49999.70703125,0.0256943050252434,4.67153415212279E-6,1,2,13.1008939743042,4.99728849911891,41.4800010621548,29.8362745113088,4.38572242323958,100,1.10637291974698E-5,,,,,,,,,,,,,,,,,,,,,98.998664855957,99.1413345336914,49999.70703125,49999.70703125,52.5273905636113,5.72891282758161,7.72891330718994,24,1,64,0,0,0.300827026367188,31.2805480957031,2,1,1,98.998664855957,0,2084573184,99.0699996948242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872833959.93112,98.8851356506348,49999.70703125,0.025755811744869,5.68757372504731E-6,1,2,13.1008939743042,4.99728849911891,41.4800010621548,29.9075942206535,4.39691695584499,100,1.16895914471373E-5,,,,,,,,,,,,,,,,,,,,,98.7926864624023,98.9775848388672,49999.70703125,49999.70703125,52.5965646875633,5.72891282758161,7.73302173614502,26,1,0,0,1,0.300369262695313,33.2355842590332,2,1,1,98.7926864624023,0,2084573184,98.8851356506348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3872833961.92084,98.6247978210449,49999.70703125,0.0258283160380808,6.04917939514136E-6,1,2,13.1008939743042,4.99729070192121,41.4800010621548,29.9919803303008,4.40809791157452,100,1.06896917188774E-5,,,,,,,,,,,,,,,,,,,,,98.5199203491211,98.7296752929688,49999.70703125,49999.70703125,52.5969555018229,5.72900026721339,7.72738599777222,26,1,0,0,1,0.299148559570313,32.7468223571777,2,1,1,98.5199203491211,0,2084573184,98.6247978210449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
