[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3870081349.30405,08/19/2022,4:47 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sandstone,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.3,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3870081640.49671
,3870082409.87668,99.9844055175781,49999.609375,0.0653320961604371,2.09760990001493E-5,1,2,14.0008964538574,4.98122729343452,42.0200005173683,75.501930608992,11.2506021065738,100,-5.53467042509627E-5,,,,,,,,,,,,,,,,,,,,,99.9844055175781,99.9844055175781,49999.609375,49999.609375,52.519574278419,6.14559829528945,7.70189380645752,28,1,0,0,1,0.3375244140625,32.2580642700195,1,1,1,99.9844055175781,0,2084574816,99.9844055175781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870082412.7387,99.9915161132813,49999.609375,0.0699263798397292,1.10207094269352E-5,1,2,14.0008964538574,4.98081002142897,42.0200005173683,80.7844434501948,12.1567128742902,100,4.14731229028302E-5,,,,,,,,,,,,,,,,,,,,,99.9915161132813,99.9915161132813,49999.609375,49999.609375,52.5055049650729,6.09781121826064,7.70643377304077,28,1,0,0,1,0.337600708007812,32.2580642700195,6,1,1,99.9916610717773,0,2084574816,99.9915161132813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870082414.54169,99.9827194213867,49999.609375,0.0699196564897619,6.9532716696061E-6,1,2,14.0008964538574,4.98080021793311,42.0200005173683,80.7779869053552,12.1452768104073,100,3.26117295017298E-5,,,,,,,,,,,,,,,,,,,,,99.9737777709961,99.9916610717773,49999.609375,49999.609375,52.550057790669,6.09794324812926,7.70596122741699,28,1,0,0,1,0.338134765625,31.7693061828613,6,1,1,99.9737777709961,0,2084573184,99.9827194213867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870082417.22007,99.961856842041,49999.609375,0.0699323188938696,7.04939449302374E-6,1,2,14.0008964538574,4.98080021793311,42.0200005173683,80.7900291353246,12.1647345504436,100,4.75549443628863E-5,,,,,,,,,,,,,,,,,,,,,99.9499359130859,99.9737777709961,49999.609375,49999.609375,52.5101947361882,6.09794324812926,7.70263433456421,28,1,0,0,1,0.338211059570313,31.2805480957031,2,1,1,99.9499359130859,0,2084573184,99.961856842041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870082419.24048,99.9210624694824,49999.609375,0.069950649292009,7.04570252095634E-6,1,2,14.0008964538574,4.98080266432013,42.0200005173683,80.8131400198453,12.1553956546632,100,3.67174155885357E-5,,,,,,,,,,,,,,,,,,,,,99.8921890258789,99.9499359130859,49999.609375,49999.609375,52.5340344060248,6.09836155879809,7.70438623428345,28,1,0,0,1,0.33843994140625,31.7693061828613,2,1,1,99.8921890258789,0,2084573184,99.9210624694824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870082421.30264,99.8595085144043,49999.609375,0.0699859284888529,5.94683304910226E-6,1,2,14.0008964538574,4.9808173853286,42.0200005173683,80.8530483286247,12.1694796355792,100,4.35761429097724E-5,,,,,,,,,,,,,,,,,,,,,99.8319396972656,99.887077331543,49999.609375,49999.609375,52.4715041244863,6.09772631815369,7.69967222213745,28,1,0,0,1,0.337600708007812,32.2580642700195,2,1,1,99.8319396972656,0,2084573184,99.8595085144043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870082423.24586,99.7932548522949,49999.609375,0.0700188966676072,8.66075083311588E-6,1,2,14.0008964538574,4.98083457324973,42.0200005173683,80.8929536864905,12.1657533497057,100,3.53588624512793E-5,,,,,,,,,,,,,,,,,,,,,99.7604598999023,99.8260498046875,49999.609375,49999.609375,52.4863550663517,6.09849266108221,7.6991720199585,28,1,0,0,1,0.338516235351562,31.2805480957031,2,1,1,99.7604598999023,0,2084573184,99.7932548522949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870082425.28204,99.7123146057129,49999.609375,0.0700811038901166,8.17067675707872E-6,1,2,14.0008964538574,4.98083457324973,42.0200005173683,80.9641763301159,12.180868491673,100,3.91177335977839E-5,,,,,,,,,,,,,,,,,,,,,99.67529296875,99.7493362426758,49999.609375,49999.609375,52.4672051676305,6.09849266108221,7.69718456268311,28,1,0,0,1,0.338211059570313,32.2580642700195,2,1,1,99.67529296875,0,2084573184,99.7123146057129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870082427.2634,99.6253395080566,49999.609375,0.0701434890632274,5.08601155036511E-6,1,2,14.0008964538574,4.98086195546942,42.0200005173683,81.0361449909386,12.1966717053398,100,4.33640720488927E-5,,,,,,,,,,,,,,,,,,,,,99.5826873779297,99.6679916381836,49999.609375,49999.609375,52.5656903610536,6.09818801617954,7.69651985168457,28,1,0,0,1,0.338058471679687,29.3255138397217,2,1,1,99.5826873779297,0,2084573184,99.6253395080566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3870082429.26641,99.5104446411133,49999.609375,0.0702251441819568,7.05549472753002E-6,1,2,14.0008964538574,4.98084454138095,42.0200005173683,81.1317395252878,12.1997548419654,100,3.38460981220953E-5,,,,,,,,,,,,,,,,,,,,,99.4537124633789,99.5671768188477,49999.609375,49999.609375,52.4898723946882,6.09750056308939,7.69046401977539,28,1,0,0,1,0.336990356445313,32.2580642700195,2,1,1,99.4537124633789,0,2084573184,99.5104446411133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
