[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865654207.71958,06/29/2022,9:47 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,oil stained sst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,276.83,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,60.35,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865656082.03359,1.99932372570038,25.4471988677979,0.00786364105595706,5.28697510394934E-7,1,5,12.9061126708984,4.98101713495471,46.2500005960464,10.2138015450735,1.49490170810176,100,-4.2339704614293E-6,,,,,,,,,,,,,,,,,,,,,1.99932372570038,1.99932372570038,25.4471988677979,25.4471988677979,49.5028790084476,5.3951924114528,2.51685237884521,65,1,0,0,1,0.27679443359375,30.7917900085449,1,1,1,1.99932372570038,0,1.99932372570038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865656085.59233,2.22203028202057,25.4471988677979,0.00785532423558003,6.25187554059963E-7,1,5,12.9061126708984,4.98103068439422,46.2500005960464,10.2029832684615,1.49369987216299,100,-3.94190714854219E-6,,,,,,,,,,,,,,,,,,,,,2.06509208679199,2.37896847724915,25.4471988677979,25.4471988677979,49.4970167945533,5.39538429319937,2.67979669570923,65,1,0,0,1,0.274581909179687,30.3030319213867,6,1,1,2.37896847724915,0,2.22203028202057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865656092.02166,3.08157634735107,25.4471988677979,0.00746958666174991,4.36237597810662E-5,1,5,12.9061126708984,4.98096641496928,46.2500005960464,9.70151213403472,1.42219905261816,100,-2.30584228151267E-6,,,,,,,,,,,,,,,,,,,,,3.08157634735107,3.08157634735107,25.4471988677979,25.4471988677979,49.5235921642072,5.39554846555958,2.97427034378052,65,1,0,0,1,0.274734497070313,30.7917900085449,6,1,1,3.08157634735107,0,3.08157634735107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865656099.56209,4.0757942199707,25.4471988677979,0.0053096551746878,8.21413785363905E-5,1,5,12.9061126708984,4.98103492980294,46.2500005960464,6.89618238747894,1.01192579398448,100,-9.0362233837826E-7,,,,,,,,,,,,,,,,,,,,,4.0757942199707,4.0757942199707,25.4471988677979,25.4471988677979,49.5032698227072,5.39490966349006,3.35991954803467,65,1,0,0,1,0.27435302734375,30.3030319213867,6,1,1,4.0757942199707,0,4.0757942199707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865656106.25339,5.01172733306885,25.4471988677979,0.00338927057729781,4.77123648848618E-5,1,5,12.9061126708984,4.98095730144679,46.2500005960464,4.40192000379292,0.645713694036901,100,-7.36046237302079E-7,,,,,,,,,,,,,,,,,,,,,5.01172733306885,5.01172733306885,25.4471988677979,25.4471988677979,49.4372222128321,5.39490515284739,3.67029190063477,65,1,0,0,1,0.27618408203125,30.7917900085449,6,1,1,5.01172733306885,0,5.01172733306885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865656113.02492,6.01975965499878,25.4471988677979,0.00173730146844265,1.57313464483887E-5,1,5,12.9061126708984,4.98098519179124,46.2500005960464,2.25641572356117,0.33082512905477,100,-5.02760546460812E-7,,,,,,,,,,,,,,,,,,,,,6.01975965499878,6.01975965499878,25.4471988677979,25.4471988677979,49.6459170274668,5.39503531696434,3.96044135093689,65,1,0,0,1,0.278396606445313,30.7917900085449,6,1,1,6.01975965499878,0,6.01975965499878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865656130.51592,8.58937835693359,25.4471988677979,0.000928933728806889,5.30132720796599E-6,1,5,12.9061126708984,4.98086204125765,46.2500005960464,1.20634514022172,0.17767973188008,10,3.42509403536336E-7,,,,,,,,,,,,,,,,,,,,,8.58937835693359,8.58937835693359,25.4471988677979,25.4471988677979,49.6541241269187,5.39531992753544,4.49753856658936,65,1,0,0,1,0.27679443359375,30.3030319213867,6,1,1,8.58937835693359,0,8.58937835693359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865656133.75258,9.07516574859619,25.4471988677979,0.000684249285343822,3.20590991157292E-6,1,5,12.9061126708984,4.98088066085461,46.2500005960464,0.888619577698292,0.130706309786421,10,1.19361420377637E-7,,,,,,,,,,,,,,,,,,,,,8.61331748962402,9.53701400756836,25.4471988677979,25.4471988677979,49.4927178376975,5.39537097845958,4.6595196723938,65,1,0,0,1,0.276947021484375,29.3255138397217,6,1,1,9.53701400756836,0,9.07516574859619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865656139.36882,9.91696071624756,25.4471988677979,0.000599775290429036,2.53481793442121E-6,1,5,12.9061126708984,4.98077587338693,46.2500005960464,0.778895157989931,0.11454516123361,10,8.81374387446352E-8,,,,,,,,,,,,,,,,,,,,,9.57319641113281,10.2607250213623,25.4471988677979,25.4471988677979,49.5357074062552,5.39561705672604,4.7756814956665,65,1,0,0,1,0.278701782226562,30.7917900085449,6,1,1,10.2607250213623,0,9.91696071624756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865656144.38474,10.6583127975464,25.4471988677979,0.000532877365464641,2.01836707920719E-6,1,5,12.9061126708984,4.98069332772718,46.2500005960464,0.692008955477123,0.101721871520286,10,4.3851958179782E-8,,,,,,,,,,,,,,,,,,,,,10.2607250213623,11.0559005737305,25.4471988677979,25.4471988677979,49.4598894398898,5.39629697604539,4.86518669128418,65,1,0,0,1,0.276107788085938,31.2805480957031,6,1,1,11.0559005737305,0,10.6583127975464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
