[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865600482.03936,06/28/2022,6:52 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,oil stained sst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,276.83,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,72.97,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865602520.20101,1.9998779296875,25.1839542388916,0.00804094774158775,7.26424336122984E-7,1,5,12.9061126708984,4.99633489505239,46.2500005960464,10.4891521940324,1.53560901259572,100,-4.0241857667012E-6,,,,,,,,,,,,,,,,,,,,,1.9998779296875,1.9998779296875,25.1839542388916,25.1839542388916,49.4974076088129,5.41269011807334,2.7000002861023,65,1,0,0,1,0.270309448242187,30.3030319213867,1,1,1,1.9998779296875,0,1.9998779296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865602526.01846,2.57610559463501,25.1839542388916,0.00730371445823799,6.76306485011063E-5,1,5,12.9061126708984,4.99633810482451,46.2599992752075,9.5270696682275,1.39750347525983,100,-1.59651763117905E-6,,,,,,,,,,,,,,,,,,,,,2.17115926742554,2.98105192184448,25.1839542388916,25.1839542388916,49.4395670983898,5.41255686666773,3.14609050750732,65,1,0,0,1,0.26641845703125,32.7468223571777,6,1,1,2.98105192184448,0,2.57610559463501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865602531.81694,3.3562331199646,25.1839542388916,0.00484919570406267,7.8616899549073E-5,1,5,12.9061126708984,4.99625274373214,46.2500005960464,6.32510952414337,0.928505817510731,100,-5.41874505565901E-7,,,,,,,,,,,,,,,,,,,,,3.02630138397217,3.68616485595703,25.1839542388916,25.1839542388916,49.4614526969283,5.41376155412578,3.41086196899414,65,1,0,0,1,0.2691650390625,30.3030319213867,6,1,1,3.68616485595703,0,3.3562331199646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865602538.00815,4.2032630443573,25.1839542388916,0.00308184258594181,4.31694965557577E-5,1,5,12.9061126708984,4.99633668302247,46.2599992752075,4.02002298808742,0.589513782475201,100,-8.04204305404185E-7,,,,,,,,,,,,,,,,,,,,,4.02514171600342,4.38138437271118,25.1839542388916,25.1839542388916,49.5173391360533,5.41290650815616,3.6324188709259,65,1,0,0,1,0.270233154296875,30.7917900085449,6,1,1,4.38138437271118,0,4.2032630443573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865602544.06904,5.06907033920288,25.1839542388916,0.00212551133124512,2.35270214950933E-5,1,5,12.9061126708984,4.99629080643822,46.2500005960464,2.77256453120169,0.406326050515144,100,-7.45995488743715E-7,,,,,,,,,,,,,,,,,,,,,5.01770925521851,5.12043142318726,25.1839542388916,25.1839542388916,49.5337533349572,5.41320902288811,3.84646844863892,65,1,0,0,1,0.26641845703125,30.7917900085449,6,1,1,5.12043142318726,0,5.06907033920288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865602560.54269,7.48628377914429,25.1839542388916,0.00101618849655667,6.63450904474364E-6,1,5,12.9061126708984,4.99617186887271,46.2500005960464,1.32538799918618,0.19498130982804,10,2.00603937993335E-7,,,,,,,,,,,,,,,,,,,,,7.48628377914429,7.48628377914429,25.1839542388916,25.1839542388916,49.5548573049764,5.41417593120229,4.40308427810669,65,1,0,0,1,0.276565551757813,30.7917900085449,6,1,1,7.48628377914429,0,7.48628377914429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865602565.14782,8.18994212150574,25.1839542388916,0.000716568139438544,3.81805364554576E-6,1,5,12.9061126708984,4.99651024542778,46.2500005960464,0.934710030086617,0.137366612403024,10,3.56239698144047E-8,,,,,,,,,,,,,,,,,,,,,7.48628377914429,8.89360046386719,25.1839542388916,25.1839542388916,49.5161666932745,5.41240587993751,4.63321208953857,65,1,0,0,1,0.271835327148438,30.7917900085449,6,1,1,8.89360046386719,0,8.18994212150574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865602572.33409,9.27363681793213,25.1839542388916,0.000616420449224838,2.9843278572932E-6,1,5,12.9061126708984,4.99633974704244,46.2500005960464,0.804042743120423,0.118118950146113,10,-2.80267795941011E-9,,,,,,,,,,,,,,,,,,,,,8.91214942932129,9.63512420654297,25.1839542388916,25.1839542388916,49.489200509361,5.41321934936372,4.75712776184082,65,1,0,0,1,0.27313232421875,30.7917900085449,6,1,1,9.63512420654297,0,9.27363681793213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865602577.43807,10.0214905738831,25.1839542388916,0.000538265888751586,2.33871824023961E-6,1,5,12.9061126708984,4.99628035942784,46.2500005960464,0.702092977542595,0.103109203196134,10,-2.6975160024826E-8,,,,,,,,,,,,,,,,,,,,,9.63512420654297,10.4078569412231,25.1839542388916,25.1839542388916,49.5216380929091,5.41385753082033,4.844078540802,65,1,0,0,1,0.271148681640625,30.3030319213867,6,1,1,10.4078569412231,0,10.0214905738831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865602582.66825,10.8153829574585,25.1839542388916,0.000476496279307401,1.85789289872759E-6,1,5,12.9061126708984,4.99543197143845,46.2500005960464,0.621389267661714,0.0911591229504209,10,-9.74082508709852E-8,,,,,,,,,,,,,,,,,,,,,10.4078569412231,11.2229089736938,25.1839542388916,25.1839542388916,49.4747403817552,5.41737720598874,4.93909597396851,65,1,0,0,1,0.272369384765625,31.2805480957031,6,1,1,11.2229089736938,0,10.8153829574585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
