[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865998574.2137,07/03/2022,9:27 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,119.59,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,56.85,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865999701.06738,100.001258850098,49999.67578125,0.045136144824913,4.49023956070947E-5,1,2,12.9061126708984,4.97659178793057,45.3100018203258,58.5460576967874,8.61354405679279,100,9.42318293868519E-6,,,,,,,,,,,,,,,,,,,,,100.001258850098,100.001258850098,49999.67578125,49999.67578125,49.5681449898033,5.38282873828366,7.09158992767334,26,1,0,0,1,0.2667236328125,29.8142719268799,1,1,1,100.001258850098,0,100.001258850098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865999703.79185,100.001457214355,49999.67578125,0.0451110484719925,6.39383214659063E-6,1,2,12.9061126708984,4.97659378923185,45.3100018203258,58.5214162723033,8.55513583341811,100,-3.19221197123942E-5,,,,,,,,,,,,,,,,,,,,,100.001457214355,100.001457214355,49999.67578125,49999.67578125,49.6142610724379,5.38272214268994,7.09169626235962,26,1,0,0,1,0.277023315429687,29.3255138397217,6,1,1,100.001457214355,0,100.001457214355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865999705.58704,99.9896354675293,49999.67578125,0.0451103389170281,5.60703973553417E-6,1,2,12.9061126708984,4.9765789124912,45.3100018203258,58.5208079632311,8.5511650163663,100,-3.48513624380793E-5,,,,,,,,,,,,,,,,,,,,,99.9778137207031,100.001457214355,49999.67578125,49999.67578125,49.5478226483033,5.38295264494828,7.08020830154419,26,1,0,0,1,0.2874755859375,29.8142719268799,6,1,1,99.9778137207031,0,99.9896354675293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865999708.7031,99.9497413635254,49999.67578125,0.0451039100355627,6.00698743151142E-6,1,2,12.9061126708984,4.97655168497137,45.3100018203258,58.5122878376598,8.54804036993787,100,-3.62650474670136E-5,,,,,,,,,,,,,,,,,,,,,99.9306259155273,99.9688568115234,49999.67578125,49999.67578125,49.6412272563514,5.38266890662531,7.08972358703613,26,1,0,0,1,0.267181396484375,29.3255138397217,2,1,1,99.9306259155273,0,99.9497413635254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865999711.70132,99.876636505127,49999.67578125,0.0451033059603253,6.27783943628498E-6,1,2,12.9061126708984,4.97652746075798,45.3100018203258,58.5107714873427,8.55012710126288,100,-3.45224228882014E-5,,,,,,,,,,,,,,,,,,,,,99.8265075683594,99.9267654418945,49999.67578125,49999.67578125,49.6384915565341,5.38251804024039,7.07690525054932,26,1,0,0,1,0.285720825195313,29.8142719268799,2,1,1,99.8265075683594,0,99.876636505127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865999714.42809,99.7917671203613,49999.67578125,0.0451172849143372,6.19578926835751E-6,1,2,12.9061126708984,4.97652746075798,45.3100018203258,58.5282619905695,8.55715966071173,100,-3.11543929100862E-5,,,,,,,,,,,,,,,,,,,,,99.7570266723633,99.8265075683594,49999.67578125,49999.67578125,49.6486527272841,5.38251804024039,7.08056688308716,26,1,0,0,1,0.267105102539062,28.8367557525635,2,1,1,99.7570266723633,0,99.7917671203613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865999716.51921,99.7080307006836,49999.67578125,0.0451429887860509,5.46544443810074E-6,1,2,12.9061126708984,4.97649217256238,45.3100018203258,58.5621865170485,8.55402282091862,100,-3.72831008060584E-5,,,,,,,,,,,,,,,,,,,,,99.6590347290039,99.7570266723633,49999.67578125,49999.67578125,49.6083988585437,5.38300504473724,7.07531929016113,26,1,0,0,1,0.27801513671875,29.8142719268799,2,1,1,99.6590347290039,0,99.7080307006836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865999718.59134,99.5950355529785,49999.67578125,0.0451370278727915,5.15028040049442E-5,1,2,12.9061126708984,4.97649197187001,45.3100018203258,58.5616371382137,8.50397340959533,100,-7.49925549231321E-5,,,,,,,,,,,,,,,,,,,,,99.5593795776367,99.6306915283203,49999.67578125,49999.67578125,49.6220773576303,5.38274643591422,7.0718789100647,26,1,0,0,1,0.277328491210938,29.8142719268799,2,1,1,99.5593795776367,0,99.5950355529785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865999720.85922,99.4802780151367,49999.67578125,0.0453030643189898,0.000213097602182014,1,2,12.9061126708984,4.97649197187001,45.3100018203258,58.8099330850411,8.31146589149688,100,-0.000247798637122825,,,,,,,,,,,,,,,,,,,,,99.4451293945313,99.5154266357422,49999.67578125,49999.67578125,49.6193416578129,5.38274643591422,7.08080530166626,26,1,0,0,1,0.27679443359375,30.3030319213867,2,1,1,99.4451293945313,0,99.4802780151367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865999722.53903,99.3417625427246,49999.67578125,0.0452780857930006,5.18456496220192E-6,1,2,12.9061126708984,4.97650005907852,45.3100018203258,58.737771378435,8.57829353198997,100,-3.84335930456418E-5,,,,,,,,,,,,,,,,,,,,,99.2638626098633,99.4196624755859,49999.67578125,49999.67578125,49.5951111737168,5.38303233159755,7.07436513900757,25,1,64,0,0,0.2764892578125,29.8142719268799,2,1,1,99.2638626098633,0,99.3417625427246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
