[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866209684.47066,07/05/2022,8:05 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,lmst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,122.4,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.89,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866210665.82854,100.001319885254,49999.75,0.0368450118922442,9.69816820563968E-6,1,2,12.9061126708984,4.97618905196956,40.7800003886223,47.7931737981241,6.98299861487972,100,-2.89377399173655E-5,,,,,,,,,,,,,,,,,,,,,100.001319885254,100.001319885254,49999.75,49999.75,49.9824081049957,5.38049458086968,7.13870286941528,26,1,0,0,1,0.28717041015625,30.3030319213867,1,1,1,100.001327514648,0,100.001319885254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866210668.61001,100.001396179199,49999.75,0.0368395540093122,9.12135869332089E-6,1,2,12.9061126708984,4.97620311670846,40.7800003886223,47.7862856398963,6.98198212354229,100,-2.89410553974735E-5,,,,,,,,,,,,,,,,,,,,,100.001396179199,100.001396179199,49999.75,49999.75,49.9276941086495,5.38022324536967,7.14090156555176,26,1,0,0,1,0.287094116210938,29.8142719268799,6,1,1,100.001434326172,0,100.001396179199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866210669.7845,99.9989700317383,49999.75,0.0368383047472055,9.76778246928684E-6,1,2,12.9061126708984,4.97613516545625,40.7800003886223,47.7842440659317,6.97822820594956,100,-3.15484659863727E-5,,,,,,,,,,,,,,,,,,,,,99.9965057373047,100.001434326172,49999.75,49999.75,49.949579707188,5.38034759720327,7.143226146698,26,1,0,0,1,0.278472900390625,29.8142719268799,6,1,1,99.9965057373047,0,99.9989700317383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866210672.73942,99.9681930541992,49999.75,0.0368209329264372,9.0134880164841E-6,1,2,12.9061126708984,4.97611573859714,40.7800003886223,47.7607148441017,6.97989043117077,100,-2.76851725930067E-5,,,,,,,,,,,,,,,,,,,,,99.9398803710937,99.9965057373047,49999.75,49999.75,49.9636490205341,5.38054892511438,7.13708543777466,26,1,0,0,1,0.287094116210938,29.8142719268799,2,1,1,99.9398803710937,0,99.9681930541992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866210675.45991,99.9199829101562,49999.75,0.0368191145456636,7.69963095070553E-6,1,2,12.9061126708984,4.97611115681365,40.7800003886223,47.7581430201872,6.98056667044596,100,-2.68896580552752E-5,,,,,,,,,,,,,,,,,,,,,99.9000854492188,99.9398803710937,49999.75,49999.75,49.9695112344284,5.38069141629018,7.13118886947632,26,1,0,0,1,0.287628173828125,30.3030319213867,2,1,1,99.9000854492188,0,99.9199829101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866210677.5635,99.871509552002,49999.75,0.0368179654440451,8.03531072481223E-6,1,2,12.9061126708984,4.97611115681365,40.7800003886223,47.7572199551373,6.97648635706557,100,-2.98668953467606E-5,,,,,,,,,,,,,,,,,,,,,99.8429336547852,99.9000854492188,49999.75,49999.75,49.9691204201687,5.38069141629018,7.14118671417236,26,1,0,0,1,0.277557373046875,30.3030319213867,2,1,1,99.8429336547852,0,99.871509552002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866210679.59281,99.7990417480469,49999.75,0.0368293918333746,7.15308420380271E-6,1,2,12.9061126708984,4.97612159687065,40.7800003886223,47.772254741759,6.97817931706299,100,-3.02561134948175E-5,,,,,,,,,,,,,,,,,,,,,99.7725067138672,99.8255767822266,49999.75,49999.75,49.9804540336976,5.38091377836722,7.13384199142456,26,1,0,0,1,0.267333984375,30.7917900085449,2,1,1,99.7725067138672,0,99.7990417480469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866210681.82214,99.7286720275879,49999.75,0.0368389050319778,8.70712093779022E-6,1,2,12.9061126708984,4.97605733947009,40.7800003886223,47.7833544416993,6.98238626585518,100,-2.83122041550763E-5,,,,,,,,,,,,,,,,,,,,,99.7095031738281,99.7478408813477,49999.75,49999.75,49.9527062212649,5.38090419436372,7.1307954788208,26,1,0,0,1,0.28717041015625,30.3030319213867,2,1,1,99.7095031738281,0,99.7286720275879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866210683.50619,99.6349334716797,49999.75,0.0368598732429207,8.32242392186833E-6,1,2,12.9061126708984,4.97605733947009,40.7800003886223,47.8111009666124,6.98262440526178,100,-3.12090480459813E-5,,,,,,,,,,,,,,,,,,,,,99.5767517089844,99.693115234375,49999.75,49999.75,49.9683387916495,5.38090419436372,7.13325119018555,26,1,0,0,1,0.267410278320313,30.3030319213867,2,1,1,99.5767517089844,0,99.6349334716797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866210685.51737,99.5109710693359,49999.75,0.0368447170391189,9.75520460999499E-5,1,2,12.9061126708984,4.97604905172256,40.7800003886223,47.7785400626305,7.06679458878001,100,3.59292408961655E-5,,,,,,,,,,,,,,,,,,,,,99.4451904296875,99.5767517089844,49999.75,49999.75,49.9136247953034,5.38100348694929,7.12748575210571,26,1,0,0,1,0.278396606445313,30.3030319213867,2,1,1,99.4451904296875,0,99.5109710693359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
