[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3874207064.98338,10/06/2022,10:48 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,249,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.22,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3874207168.82677
,3874207912.99463,100.073951721191,49999.6953125,0.0199583911191815,7.23238852685078E-6,1,2,13.1008939743042,2.00831621141069,25.4299994558096,4.87829040351613,0.718340243500231,10,1.3663219744521E-5,,,,,,,,,,,,,,,,,,,,,100.073951721191,100.073951721191,49999.6953125,49999.6953125,51.5566079427266,5.73498250357966,8.19995021820068,26,1,0,0,1,0.13397216796875,31.2805480957031,1,1,1,100.073951721191,0,2084573184,100.073951721191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874207915.84668,100.079650878906,49999.6953125,0.0199548335991952,5.36036853761239E-6,1,2,13.1008939743042,2.00826927741117,25.4299994558096,4.87728310175208,0.717647884417043,10,1.14821467104422E-5,,,,,,,,,,,,,,,,,,,,,100.079650878906,100.079650878906,49999.6953125,49999.6953125,51.5738037701497,5.73567200275584,8.1981143951416,26,1,0,0,1,0.129165649414062,30.7917900085449,6,1,1,100.079650878906,0,2084573184,100.079650878906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874207917.32183,100.074089050293,49999.6953125,0.0199541321390951,7.7144475027545E-6,1,2,13.1008939743042,2.00815360275317,25.4299994558096,4.87649530046482,0.718120952055128,10,1.38406993028665E-5,,,,,,,,,,,,,,,,,,,,,100.068092346191,100.080085754395,49999.6953125,49999.6953125,51.5769302842266,5.73497457926836,8.19610500335693,26,1,0,0,1,0.131988525390625,31.2805480957031,6,1,1,100.068092346191,0,2084573184,100.074089050293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874207919.84229,100.055339813232,49999.6953125,0.0199508022727229,6.18390697133831E-6,1,2,13.1008939743042,2.00818742689909,25.4299994558096,4.87583586882594,0.718031856936563,10,1.38704846609035E-5,,,,,,,,,,,,,,,,,,,,,100.042587280273,100.068092346191,49999.6953125,49999.6953125,51.5097102315728,5.73529169981593,8.19482231140137,26,1,0,0,1,0.129013061523438,31.2805480957031,2,1,1,100.042587280273,0,2084573184,100.055339813232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874207921.79939,100.023330688477,49999.6953125,0.019954811959181,7.73611044547548E-6,1,2,13.1008939743042,2.00823614345633,25.4299994558096,4.8769814523566,0.718607315337391,10,1.55022225476275E-5,,,,,,,,,,,,,,,,,,,,,100.00407409668,100.042587280273,49999.6953125,49999.6953125,51.4921235898901,5.73589129031652,8.19298076629639,26,1,0,0,1,0.135726928710938,30.7917900085449,2,1,1,100.00407409668,0,2084573184,100.023330688477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874207923.82206,99.9761619567871,49999.6953125,0.0199575416010486,7.99757773944591E-6,1,2,13.1008939743042,2.00823614345633,25.4299994558096,4.87778382689238,0.717782764044504,10,1.1728808970862E-5,,,,,,,,,,,,,,,,,,,,,99.95361328125,99.9987106323242,49999.6953125,49999.6953125,51.5222162878805,5.73589129031652,8.19384574890137,26,1,0,0,1,0.136947631835938,31.2805480957031,2,1,1,99.95361328125,0,2084573184,99.9761619567871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874207925.82691,99.9158210754394,49999.6953125,0.0199593109524283,6.51726430101301E-6,1,2,13.1008939743042,2.00831011847559,25.4299994558096,4.87845579199607,0.718583600096789,10,1.4540837811121E-5,,,,,,,,,,,,,,,,,,,,,99.8821334838867,99.9495086669922,49999.6953125,49999.6953125,51.6027240253612,5.73495338983746,8.19081020355225,26,1,0,0,1,0.135040283203125,31.2805480957031,2,1,1,99.8821334838867,0,2084573184,99.9158210754394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874207927.76902,99.8450126647949,49999.6953125,0.0199706178440989,5.75981288741983E-6,1,2,13.1008939743042,2.00831011847559,25.4299994558096,4.88120468100788,0.719091267296333,10,1.49605836917955E-5,,,,,,,,,,,,,,,,,,,,,99.8078918457031,99.8821334838867,49999.6953125,49999.6953125,51.6296902092747,5.73495338983746,8.1860237121582,26,1,0,0,1,0.134963989257812,30.3030319213867,2,1,1,99.8078918457031,0,2084573184,99.8450126647949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874207929.74903,99.7690162658691,49999.6953125,0.0199758136374157,5.72809338886285E-6,1,2,13.1008939743042,2.00840726427375,25.4299994558096,4.88290377916682,0.719467163813636,10,1.54673380813875E-5,,,,,,,,,,,,,,,,,,,,,99.7301406860352,99.8078918457031,49999.6953125,49999.6953125,51.5878730834958,5.73379068043571,8.18227672576904,26,1,0,0,1,0.132522583007812,31.2805480957031,2,1,1,99.7301406860352,0,2084573184,99.7690162658691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
