[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3874224826.85694,10/06/2022,3:44 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,255,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.71,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3874224912.74468
,3874225729.93409,100.004989624023,49999.59765625,0.0304668875854704,6.03945098675679E-6,1,2,13.1008939743042,1.97599721703678,26.6699995845556,7.22218721799841,1.05701988892725,100,-5.83979128852457E-6,,,,,,,,,,,,,,,,,,,,,100.004989624023,100.004989624023,49999.59765625,49999.59765625,51.6558747646689,5.75520367500737,7.89695644378662,26,1,0,0,1,0.129547119140625,30.7917900085449,1,1,1,100.004989624023,0,2084573184,100.004989624023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874225732.53154,100.012084960938,49999.59765625,0.0304659888317465,5.65966741377902E-6,1,2,13.1008939743042,1.97578727442829,26.6699995845556,7.22051359075961,1.05680207812512,100,-5.72752028923444E-6,,,,,,,,,,,,,,,,,,,,,100.012084960938,100.012084960938,49999.59765625,49999.59765625,51.6558747646689,5.7570563566974,7.89542436599731,26,1,0,0,1,0.132293701171875,30.3030319213867,6,1,1,100.012084960938,0,2084573184,100.012084960938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874225733.74339,100.0107421875,49999.59765625,0.0304637682230692,5.31865276781575E-6,1,2,13.1008939743042,1.97564576259666,26.6699995845556,7.21906579682652,1.05617031651726,100,-7.46173227359375E-6,,,,,,,,,,,,,,,,,,,,,100.009399414062,100.012084960938,49999.59765625,49999.59765625,51.6511849935535,5.75760432862849,7.89409351348877,26,1,0,0,1,0.131072998046875,30.3030319213867,6,1,1,100.009399414062,0,2084573184,100.0107421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874225735.99512,99.9987373352051,49999.59765625,0.0304655446805903,6.69630557331236E-6,1,2,13.1008939743042,1.97564576259666,26.6699995845556,7.21941239557928,1.05673938243336,100,-5.32058760511911E-6,,,,,,,,,,,,,,,,,,,,,99.9899520874023,100.007522583008,49999.59765625,49999.59765625,51.6640818641208,5.75760432862849,7.89624643325806,26,1,0,0,1,0.130615234375,31.7693061828613,2,1,1,99.9899520874023,0,2084573184,99.9987373352051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874225743.07417,99.8340339660644,49999.59765625,0.0304903935874891,6.70422780980317E-6,1,2,13.1008939743042,1.97550677916187,26.6699995845556,7.2229869234801,1.0666643294441,10,3.35228354188901E-5,,,,,,,,,,,,,,,,,,,,,99.8299942016602,99.8380737304687,49999.59765625,49999.59765625,51.6410238228035,5.75877612680136,7.88962459564209,26,1,0,0,1,0.132369995117188,30.7917900085449,2,1,1,99.8299942016602,0,2084573184,99.8340339660644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874225744.13611,99.7916679382324,49999.59765625,0.0305127936423693,7.69641127981192E-6,1,2,13.1008939743042,1.97542958196334,26.6699995845556,7.22796084107122,1.06597846204409,10,2.76790676571874E-5,,,,,,,,,,,,,,,,,,,,,99.7572402954102,99.8260955810547,49999.59765625,49999.59765625,51.6539206933708,5.75966133590715,7.88546800613403,26,1,0,0,1,0.13092041015625,30.7917900085449,2,1,1,99.7572402954102,0,2084573184,99.7916679382324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874225745.92753,99.7096252441406,49999.59765625,0.0305325964178332,5.91575216530103E-6,1,2,13.1008939743042,1.97542958196334,26.6699995845556,7.23255453514854,1.06733383560799,10,3.04978503467234E-5,,,,,,,,,,,,,,,,,,,,,99.6620101928711,99.7572402954102,49999.59765625,49999.59765625,51.6050689109189,5.75966133590715,7.88260316848755,26,1,0,0,1,0.130691528320312,31.2805480957031,2,1,1,99.6620101928711,0,2084573184,99.7096252441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874225752.98536,99.2590484619141,49999.59765625,0.0306318320082122,6.32545732962848E-6,1,2,13.1008939743042,1.97595095134296,26.6699995845556,7.26097738754079,1.06260788220091,100,-6.23995408983424E-6,,,,,,,,,,,,,,,,,,,,,99.2590484619141,99.2590484619141,49999.59765625,49999.59765625,51.5843557551593,5.75681844957934,7.8769268989563,26,1,0,0,1,0.130996704101562,30.7917900085449,2,1,1,99.2590484619141,0,2084573184,99.2590484619141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3874225758.88668,98.6625289916992,49999.59765625,0.0307995399346003,7.38376935210491E-6,1,2,13.1008939743042,1.97574932848384,26.6699995845556,7.29820897279681,1.07577693014861,10,2.56190978081272E-5,,,,,,,,,,,,,,,,,,,,,98.6625289916992,98.6625289916992,49999.59765625,49999.59765625,51.6973010761882,5.75841031669131,7.86501789093018,26,1,0,0,1,0.131683349609375,30.7917900085449,2,1,1,98.6340103149414,0,2084573184,98.6625289916992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
