[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866187276.69308,07/05/2022,1:52 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,lmst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,115.71,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,63.67,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866188537.10556,100.001892089844,49999.73828125,0.00407791363640142,2.22735944903569E-7,1,2,12.9061126708984,4.98469410802428,41.6299998760223,5.30303279216004,0.770027064473932,100,-6.81128049360541E-6,,,,,,,,,,,,,,,,,,,,,100.001892089844,100.001892089844,49999.73828125,49999.73828125,49.6431813276495,5.3983398589541,7.16436147689819,26,1,0,0,1,0.267715454101562,30.7917900085449,1,1,1,100.001892089844,0,100.001892089844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866188539.70068,100.002059936523,49999.73828125,0.00407818902148132,3.60136712319091E-7,1,2,12.9061126708984,4.98453035183402,41.6200011968613,5.30316185802324,0.769936687754712,100,-6.89392093398742E-6,,,,,,,,,,,,,,,,,,,,,100.002059936523,100.002059936523,49999.73828125,49999.73828125,49.6142610724379,5.39968559830992,7.1629056930542,26,1,0,0,1,0.267715454101562,30.7917900085449,6,1,1,100.002059936523,0,100.002059936523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866188546.27668,99.8936004638672,49999.73828125,0.00407631131822896,3.96837577613022E-7,1,2,12.9061126708984,4.98436130182898,41.6200011968613,5.29992311205968,0.773251742410538,10,-4.0397800687105E-6,,,,,,,,,,,,,,,,,,,,,99.8936004638672,99.8936004638672,49999.73828125,49999.73828125,49.6603771550726,5.40044565989183,7.170569896698,26,1,0,0,1,0.26702880859375,30.7917900085449,2,1,1,99.8936004638672,0,99.8936004638672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866188547.34636,99.8698387145996,49999.73828125,0.00407750235597265,5.52839654701513E-7,1,2,12.9061126708984,4.98434486401225,41.6200011968613,5.30146032136034,0.773384157970501,10,-4.11014113014172E-6,,,,,,,,,,,,,,,,,,,,,99.846076965332,99.8936004638672,49999.73828125,49999.73828125,49.6103529298418,5.40042704728492,7.16635799407959,26,1,0,0,1,0.267257690429687,30.7917900085449,2,1,1,99.846076965332,0,99.8698387145996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866188549.66707,99.7978553771973,49999.73828125,0.0040797936323852,3.35245196756357E-7,1,2,12.9061126708984,4.98429443213181,41.6299998760223,5.3043246419119,0.774075504890625,10,-3.90647747376005E-6,,,,,,,,,,,,,,,,,,,,,99.7496337890625,99.846076965332,49999.73828125,49999.73828125,49.6814811250918,5.40040993243959,7.1663236618042,26,1,0,0,1,0.268173217773438,30.3030319213867,2,1,1,99.7496337890625,0,99.7978553771973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866188552.65666,99.6606826782227,49999.73828125,0.00408598308922004,4.42833167960095E-7,1,2,12.9061126708984,4.98438159984991,41.6200011968613,5.31245396800443,0.77559826176295,10,-3.65904943018336E-6,,,,,,,,,,,,,,,,,,,,,99.5811920166016,99.7401733398438,49999.73828125,49999.73828125,49.6545149411783,5.40017653341241,7.16348552703857,26,1,0,0,1,0.267105102539062,30.7917900085449,2,1,1,99.5811920166016,0,99.6606826782227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866188555.41268,99.5124740600586,49999.73828125,0.00409046677133839,4.99270308926979E-7,1,2,12.9061126708984,4.98438159984991,41.6200011968613,5.3183528980402,0.775976945484298,10,-4.02645501412538E-6,,,,,,,,,,,,,,,,,,,,,99.4527282714844,99.5722198486328,49999.73828125,49999.73828125,49.6595955265533,5.40017653341241,7.15846109390259,26,1,0,0,1,0.267715454101562,30.7917900085449,2,1,1,99.4527282714844,0,99.5124740600586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866188557.48074,99.3889465332031,49999.73828125,0.00409639635202422,5.35459807005409E-7,1,2,12.9061126708984,4.98440783657322,41.6200011968613,5.32603640795761,0.777552803023565,10,-3.68979497885417E-6,,,,,,,,,,,,,,,,,,,,,99.3251647949219,99.4527282714844,49999.73828125,49999.73828125,49.6177784007745,5.39987239567328,7.14931154251099,26,1,0,0,1,0.26763916015625,30.3030319213867,2,1,1,99.3251647949219,0,99.3889465332031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866188559.5715,99.2240219116211,49999.73828125,0.00407310764115331,3.94836663269405E-5,1,2,12.9061126708984,4.98432885954654,41.6200011968613,5.28995538477433,0.811803259085556,10,2.60918954908455E-5,,,,,,,,,,,,,,,,,,,,,99.1718063354492,99.276237487793,49999.73828125,49999.73828125,49.6509976128418,5.40034464728762,7.15911483764648,24,1,64,0,0,0.267105102539062,30.3030319213867,2,1,1,99.1718063354492,0,99.2240219116211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866188561.72882,99.07421875,49999.73828125,0.00411174495907551,5.68388843396697E-7,1,2,12.9061126708984,4.98432885954654,41.6200011968613,5.34585577050169,0.780568128866381,10,-3.61183350650554E-6,,,,,,,,,,,,,,,,,,,,,99.0374603271484,99.1109771728516,49999.73828125,49999.73828125,49.5243737927264,5.40034464728762,7.15147686004639,26,1,0,0,1,0.267715454101562,30.3030319213867,2,1,1,99.0374603271484,0,99.07421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
