[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866116436.74352,07/04/2022,6:11 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,153.48,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.25,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866117474.02082,100.001121520996,49999.48828125,0.0034062989232093,3.97847981605147E-7,1,2,12.9061126708984,4.97795503452497,37.3300015926361,4.42082766877288,0.644727108174736,100,-3.57628992698534E-6,,,,,,,,,,,,,,,,,,,,,100.001121520996,100.001121520996,49999.48828125,49999.48828125,49.7291604647649,5.38056574577763,7.34225702285767,26,1,0,0,1,0.266342163085938,29.8142719268799,1,1,1,100.001121520996,0,100.001121520996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866117476.56634,100.001419067383,49999.48828125,0.00340564576278961,4.08028083384712E-7,1,2,12.9061126708984,4.97795503452497,37.3300015926361,4.42003437250791,0.644233183363343,100,-3.86096699686609E-6,,,,,,,,,,,,,,,,,,,,,100.001419067383,100.001419067383,49999.48828125,49999.48828125,49.7393216355149,5.38056574577763,7.33782052993774,26,1,0,0,1,0.274429321289062,31.2805480957031,6,1,1,100.001419067383,0,100.001419067383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866117478.40423,99.9902420043945,49999.48828125,0.00340394646510305,3.5557155531159E-7,1,2,12.9061126708984,4.97790928150834,37.3300015926361,4.41789023627755,0.643097350369499,100,-4.48022201274194E-6,,,,,,,,,,,,,,,,,,,,,99.9790649414062,100.001419067383,49999.48828125,49999.48828125,49.7154819656783,5.38018363318994,7.3422589302063,26,1,0,0,1,0.26611328125,29.8142719268799,6,1,1,99.9790649414062,0,99.9902420043945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866117481.58814,99.9486618041992,49999.48828125,0.0034021921242648,3.79806802232925E-7,1,2,12.9061126708984,4.97790928150834,37.3300015926361,4.4155499009808,0.643197623143067,100,-4.14521588076111E-6,,,,,,,,,,,,,,,,,,,,,99.9224090576172,99.9749145507812,49999.48828125,49999.48828125,49.7373675642168,5.38018363318994,7.34252119064331,26,1,0,0,1,0.269927978515625,29.8142719268799,2,1,1,99.9224090576172,0,99.9486618041992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866117490.5385,99.64208984375,49999.48828125,0.00340189894834158,3.34638891783978E-7,1,2,12.9061126708984,4.9779365365837,37.3300015926361,4.41484159180801,0.64560994670533,10,-2.24694274549238E-6,,,,,,,,,,,,,,,,,,,,,99.64208984375,99.64208984375,49999.48828125,49999.48828125,49.7530001346014,5.38058786611394,7.34049797058105,25,1,68,0,0,0.271987915039062,29.8142719268799,2,1,1,99.64208984375,0,99.64208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866117491.50952,99.5752944946289,49999.48828125,0.00340440006531494,4.59272903290566E-7,1,2,12.9061126708984,4.9779365365837,37.3300015926361,4.41808416533452,0.646106872399696,10,-2.231436158743E-6,,,,,,,,,,,,,,,,,,,,,99.5377731323242,99.6128158569336,49999.48828125,49999.48828125,49.7014126523322,5.38058786611394,7.33132743835449,26,1,0,0,1,0.26611328125,29.8142719268799,2,1,1,99.5377731323242,0,99.5752944946289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866117493.70246,99.4507637023926,49999.48828125,0.00340809851211817,6.04960805063226E-7,1,2,12.9061126708984,4.97797635038214,37.3300015926361,4.42287202079731,0.6472352689863,10,-1.9108083046573E-6,,,,,,,,,,,,,,,,,,,,,99.4108810424805,99.4906463623047,49999.48828125,49999.48828125,49.7010218380726,5.38006855332546,7.33808660507202,26,1,0,0,1,0.266494750976562,29.8142719268799,2,1,1,99.4108810424805,0,99.4507637023926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866117495.34095,99.3480186462402,49999.48828125,0.00341334734254648,4.92477131952938E-7,1,2,12.9061126708984,4.97795204162876,37.3300015926361,4.42968255826289,0.648028359518245,10,-2.06731286818218E-6,,,,,,,,,,,,,,,,,,,,,99.28515625,99.4108810424805,49999.48828125,49999.48828125,49.7350226786591,5.38019998789123,7.33632326126099,26,1,0,0,1,0.274887084960938,30.3030319213867,2,1,1,99.28515625,0,99.3480186462402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866117497.36053,99.2121467590332,49999.48828125,0.00341958294869652,4.23826733856789E-7,1,2,12.9061126708984,4.97795204162876,37.3300015926361,4.43771519991298,0.649618133073061,10,-1.75826279221926E-6,,,,,,,,,,,,,,,,,,,,,99.1391372680664,99.28515625,49999.48828125,49999.48828125,49.7240798793899,5.38019998789123,7.32625865936279,26,1,0,0,1,0.265960693359375,30.3030319213867,2,1,1,99.1391372680664,0,99.2121467590332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866117499.6748,98.978816986084,49999.48828125,0.00342732662169401,7.05732847182233E-7,1,2,12.9061126708984,4.97796622598792,37.3300015926361,4.44775402486319,0.651284052726694,10,-1.61409525384767E-6,,,,,,,,,,,,,,,,,,,,,98.870491027832,99.0871429443359,49999.48828125,49999.48828125,49.7479195492264,5.38035309174735,7.32557821273804,26,1,0,0,1,0.265655517578125,29.8142719268799,2,1,1,98.870491027832,0,98.978816986084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
