[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865742957.32839,06/30/2022,10:27 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Lmst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,111.94,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.28,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865744005.75706,100.00048828125,49999.75,0.0241382877418729,2.76847963667254E-6,1,2,12.9061126708984,4.98086357589644,45.7400009036064,31.3506301188738,4.59106683694441,100,-1.10678310693961E-5,,,,,,,,,,,,,,,,,,,,,100.00048828125,100.00048828125,49999.75,49999.75,49.6463078417264,5.40634607683171,7.42642784118652,26,1,0,0,1,0.27496337890625,30.7917900085449,1,1,1,100.00048828125,0,100.00048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865744008.51295,100.000732421875,49999.75,0.0241364648478452,2.95645824175624E-6,1,2,12.9061126708984,4.98116226859896,45.7400009036064,31.3513414596479,4.58813784671522,100,-1.33531410907278E-5,,,,,,,,,,,,,,,,,,,,,100.000732421875,100.000732421875,49999.75,49999.75,49.7018034665918,5.40515940330622,7.4338755607605,26,1,0,0,1,0.277481079101562,29.3255138397217,6,1,1,100.000732421875,0,100.000732421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865744010.26214,99.9931755065918,49999.75,0.0241364555604992,3.33242472932418E-6,1,2,12.9061126708984,4.98107021925236,45.7400009036064,31.3501733629878,4.59034228423623,100,-1.15626967634873E-5,,,,,,,,,,,,,,,,,,,,,99.9856185913086,100.000732421875,49999.75,49999.75,49.6326293426399,5.40573098668944,7.42889213562012,26,1,0,0,1,0.276870727539062,29.8142719268799,6,1,1,99.9856185913086,0,99.9931755065918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865744013.80918,99.9425392150879,49999.75,0.0241212185323875,3.3095915020727E-6,1,2,12.9061126708984,4.98099059254732,45.7400009036064,31.3297620492264,4.58677169036625,100,-1.19940358235659E-5,,,,,,,,,,,,,,,,,,,,,99.9017181396484,99.9833602905273,49999.75,49999.75,49.5724439466591,5.40705557969132,7.42590093612671,26,1,0,0,1,0.276718139648438,30.3030319213867,2,1,1,99.9017181396484,0,99.9425392150879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865744016.49534,99.8786354064941,49999.75,0.0241190140950893,3.48435381881664E-6,1,2,12.9061126708984,4.98099059254732,45.7400009036064,31.3271497707088,4.58464434612628,100,-1.33081713374658E-5,,,,,,,,,,,,,,,,,,,,,99.8555526733398,99.9017181396484,49999.75,49999.75,49.7530001346014,5.40705557969132,7.43546390533447,26,1,0,0,1,0.276336669921875,29.8142719268799,2,1,1,99.8555526733398,0,99.8786354064941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865744018.58262,99.8222618103027,49999.75,0.0241193419967657,1.37998427552154E-6,1,2,12.9061126708984,4.98109741012735,45.7400009036064,31.328621128029,4.58415703765819,100,-1.3837959395648E-5,,,,,,,,,,,,,,,,,,,,,99.7889709472656,99.8555526733398,49999.75,49999.75,49.5458685770052,5.40653261966639,7.43080139160156,26,1,0,0,1,0.278167724609375,30.3030319213867,2,1,1,99.7889709472656,0,99.8222618103027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865744020.64259,99.7370223999023,49999.75,0.0241241759802555,1.86925323524649E-6,1,2,12.9061126708984,4.98113623926346,45.7400009036064,31.3349365734464,4.58721427237824,100,-1.2232918337355E-5,,,,,,,,,,,,,,,,,,,,,99.7077865600586,99.7662582397461,49999.75,49999.75,49.6998493952937,5.40548868037672,7.42991161346436,26,1,0,0,1,0.274505615234375,29.8142719268799,2,1,1,99.7077865600586,0,99.7370223999023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865744022.87791,99.6599807739258,49999.75,0.0241147232570838,8.04848657944053E-5,1,2,12.9061126708984,4.98113623926346,45.7400009036064,31.3387760685955,4.47570646771155,100,-9.6698358321E-5,,,,,,,,,,,,,,,,,,,,,99.6359405517578,99.6840209960937,49999.75,49999.75,49.727988021986,5.40548868037672,7.42459058761597,26,1,0,0,1,0.277252197265625,30.3030319213867,2,1,1,99.6359405517578,0,99.6599807739258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865744024.51674,99.5801887512207,49999.75,0.0241358507443583,2.29144230183335E-5,1,2,12.9061126708984,4.98115131739979,45.7400009036064,31.3467376107674,4.61325548766598,100,6.08695051132138E-6,,,,,,,,,,,,,,,,,,,,,99.5358123779297,99.6245651245117,49999.75,49999.75,49.6037090874283,5.4055748802748,7.42682552337646,26,1,0,0,1,0.273895263671875,30.3030319213867,2,1,1,99.5358123779297,0,99.5801887512207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865744026.54046,99.4793739318848,49999.75,0.0241741125930659,2.78655374921107E-6,1,2,12.9061126708984,4.98122245310675,45.7400009036064,31.4005514190553,4.59690236454712,100,-1.2196028762544E-5,,,,,,,,,,,,,,,,,,,,,99.4229354858398,99.5358123779297,49999.75,49999.75,49.7420573353322,5.40467347808435,7.41942548751831,26,1,0,0,1,0.27618408203125,29.8142719268799,2,1,1,99.4229354858398,0,99.4793739318848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
