[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866254327.33062,07/06/2022,8:29 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,lmst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,130.62,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.24,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866255328.14406,100.002426147461,49999.76171875,0.0445566925700302,0.00345641204502353,1,2,12.9061126708984,4.97758242322982,34.0799987316132,58.5719037920793,3.32351194417055,1000,-0.00398439700077436,,,,,,,,,,,,,,,,,,,,,100.002426147461,100.002426147461,49999.76171875,49999.76171875,49.5872948885245,5.37090019950702,7.40469026565552,26,1,0,0,1,0.26611328125,29.8142719268799,1,1,1,100.002426147461,0,100.002426147461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866255339.56112,99.8113784790039,49999.76171875,0.0382310356452362,0.000616755064496907,1,2,12.9061126708984,4.97733767559281,34.0799987316132,49.7324059906736,6.39541676949324,1000,-0.000687195174435236,,,,,,,,,,,,,,,,,,,,,99.8113784790039,99.8113784790039,49999.76171875,49999.76171875,49.677182168236,5.37195450314186,7.40036344528198,26,1,0,0,1,0.267105102539062,29.8142719268799,2,1,1,99.8113784790039,0,99.8113784790039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866255340.86991,99.7722969055176,49999.76171875,0.0383809253051564,2.93007821196173E-6,1,2,12.9061126708984,4.97709720167249,34.0799987316132,49.8002449115929,7.26240162993145,1000,-4.0593655625805E-5,,,,,,,,,,,,,,,,,,,,,99.7332153320312,99.8113784790039,49999.76171875,49999.76171875,49.6252038717072,5.37312144736932,7.4100489616394,26,1,0,0,1,0.266036987304687,29.8142719268799,2,1,1,99.7332153320312,0,99.7722969055176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866255343.10667,99.6810340881348,49999.76171875,0.0383820946302298,1.60518913877815E-5,1,2,12.9061126708984,4.97735849007822,34.0799987316132,49.8063231199728,7.25714884952668,1000,-4.52274718118174E-5,,,,,,,,,,,,,,,,,,,,,99.6288528442383,99.7332153320312,49999.76171875,49999.76171875,49.6318477141206,5.3721573254375,7.4000883102417,26,1,0,0,1,0.26641845703125,30.3030319213867,2,1,1,99.6288528442383,0,99.6810340881348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866255354.80893,98.7583923339844,49999.76171875,0.0373712177638617,0.000649623534337795,1,2,12.9061126708984,4.97691798749959,34.0799987316132,48.4553912505728,7.2906830098112,1000,0.000129827904633423,,,,,,,,,,,,,,,,,,,,,98.7583923339844,98.7583923339844,49999.76171875,49999.76171875,49.606053972986,5.37223101843341,7.39951467514038,26,1,0,0,1,0.26702880859375,31.2805480957031,2,1,1,98.7583923339844,0,98.7583923339844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866255356.70224,98.5201988220215,49999.76171875,0.0370359239904609,0.00102042605546878,1,2,12.9061126708984,4.98055712692218,34.0799987316132,48.0740015595097,7.20572807340532,1000,0.000107891278759627,,,,,,,,,,,,,,,,,,,,,98.3025512695313,98.7378463745117,49999.76171875,49999.76171875,49.5423512486687,5.37342056855269,7.38261079788208,26,1,0,0,1,0.276412963867187,30.3030319213867,2,1,1,98.3025512695313,0,98.5201988220215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866255359.34326,98.185905456543,49999.76171875,0.031436467500575,0.00228868328562532,1,2,12.9061126708984,4.98666991174343,34.0799987316132,41.312563764521,3.15580104859659,1000,-0.00219237611605858,,,,,,,,,,,,,,,,,,,,,98.0692596435547,98.3025512695313,49999.76171875,49999.76171875,49.5525124194187,5.37143713257269,7.38132619857788,26,1,0,0,1,0.269012451171875,30.3030319213867,2,1,1,98.0692596435547,0,98.185905456543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866255361.55784,97.7972068786621,49999.76171875,0.0232904675451647,0.00245621324760083,1,2,12.9061126708984,4.98620273244112,34.0799987316132,32.4339553488058,-10.1226589074633,1000,-0.0112043246237383,,,,,,,,,,,,,,,,,,,,,97.7185974121094,97.8758163452148,49999.76171875,49999.76171875,49.6255946859668,5.37357641065958,7.38417053222656,25,1,68,0,0,0.267562866210938,31.2805480957031,2,1,1,97.7185974121094,0,97.7972068786621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866255363.32751,97.5433616638184,49999.76171875,0.0378700713293608,0.00213199875596593,1,2,12.9061126708984,4.98620273244112,34.0799987316132,51.0612599513698,-5.05085009708515,1000,-0.00944682121839161,,,,,,,,,,,,,,,,,,,,,97.3989028930664,97.6878204345703,49999.76171875,49999.76171875,49.7049299806687,5.37357641065958,7.3751392364502,24,1,68,0,0,0.266342163085938,29.8142719268799,2,1,1,97.3989028930664,0,97.5433616638184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866255365.5409,97.1297225952148,49999.76171875,0.0431276750229299,0.00283531990606754,1,2,12.9061126708984,4.98602174158406,34.060001373291,57.2514952395103,0.34560243983216,1000,-0.00607020144438687,,,,,,,,,,,,,,,,,,,,,96.952880859375,97.3065643310547,49999.76171875,49999.76171875,49.5329717064379,5.37791046518085,7.37789440155029,22,1,68,0,0,0.277023315429687,29.8142719268799,2,1,1,96.952880859375,0,97.1297225952148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
