[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3873624057.04835,09/29/2022,4:52 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,69.78,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3873624199.41678
,3873624967.24232,99.9902038574219,49999.609375,0.0346716016709499,2.66703886618555E-5,1,2,13.1008939743042,1.98278698054468,28.0000008642674,8.27735627657879,1.17828136249844,100,-0.000142751333364231,,,,,,,,,,,,,,,,,,,,,99.9902038574219,99.9902038574219,49999.609375,49999.609375,51.7805445134862,5.91702031964016,7.58143424987793,26,1,0,0,1,0.128860473632812,30.3030319213867,1,1,1,99.9902038574219,0,2084573184,99.9902038574219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873624970.07171,99.9974594116211,49999.609375,0.0346771757011748,5.40155488593471E-6,1,2,13.1008939743042,1.98232545553528,27.9900003224611,8.270460439751,1.2091396797918,100,-1.19942893331601E-5,,,,,,,,,,,,,,,,,,,,,99.9974594116211,99.9974594116211,49999.609375,49999.609375,51.8133729112939,5.80319494179546,7.58005666732788,26,1,0,0,1,0.129013061523438,31.2805480957031,6,1,1,99.9974594116211,0,2084573184,99.9974594116211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873624971.71409,99.9967193603516,49999.609375,0.0346719590440058,5.07782068800546E-6,1,2,13.1008939743042,1.9821650296194,27.9900003224611,8.2679053012337,1.20905392918238,100,-1.08107995065045E-5,,,,,,,,,,,,,,,,,,,,,99.995979309082,99.9974594116211,49999.609375,49999.609375,51.8532359657747,5.8058915865417,7.57782459259033,26,1,0,0,1,0.1318359375,31.2805480957031,6,1,1,99.995979309082,0,2084573184,99.9967193603516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873624974.40054,99.9849853515625,49999.609375,0.0346761609313534,6.93417590117592E-6,1,2,13.1008939743042,1.98214840762606,27.9900003224611,8.26873505410709,1.20945871305506,100,-9.64833262793617E-6,,,,,,,,,,,,,,,,,,,,,99.9752731323242,99.9946975708008,49999.609375,49999.609375,51.815326982592,5.80416360737662,7.57722282409668,26,1,0,0,1,0.130691528320312,30.7917900085449,2,1,1,99.9752731323242,0,2084573184,99.9849853515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873624976.35308,99.9600868225098,49999.609375,0.0346811791072684,6.09543194523582E-6,1,2,13.1008939743042,1.98214840762606,27.9900003224611,8.26986127575777,1.21011405770351,100,-7.63536527063104E-6,,,,,,,,,,,,,,,,,,,,,99.9449005126953,99.9752731323242,49999.609375,49999.609375,51.8016484835055,5.80416360737662,7.57616806030273,26,1,0,0,1,0.139541625976562,31.2805480957031,2,1,1,99.9449005126953,0,2084573184,99.9600868225098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873624987.39337,99.56640625,49999.609375,0.0347491290416712,6.29693519403199E-6,1,2,13.1008939743042,1.98228785251107,27.9900003224611,8.2871604151041,1.21271396471343,100,-7.36889235008911E-6,,,,,,,,,,,,,,,,,,,,,99.56640625,99.56640625,49999.609375,49999.609375,51.8434656092843,5.80401885600937,7.56787347793579,26,1,0,0,1,0.130691528320312,31.2805480957031,2,1,1,99.56640625,0,2084573184,99.56640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873624988.44495,99.496753692627,49999.609375,0.0347832498190053,5.91742858587354E-6,1,2,13.1008939743042,1.98228785251107,27.9900003224611,8.295279551304,1.21402874234864,100,-6.8561949611651E-6,,,,,,,,,,,,,,,,,,,,,99.4534606933594,99.5400466918945,49999.609375,49999.609375,51.8942714630343,5.80401885600937,7.56499624252319,25,1,64,0,0,0.138702392578125,31.2805480957031,2,1,1,99.4534606933594,0,2084573184,99.496753692627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873624990.25276,99.3561477661133,49999.609375,0.0348208100750306,5.32289604213014E-6,1,2,13.1008939743042,1.98223676940655,27.9900003224611,8.30387878082095,1.21495480594827,100,-8.22843692305868E-6,,,,,,,,,,,,,,,,,,,,,99.2766036987305,99.4356918334961,49999.609375,49999.609375,51.8622246937459,5.80414426473576,7.56553077697754,26,1,0,0,1,0.13214111328125,32.7468223571777,2,1,1,99.2766036987305,0,2084573184,99.3561477661133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873624992.18504,99.1939315795898,49999.609375,0.0352120971214547,0.000341229020870585,1,2,13.1008939743042,1.98211346918569,28.0000008642674,8.39132913594073,1.26169720219017,100,0.000131064273997336,,,,,,,,,,,,,,,,,,,,,99.1112594604492,99.2766036987305,49999.609375,49999.609375,51.8809837782074,5.80482521799344,7.56117963790894,26,1,0,0,1,0.130996704101562,31.7693061828613,2,1,1,99.1112594604492,0,2084573184,99.1939315795898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
