[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3873604014.51394,09/29/2022,11:18 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,lmst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.94,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3873604208.04454
,3873605031.59653,100.072525024414,49999.55859375,0.00497005872714707,5.71550657457955E-7,1,2,13.1008939743042,5.01099511383504,31.2599986791611,5.79426257976924,0.845656830049244,100,-2.94792281875554E-6,,,,,,,,,,,,,,,,,,,,,100.072525024414,100.072525024414,49999.55859375,49999.55859375,50.7831865229477,5.78707627450774,7.47343921661377,26,1,0,0,1,0.298843383789063,30.7917900085449,1,1,1,100.072525024414,0,2084573184,100.072525024414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873605034.46125,100.07804107666,49999.55859375,0.00497019422126028,5.66444959596918E-7,1,2,13.1008939743042,5.01026401313142,31.2599986791611,5.79324606207906,0.845459555433988,100,-2.98909496916451E-6,,,,,,,,,,,,,,,,,,,,,100.07804107666,100.07804107666,49999.55859375,49999.55859375,50.8918328871208,5.78937879275261,7.47664928436279,26,1,0,0,1,0.291976928710937,30.3030319213867,6,1,1,100.07804107666,0,2084573184,100.07804107666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873605035.9426,100.076549530029,49999.55859375,0.00496885257009971,4.72669730616244E-7,1,2,13.1008939743042,5.00925697761782,31.2599986791611,5.79007952390032,0.844827898118851,100,-3.13074518595165E-6,,,,,,,,,,,,,,,,,,,,,100.075057983398,100.07804107666,49999.55859375,49999.55859375,51.0641819756112,5.79223647558832,7.47680425643921,26,1,0,0,1,0.290756225585937,31.7693061828613,6,1,1,100.075057983398,0,2084573184,100.076549530029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873605038.43077,100.065280914307,49999.55859375,0.0049681552502061,5.22311384949305E-7,1,2,13.1008939743042,5.00925697761782,31.2700010836124,5.7891288543084,0.845651658254486,100,-2.32156212515941E-6,,,,,,,,,,,,,,,,,,,,,100.055503845215,100.075057983398,49999.55859375,49999.55859375,50.6370219898515,5.79223647558832,7.47253561019897,26,1,0,0,1,0.30364990234375,29.8142719268799,2,1,1,100.055503845215,0,2084573184,100.065280914307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873605045.36884,99.9149780273437,49999.55859375,0.00497255888485172,8.16991636397438E-7,1,2,13.1008939743042,5.00870716313716,31.2700010836124,5.79274609107332,0.85053668664045,10,1.3376400200265E-6,,,,,,,,,,,,,,,,,,,,,99.9149780273437,99.9149780273437,49999.55859375,49999.55859375,51.0063414651881,5.7998977941424,7.4659571647644,26,1,0,0,1,0.303115844726562,30.7917900085449,2,1,1,99.9149780273437,0,2084573184,99.9149780273437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873605046.39926,99.8875579833984,49999.55859375,0.00497474078774706,7.92607742127777E-7,1,2,13.1008939743042,5.0090874464575,31.2700010836124,5.79585385565612,0.851335294821106,10,1.62583113271211E-6,,,,,,,,,,,,,,,,,,,,,99.8601379394531,99.9149780273437,49999.55859375,49999.55859375,51.0176750787169,5.79765366077551,7.46340751647949,26,1,0,0,1,0.292892456054687,30.7917900085449,2,1,1,99.8601379394531,0,2084573184,99.8875579833984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873605048.40074,99.8070487976074,49999.55859375,0.00497784246613595,8.96892501455967E-7,1,2,13.1008939743042,5.0090874464575,31.2700010836124,5.79945330335837,0.851962865266348,10,1.70990573358262E-6,,,,,,,,,,,,,,,,,,,,,99.7714385986328,99.842658996582,49999.55859375,49999.55859375,50.7929568794381,5.79765366077551,7.46120595932007,26,1,0,0,1,0.295639038085937,31.7693061828613,2,1,1,99.7714385986328,0,2084573184,99.8070487976074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873605050.39735,99.7227439880371,49999.55859375,0.00498197003810926,1.05023778378228E-6,1,2,13.1008939743042,5.00830720793053,31.2599986791611,5.80285433627575,0.853466222886626,10,2.55484068299557E-6,,,,,,,,,,,,,,,,,,,,,99.6816711425781,99.7638168334961,49999.55859375,49999.55859375,50.7726345379381,5.79539003309855,7.46553468704224,26,1,0,0,1,0.29449462890625,32.2580642700195,2,1,1,99.6816711425781,0,2084573184,99.7227439880371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873605052.42561,99.609001159668,49999.55859375,0.00498989954186841,4.4627202147857E-5,1,2,13.1008939743042,5.00676622387223,31.2599986791611,5.80130727349371,0.910976099683312,10,5.10999836871901E-5,,,,,,,,,,,,,,,,,,,,,99.5626068115234,99.6553955078125,49999.55859375,49999.55859375,50.765599881265,5.80105283140936,7.46713447570801,25,1,64,0,0,0.298080444335937,31.7693061828613,2,1,1,99.5626068115234,0,2084573184,99.609001159668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
