[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866275390.52582,07/06/2022,2:20 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,lmst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,127.59,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.12,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866276366.73564,100.000907897949,49999.78515625,0.0736263167205421,5.02640634209053E-5,1,2,12.9061126708984,4.99838094621225,40.6600013375282,96.0979249927692,14.0708484346168,100,-3.52431009659621E-5,,,,,,,,,,,,,,,,,,,,,100.000907897949,100.000907897949,49999.78515625,49999.78515625,49.8280364724476,5.41962451613324,7.07221078872681,26,1,0,0,1,0.272750854492187,29.8142719268799,1,1,1,100.000907897949,0,100.000907897949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866276369.34734,100.001098632813,49999.78515625,0.073668169914215,7.54649631724577E-6,1,2,12.9061126708984,4.99655283406066,40.6499989330769,96.1019721655878,14.0805029583121,100,-2.84624944471687E-5,,,,,,,,,,,,,,,,,,,,,100.001098632813,100.001098632813,49999.78515625,49999.78515625,49.9476256358899,5.41738415361036,7.07647085189819,26,1,0,0,1,0.280990600585938,29.8142719268799,6,1,1,100.001098632813,0,100.001098632813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866276370.69751,99.9984436035156,49999.78515625,0.0736882643921758,1.86720942620472E-5,1,2,12.9061126708984,4.99655283406066,40.6499989330769,96.1288403072157,14.0798893546912,100,-3.18849855687949E-5,,,,,,,,,,,,,,,,,,,,,99.9957885742188,100.001098632813,49999.78515625,49999.78515625,49.944499121813,5.41738415361036,7.07692909240723,26,1,0,0,1,0.2734375,30.3030319213867,6,1,1,99.9957885742188,0,99.9984436035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866276373.17566,99.9811935424805,49999.78515625,0.0736034296373737,2.66069031952474E-5,1,2,12.9061126708984,4.9965296331818,40.6499989330769,96.0224451263466,14.0302378236402,100,-5.74149951229458E-5,,,,,,,,,,,,,,,,,,,,,99.9665985107422,99.9957885742188,49999.78515625,49999.78515625,49.9284757371687,5.41805372077467,7.06978321075439,26,1,0,0,1,0.269927978515625,29.8142719268799,2,1,1,99.9665985107422,0,99.9811935424805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866276375.18326,99.9465560913086,49999.78515625,0.073539281791927,7.51132473673514E-6,1,2,12.9061126708984,4.99628324510277,40.6499989330769,95.9278415563843,14.0462148492793,100,-3.4998522898507E-5,,,,,,,,,,,,,,,,,,,,,99.9317626953125,99.9613494873047,49999.78515625,49999.78515625,49.9386369079188,5.41895680805257,7.07768154144287,26,1,0,0,1,0.271530151367187,30.3030319213867,2,1,1,99.9317626953125,0,99.9465560913086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866276377.45603,99.9020881652832,49999.78515625,0.0734914111979525,5.59067871564315E-6,1,2,12.9061126708984,4.99628324510277,40.6600013375282,95.8641875562755,14.0453043928142,100,-2.86638225706127E-5,,,,,,,,,,,,,,,,,,,,,99.8893585205078,99.9148178100586,49999.78515625,49999.78515625,49.893693268063,5.41895680805257,7.07644653320312,26,1,0,0,1,0.268707275390625,30.3030319213867,2,1,1,99.8893585205078,0,99.9020881652832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866276379.07354,99.8514671325684,49999.78515625,0.0732788214979485,0.000270978218903626,1,2,12.9061126708984,4.99632111494158,40.6499989330769,95.5479939611848,14.2764263292761,100,0.000179644522695889,,,,,,,,,,,,,,,,,,,,,99.8135757446289,99.8893585205078,49999.78515625,49999.78515625,49.9820172907361,5.42023421006545,7.06466341018677,26,1,0,0,1,0.2789306640625,30.3030319213867,2,1,1,99.8135757446289,0,99.8514671325684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866276381.11486,99.7708358764648,49999.78515625,0.0734631793190281,8.16967756539537E-6,1,2,12.9061126708984,4.99640193288928,40.6499989330769,95.8336413773211,14.019346221328,100,-4.47753068928749E-5,,,,,,,,,,,,,,,,,,,,,99.7280960083008,99.8135757446289,49999.78515625,49999.78515625,49.9030728102937,5.41882907059455,7.07489967346191,26,1,0,0,1,0.267257690429687,30.3030319213867,2,1,1,99.7280960083008,0,99.7708358764648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866276383.35124,99.6715469360352,49999.78515625,0.0734667946393597,2.91242465219558E-5,1,2,12.9061126708984,4.99643098361071,40.6499989330769,95.8440629152887,13.9866316200866,100,-7.04740926195496E-5,,,,,,,,,,,,,,,,,,,,,99.6149978637695,99.7280960083008,49999.78515625,49999.78515625,50.0031212607553,5.41794028126435,7.06977224349976,26,1,0,0,1,0.2764892578125,30.3030319213867,2,1,1,99.6149978637695,0,99.6715469360352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866276385.3987,99.5510292053223,49999.78515625,0.0735749408460223,9.52386063044573E-5,1,2,12.9061126708984,4.99643098361071,40.6499989330769,95.9640222049518,14.1510300632251,100,3.96711909190314E-5,,,,,,,,,,,,,,,,,,,,,99.5167007446289,99.5853576660156,49999.78515625,49999.78515625,49.8788423261976,5.41794028126435,7.06272172927856,26,1,0,0,1,0.2685546875,30.7917900085449,2,1,1,99.5167007446289,0,99.5510292053223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
