[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865685509.89007,06/29/2022,6:29 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,170.11,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.01,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865687465.54462,1.99952292442322,26.2620124816895,0.00481113141446575,3.3491484591245E-7,1,5,12.9061126708984,4.99618693192953,41.6800007224083,6.27591223992546,0.917332646064617,100,-3.50297003980475E-6,,,,,,,,,,,,,,,,,,,,,1.99952292442322,1.99952292442322,26.2620124816895,26.2620124816895,49.7447930351495,5.36050216405349,2.62839579582214,65,1,0,0,1,0.266952514648438,30.3030319213867,1,1,1,1.99952292442322,0,1.99952292442322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865687470.56979,2.36454904079437,26.2620124816895,0.00470679531064776,1.35968059736206E-5,1,5,12.9061126708984,4.99622651709933,41.6800007224083,6.13989262154831,0.89735287900939,100,-3.50067627797887E-6,,,,,,,,,,,,,,,,,,,,,2.03461694717407,2.69448113441467,26.2620124816895,26.2620124816895,49.7670694479476,5.36083304473677,2.94940948486328,65,1,0,0,1,0.267868041992187,29.3255138397217,6,1,1,2.69448113441467,0,2.36454904079437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865687477.01156,3.22886693477631,26.2620124816895,0.00361314804344107,5.05889255120975E-5,1,5,12.9061126708984,4.99616078146641,41.6800007224083,4.71300104328046,0.689993703134018,100,-1.79950606796925E-6,,,,,,,,,,,,,,,,,,,,,3.04430055618286,3.41343331336975,26.2620124816895,26.2620124816895,49.7424481495918,5.36075961019391,3.27048802375793,65,1,0,0,1,0.26763916015625,30.3030319213867,6,1,1,3.41343331336975,0,3.22886693477631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865687483.43615,4.12066650390625,26.2620124816895,0.00241992967810035,3.02284364967906E-5,1,5,12.9061126708984,4.99613770097885,41.6800007224083,3.15657360002296,0.461916694786258,100,-1.3648078656151E-6,,,,,,,,,,,,,,,,,,,,,4.12066650390625,4.12066650390625,26.2620124816895,26.2620124816895,49.7596439770149,5.36098251728102,3.56190061569214,65,1,0,0,1,0.286331176757813,30.7917900085449,6,1,1,4.12066650390625,0,4.12066650390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865687490.02194,5.05755615234375,26.2620124816895,0.00175562940631642,1.59031305990098E-5,1,5,12.9061126708984,4.99610415095698,41.6800007224083,2.29006593277964,0.334894491770964,100,-1.15673340143285E-6,,,,,,,,,,,,,,,,,,,,,5.05755615234375,5.05755615234375,26.2620124816895,26.2620124816895,49.7842652753707,5.36109654693595,3.86732459068298,65,1,0,0,1,0.267791748046875,29.8142719268799,6,1,1,5.05755615234375,0,5.05755615234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865687496.76596,6.00247478485107,26.2620124816895,0.00140695925620018,8.26954853486293E-6,1,5,12.9061126708984,4.99605835904458,41.6800007224083,1.83527884997967,0.26806479004392,100,-1.16913059577869E-6,,,,,,,,,,,,,,,,,,,,,6.00247478485107,6.00247478485107,26.2620124816895,26.2620124816895,49.7916907463033,5.36117775364582,4.11670446395874,65,1,0,0,1,0.277023315429687,30.7917900085449,6,1,1,6.00247478485107,0,6.00247478485107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865687514.42817,8.66365242004394,26.2620124816895,0.00107567960155408,8.11160881502423E-7,1,5,12.9061126708984,4.99598724666147,41.6800007224083,1.40305119830896,0.205410873350369,10,-5.34912473026832E-7,,,,,,,,,,,,,,,,,,,,,8.66365242004394,8.66365242004394,26.2620124816895,26.2620124816895,49.7287696505053,5.36138370625874,4.66412591934204,65,1,0,0,1,0.287399291992187,30.3030319213867,6,1,1,8.66365242004394,0,8.66365242004394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865687518.88455,9.31682729721069,26.2620124816895,0.00103587192314081,5.84823160362845E-7,1,5,12.9061126708984,4.99593367776364,41.6800007224083,1.35111899439221,0.197732584999223,10,-5.71606056185838E-7,,,,,,,,,,,,,,,,,,,,,8.68907070159912,9.94458389282227,26.2620124816895,26.2620124816895,49.8178753016976,5.36145097417478,4.86134386062622,65,1,0,0,1,0.27740478515625,30.3030319213867,6,1,1,9.94458389282227,0,9.31682729721069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865687525.74047,10.3405652046204,26.2620124816895,0.00101928914411648,5.46260314753367E-7,1,5,12.9061126708984,4.99591728713231,41.6800007224083,1.32948636892753,0.194546492682835,10,-5.77630085680934E-7,,,,,,,,,,,,,,,,,,,,,9.94458389282227,10.7365465164185,26.2620124816895,26.2620124816895,49.7752765473995,5.36161348415074,4.97713136672974,65,1,0,0,1,0.277252197265625,31.2805480957031,6,1,1,10.7365465164185,0,10.3405652046204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865687530.76838,11.105498790741,26.2620124816895,0.00100350994594623,5.2672976285844E-7,1,5,12.9061126708984,4.99590863210681,41.6800007224083,1.30891563237018,0.191441239137955,10,-6.40067174314989E-7,,,,,,,,,,,,,,,,,,,,,10.7365465164185,11.4744510650635,26.2620124816895,26.2620124816895,49.8131855305822,5.36201895801051,5.07828569412231,65,1,0,0,1,0.26824951171875,30.3030319213867,6,1,1,11.4744510650635,0,11.105498790741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
