[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865760958.18592,06/30/2022,3:27 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,342.13,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,54.97,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865762600.62918,1.99989974498749,25.0585975646973,,,5,,,,39.5999997854233,,,,,0.00031090458554836,3.85344945661357E-8,1.967907359153,8.68036885276525E-5,0.000103634850040913,1.28448300584575E-8,0.000103573728095594,9.16905674750666E-9,3.55879071910232E-6,8.99544649206781E-9,3.00000034183117,1.00057637691498,19.98847910208,20,1,3,1.09307497336268,0.0508685870449157,0.00126359087880701,195.232986450195,1.99767291545868,2.001469373703,25.0585975646973,25.0585975646973,,,2.40947198867798,,1,,,,,,1,1,1,1.9999680519104,0,1.99996256732172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865762704.83825,1.99974656105042,25.0585975646973,,,5,,,,39.5999997854233,,,,,0.00029539352375397,2.587734876061E-8,2.04987169793558,2.83957833037463E-5,9.84645268779335E-5,8.62578458115062E-9,9.84015165744277E-5,8.19623439895072E-9,3.5220149272707E-6,2.68810366576005E-9,2.99999942233176,10.005763053894,10,100,1,3,1.02970857995541,0.138526167153949,0.00407625176012516,241.317031860352,1.99785554409027,2.00175404548645,25.0585975646973,25.0585975646973,,,2.39651036262512,,1,,,,,,1,1,1,1.99975347518921,0,1.99996976278446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865762762.87621,1.99994778633118,25.0585975646973,,,5,,,,39.5999997854233,,,,,0.000279021017223555,5.54882578380573E-9,2.30478937462105,1.86666810929257E-5,9.30012922148776E-5,1.84949497103905E-9,9.29260576098499E-5,6.14371531115996E-10,3.74007629974539E-6,1.74447105727006E-9,3.00018430473936,100.057640075684,10,1000,1,3,0.966783222437171,0.155302503572182,0.0131124872714281,196.729888916016,1.99854290485382,2.00202298164368,25.0585975646973,25.0585975646973,,,2.38847374916077,,1,,,,,,1,1,1,1.9999668598175,0,1.9999706586202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865762990.80312,11.9331331253052,25.0585975646973,,,5,,,,39.5999997854233,,,,,0.000165181206732584,7.58835313328851E-8,0.0636456064959428,0.000210997518983804,5.50604005513714E-5,2.52945096666194E-8,5.50603665809512E-5,2.24689544995336E-8,6.11624782155563E-8,1.1617155545683E-8,3.00000009223452,1.00057637691498,19.98847910208,20,1,3,0.58131965228001,0.0077127703092412,0.000634464318864047,217.042633056641,11.9324550628662,11.9347524642944,25.0585975646973,25.0585975646973,,,5.21202325820923,,1,,,,,,1,1,1,11.9334745407104,0,11.9332528955796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865763094.397,11.9248986244202,25.0585975646973,,,5,,,,39.5999997854233,,,,,0.000165134041998978,1.16626486922661E-8,0.0180522452154142,3.72064160915606E-5,5.50448740642785E-5,3.88756322288584E-9,5.50448713321314E-5,3.30504818055278E-9,1.73430496358392E-8,2.04690115446723E-9,2.99998945962058,10.005763053894,10,100,1,3,0.578022983769054,0.0569766976429365,0.00395644968375564,247.203941345215,11.9206142425537,11.9343004226685,25.0585975646973,25.0585975646973,,,5.21473407745361,,1,,,,,,1,1,1,11.9228296279907,0,11.9299598446599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865763158.80767,11.932336807251,25.0585975646973,,,5,,,,39.5999997854233,,,,,0.000164567508472354,3.16570826755601E-9,0.164315090844834,1.65787361104789E-5,5.48500981359386E-5,1.05512570954654E-9,5.48498725787082E-5,5.35026086399483E-10,1.57301053943097E-7,9.09415938841049E-10,3.00031383835441,100.057640075684,10,1000,1,3,0.573242917743624,0.0701772193024964,0.0127702048048377,197.367614746094,11.9307346343994,11.9343824386597,25.0585975646973,25.0585975646973,,,5.20592880249023,,1,,,,,,1,1,1,11.931601524353,0,11.9326543433993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865763375.77898,21.8671283721924,25.0585975646973,,,5,,,,39.5999997854233,,,,,8.38036028592748E-5,5.66847670419317E-8,0.020458979848569,0.000588674426498441,2.79345335092797E-5,1.88949218216495E-8,2.7934531728402E-5,9.30591001327559E-9,9.97476691751889E-9,1.64443944695773E-8,3.00000008346069,1.00057637691498,19.98847910208,20,1,3,0.294931589695556,0.00369011028242815,0.000490242789965123,229.794464111328,21.866662979126,21.8685913085938,25.0585975646973,25.0585975646973,,,5.89039373397827,,1,,,,,,1,1,1,21.8671207427979,0,21.8672216887115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865763478.78691,21.8666486740112,25.0585975646973,,,5,,,,39.5999997854233,,,,,8.3768878487635E-5,1.29123419744975E-8,-0.0299993281389952,6.49767235206596E-5,2.79229326485815E-5,4.30410985319046E-9,2.79229288211378E-5,3.90357724829346E-9,-1.4620085248391E-8,1.81313162647859E-9,3.00000288443522,10.005763053894,10,100,1,3,0.293243115881494,0.0286510409927872,0.00382577604614198,250.972831726074,21.8665161132813,21.8671932220459,25.0585975646973,25.0585975646973,,,5.8891224861145,,1,,,,,,1,1,1,21.8666687011719,0,21.8667867408608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865763542.99127,21.8668584823608,25.0585975646973,,,5,,,,39.5999997854233,,,,,8.36840326908185E-5,5.16615730147393E-9,0.068015017246025,4.39035223720211E-5,2.78934360435976E-5,1.72197578972121E-9,2.78934163902593E-5,1.21109167241705E-9,3.31118994122235E-8,1.22411501967261E-9,3.00013352818993,100.057640075684,10,1000,1,3,0.29156606558046,0.0351354618439164,0.0125240609049797,197.680114746094,21.8663902282715,21.8673191070557,25.0585975646973,25.0585975646973,,,5.88849592208862,,1,,,,,,1,1,1,21.8669567108154,0,21.8667898178101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865763766.99559,31.8005886077881,25.0585975646973,,,5,,,,39.6099984645844,,,,,5.24761149578522E-5,6.88470622609267E-8,-0.00305468495181394,0.000798197226537035,1.74920378994919E-5,2.29490202028878E-8,1.74920378746321E-5,1.82131065797741E-8,-9.32575931018162E-10,1.39621014530886E-8,3.00000007199712,1.00057637691498,19.98847910208,20,1,3,0.184681116875031,0.00223408890203103,6.53464812785387E-5,252.140617370605,31.7983531951904,31.8037548065186,25.0585975646973,25.0585975646973,,,6.19747066497803,,1,,,,,,1,1,1,31.8007259368897,0,31.8012978633245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
