[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865506943.51374,06/27/2022,4:53 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,oil stained sst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,57.72,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865509085.81241,1.99998533725739,25.2842388153076,0.022162003395994,1.07106337154827E-6,1,5,12.9061126708984,4.97541780289132,39.6299995481968,28.7396208381394,4.20850998196587,100,-1.03080879616227E-5,,,,,,,,,,,,,,,,,,,,,1.99998533725739,1.99998533725739,25.2842388153076,25.2842388153076,50.3134277828899,5.39749124237694,2.43518948554993,65,1,0,0,1,0.279769897460938,30.7917900085449,1,1,1,1.99998533725739,0,1.99998533725739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865509091.59498,2.50388586521149,25.2842388153076,0.0214077939746015,8.81158155506936E-5,1,5,12.9061126708984,4.97533100431004,39.6299995481968,27.7599782241639,4.07134452731548,100,-5.20909954194995E-6,,,,,,,,,,,,,,,,,,,,,2.09116792678833,2.91660380363464,25.2842388153076,25.2842388153076,50.1770336062842,5.39794524029298,2.82162308692932,65,1,0,0,1,0.279769897460938,30.7917900085449,6,1,1,2.91660380363464,0,2.50388586521149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865509097.58449,3.29908525943756,25.2842388153076,0.0152832216031769,0.000282531450004714,1,5,12.9061126708984,4.97536685992094,39.6299995481968,19.8178559747564,2.90965990620199,100,-1.35895892517762E-6,,,,,,,,,,,,,,,,,,,,,3.0123233795166,3.58584713935852,25.2842388153076,25.2842388153076,50.2669208859957,5.39747014177066,3.13032484054565,65,1,0,0,1,0.279083251953125,30.7917900085449,6,1,1,3.58584713935852,0,3.29908525943756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865509103.79895,4.16408467292786,25.2842388153076,0.00833514654340551,0.000180989207182368,1,5,12.9061126708984,4.9753437885203,39.6299995481968,10.808086612754,1.58742372159903,100,-3.03903638882981E-7,,,,,,,,,,,,,,,,,,,,,4.0283055305481,4.29986381530762,25.2842388153076,25.2842388153076,50.2254945744765,5.39705157710171,3.37698984146118,65,1,0,0,1,0.289459228515625,30.7917900085449,6,1,1,4.29986381530762,0,4.16408467292786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865509110.01101,5.0246410369873,25.2842388153076,0.0043651944281992,9.29689367940719E-5,1,5,12.9061126708984,4.97530950262972,39.6299995481968,5.66024595717886,0.831309933591735,100,-1.82831173941925E-7,,,,,,,,,,,,,,,,,,,,,5.0246410369873,5.0246410369873,25.2842388153076,25.2842388153076,50.2657484432169,5.39736776837365,3.62637948989868,65,1,0,0,1,0.270233154296875,31.7693061828613,6,1,1,5.0246410369873,0,5.0246410369873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865509117.01069,6.03523015975952,25.2842388153076,0.00240815620128352,4.43331468131776E-5,1,5,12.9061126708984,4.97530291073976,39.6299995481968,3.12259450950912,0.458607865505034,100,-1.02265633782201E-7,,,,,,,,,,,,,,,,,,,,,6.03523015975952,6.03523015975952,25.2842388153076,25.2842388153076,50.208689561313,5.39732323072601,3.92411828041077,65,1,0,0,1,0.269699096679687,30.7917900085449,6,1,1,6.03523015975952,0,6.03523015975952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865509133.74107,8.50822734832764,25.2842388153076,0.000941944651814816,3.70145365244377E-6,1,5,12.9061126708984,4.9752795970224,39.6299995481968,1.22148230272338,0.17873667471395,10,-5.37845276810763E-7,,,,,,,,,,,,,,,,,,,,,8.50822734832764,8.50822734832764,25.2842388153076,25.2842388153076,50.2153334037265,5.39728378705179,4.4639310836792,65,1,0,0,1,0.27923583984375,29.3255138397217,6,1,1,8.50822734832764,0,8.50822734832764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865509137.01531,9.01774263381958,25.2842388153076,0.000826483574331872,9.23485407409328E-7,1,5,12.9061126708984,4.97523510944907,39.6299995481968,1.07177530198748,0.156604091127682,10,-6.42776401253488E-7,,,,,,,,,,,,,,,,,,,,,8.54969024658203,9.48579502105713,25.2842388153076,25.2842388153076,50.2833350848995,5.39740734461291,4.6120114326477,65,1,0,0,1,0.2685546875,30.7917900085449,6,1,1,9.48579502105713,0,9.01774263381958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865509142.8053,9.88808631896973,25.2842388153076,0.000805378185611769,5.45276216502712E-7,1,5,12.9061126708984,4.97524740849687,39.6299995481968,1.04441145164351,0.152593509158745,10,-6.35627018622109E-7,,,,,,,,,,,,,,,,,,,,,9.50276279449463,10.2734098434448,25.2842388153076,25.2842388153076,50.3243705821592,5.39715505966442,4.72833395004272,65,1,0,0,1,0.278701782226562,32.7468223571777,6,1,1,10.2734098434448,0,9.88808631896973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865509147.95952,10.6702818870544,25.2842388153076,0.00079205861141514,3.78909590404524E-7,1,5,12.9061126708984,4.97525516665166,39.6299995481968,1.02713689531639,0.150097674342884,10,-6.03928797718147E-7,,,,,,,,,,,,,,,,,,,,,10.3072309494019,11.033332824707,25.2842388153076,25.2842388153076,50.3020941693611,5.39716661334646,4.84413051605225,65,1,0,0,1,0.268630981445313,31.2805480957031,6,1,1,11.033332824707,0,10.6702818870544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
