[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865946262.15927,07/02/2022,6:55 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,139.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,62.64,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865947337.57985,100.001113891602,49999.75,0.074766018486773,5.15557680064666E-5,1,2,12.9061126708984,4.98700012401072,41.2099994719028,97.2937322543467,14.1085190845691,100,-0.000139195853169033,,,,,,,,,,,,,,,,,,,,,100.001113891602,100.001113891602,49999.75,49999.75,49.707665680486,5.39715277089858,7.46804046630859,26,1,0,0,1,0.276260375976562,29.8142719268799,1,1,1,100.001113891602,0,100.001113891602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947340.31462,100.001083374023,49999.75,0.0747805625852287,1.17682683047844E-5,1,2,12.9061126708984,4.98650842950311,41.2099994719028,97.2783926662913,14.2508475421139,100,-3.04126039340035E-5,,,,,,,,,,,,,,,,,,,,,100.001083374023,100.001083374023,49999.75,49999.75,49.6889065960245,5.35466227222203,7.46672105789185,26,1,0,0,1,0.275955200195313,29.8142719268799,6,1,1,100.001083374023,0,100.001083374023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947341.98924,99.9847679138184,49999.75,0.074769233619121,9.85298368200008E-6,1,2,12.9061126708984,4.98651430791477,41.2099994719028,97.2644073097385,14.2446898228676,100,-3.35002735710019E-5,,,,,,,,,,,,,,,,,,,,,99.9684829711914,100.001052856445,49999.75,49999.75,49.7272063934668,5.35491320400686,7.46741056442261,26,1,0,0,1,0.275726318359375,29.8142719268799,6,1,1,99.9684829711914,0,99.9847679138184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947344.68527,99.9464492797852,49999.75,0.0747276058163724,2.23869325648251E-5,1,2,12.9061126708984,4.98647803732287,41.2099994719028,97.209217001492,14.2369224766885,100,-3.32442151252185E-5,,,,,,,,,,,,,,,,,,,,,99.9244155883789,99.9684829711914,49999.75,49999.75,49.6549057554379,5.35492888063929,7.45421409606934,26,1,0,0,1,0.266952514648438,29.8142719268799,2,1,1,99.9244155883789,0,99.9464492797852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947346.78841,99.9026222229004,49999.75,0.0747503064157737,1.39937933062574E-5,1,2,12.9061126708984,4.98644210908213,41.2099994719028,97.2381027042907,14.2387919418301,100,-3.50312158577925E-5,,,,,,,,,,,,,,,,,,,,,99.8808288574219,99.9244155883789,49999.75,49999.75,49.7166544084572,5.3548103964901,7.46015548706055,26,1,0,0,1,0.266571044921875,30.7917900085449,2,1,1,99.8808288574219,0,99.9026222229004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947348.85828,99.8521957397461,49999.75,0.074751649632329,1.23275199975493E-5,1,2,12.9061126708984,4.98644210908213,41.2099994719028,97.2395825117085,14.2408686408392,100,-3.36320085207652E-5,,,,,,,,,,,,,,,,,,,,,99.8310623168945,99.8733291625977,49999.75,49999.75,49.700631023813,5.3548103964901,7.46121215820312,26,1,0,0,1,0.27587890625,30.3030319213867,2,1,1,99.8310623168945,0,99.8521957397461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947351.06504,99.781681060791,49999.75,0.0747612341306229,1.28620385378646E-5,1,2,12.9061126708984,4.98644682048786,41.2099994719028,97.252329425686,14.2416922913132,100,-3.44213912974533E-5,,,,,,,,,,,,,,,,,,,,,99.7573471069336,99.8060150146484,49999.75,49999.75,49.6701475115629,5.35480085105383,7.45545053482056,26,1,0,0,1,0.275726318359375,30.3030319213867,2,1,1,99.7573471069336,0,99.781681060791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947352.74246,99.7177505493164,49999.75,0.0748013556955412,1.20441999902198E-5,1,2,12.9061126708984,4.98641371827482,41.2099994719028,97.3033921619938,14.2507125692985,100,-3.32788852175262E-5,,,,,,,,,,,,,,,,,,,,,99.6781539916992,99.7573471069336,49999.75,49999.75,49.7631613053514,5.35485266788567,7.45815563201904,26,1,0,0,1,0.275955200195313,31.7693061828613,2,1,1,99.6781539916992,0,99.7177505493164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947354.75309,99.6353607177734,49999.75,0.0748508995035206,1.25771924249011E-5,1,2,12.9061126708984,4.98641371827482,41.2099994719028,97.3676761367682,14.2612662925146,100,-3.24437762221192E-5,,,,,,,,,,,,,,,,,,,,,99.5925674438477,99.6781539916992,49999.75,49999.75,49.6967228812168,5.35485266788567,7.45629930496216,26,1,0,0,1,0.275802612304687,30.3030319213867,2,1,1,99.5925674438477,0,99.6353607177734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947356.99161,99.517204284668,49999.75,0.0749062216206878,9.62385966693646E-6,1,2,12.9061126708984,4.98642069583246,41.2099994719028,97.4403426499092,14.26835768785,100,-3.51409358827804E-5,,,,,,,,,,,,,,,,,,,,,99.4418411254883,99.5925674438477,49999.75,49999.75,49.7393216355149,5.35488608180372,7.45436811447144,26,1,0,0,1,0.276107788085938,29.8142719268799,2,1,1,99.4418411254883,0,99.517204284668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947359.07843,99.3753089904785,49999.75,0.0749923825806966,9.18455840944458E-6,1,2,12.9061126708984,4.98639755017292,41.2099994719028,97.5528657309566,14.2773382319062,100,-4.08232029806714E-5,,,,,,,,,,,,,,,,,,,,,99.335563659668,99.4150543212891,49999.75,49999.75,49.6963320669572,5.35457325944829,7.44874668121338,25,1,64,0,0,0.26702880859375,30.3030319213867,2,1,1,99.335563659668,0,99.3753089904785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947360.8183,99.2292289733887,49999.75,0.0750826612356972,1.07806840216743E-5,1,2,12.9061126708984,4.98639755017292,41.2099994719028,97.6703134260056,14.2944585736815,100,-4.09240535632201E-5,,,,,,,,,,,,,,,,,,,,,99.1228942871094,99.335563659668,49999.75,49999.75,49.7061024234476,5.35457325944829,7.4422779083252,26,1,0,0,1,0.281906127929687,29.8142719268799,2,1,1,99.1228942871094,0,99.2292289733887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865947362.84298,99.0347061157227,49999.75,0.0751880990539749,1.02426013322038E-5,1,2,12.9061126708984,4.9864218653344,41.2099994719028,97.8087470687522,14.3105021720569,100,-4.41550869566583E-5,,,,,,,,,,,,,,,,,,,,,98.960823059082,99.1085891723633,49999.75,49999.75,49.6971136954764,5.35473589602313,7.44778108596802,26,1,0,0,1,0.284271240234375,30.7917900085449,2,1,1,98.960823059082,0,99.0347061157227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
