[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3873518420.73179,09/28/2022,11:31 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,Thickness unknown, 11000 pulses,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.39,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3873518746.10065
,3873519524.36123,100.076454162598,49999.6328125,0.00727847535544695,3.76936401757226E-6,1,2,13.1008939743042,1.99165528006979,31.4599983394146,1.75131424833874,0.256876511143468,10,8.78740488786252E-7,,,,,,,,,,,,,,,,,,,,,100.076454162598,100.076454162598,49999.6328125,49999.6328125,52.2436594111305,5.80089295500585,7.64081001281738,26,1,0,0,1,0.135726928710938,31.2805480957031,1,1,1,100.076454162598,0,2084573184,100.076454162598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873519527.13319,100.08179473877,49999.6328125,0.00727638461773975,3.11599462956699E-6,1,2,13.1008939743042,1.99135778698287,31.4599983394146,1.75034209834171,0.256548030928192,10,1.21989553595084E-7,,,,,,,,,,,,,,,,,,,,,100.081596374512,100.081993103027,49999.6328125,49999.6328125,52.2327166118613,5.80432710743714,7.63573265075684,26,1,0,0,1,0.134048461914062,30.7917900085449,6,1,1,100.081993103027,0,2084573184,100.08179473877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873519528.67139,100.081008911133,49999.6328125,0.00727250179857293,2.99416547521445E-6,1,2,13.1008939743042,1.99100379441835,31.4599983394146,1.74878659746889,0.256542756038609,10,1.02861254782289E-6,,,,,,,,,,,,,,,,,,,,,100.080024719238,100.081993103027,49999.6328125,49999.6328125,52.2647633811498,5.80791216591677,7.63688898086548,26,1,0,0,1,0.131149291992188,30.3030319213867,6,1,1,100.080024719238,0,2084573184,100.081008911133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873519531.20589,100.069385528564,49999.6328125,0.00726963831148402,3.67886503884571E-6,1,2,13.1008939743042,1.99100379441835,31.4599983394146,1.74807630878225,0.256589939970231,10,1.64448042270606E-6,,,,,,,,,,,,,,,,,,,,,100.060508728027,100.078262329102,49999.6328125,49999.6328125,52.2073136849863,5.80791216591677,7.63386058807373,26,1,0,0,1,0.131607055664062,30.7917900085449,2,1,1,100.060508728027,0,2084573184,100.069385528564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873519533.21944,100.044059753418,49999.6328125,0.0072722969785546,3.46191032775732E-6,1,2,13.1008939743042,1.99065337396866,31.4599983394146,1.7481388989742,0.256552065301457,10,1.45343166121294E-6,,,,,,,,,,,,,,,,,,,,,100.032432556152,100.055686950684,49999.6328125,49999.6328125,52.3937320868228,5.81108324874883,7.63223314285278,26,1,0,0,1,0.131759643554688,31.2805480957031,2,1,1,100.032432556152,0,2084573184,100.044059753418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873519535.13443,100.007400512695,49999.6328125,0.00727295132446862,3.04957194730648E-6,1,2,13.1008939743042,1.99032790377678,31.4599983394146,1.74776994934687,0.256388714781461,10,1.00870955882477E-6,,,,,,,,,,,,,,,,,,,,,99.9873962402344,100.027404785156,49999.6328125,49999.6328125,52.2643725668901,5.81402408596387,7.62793016433716,26,1,0,0,1,0.1324462890625,30.7917900085449,2,1,1,99.9873962402344,0,2084573184,100.007400512695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873519537.08111,99.9575614929199,49999.6328125,0.00727254501871264,3.33264967146726E-6,1,2,13.1008939743042,1.99032790377678,31.4599983394146,1.74769899020103,0.256192337511163,10,2.51091718338385E-7,,,,,,,,,,,,,,,,,,,,,99.9277267456055,99.9873962402344,49999.6328125,49999.6328125,52.3659842743902,5.81402408596387,7.6316728591919,26,1,0,0,1,0.133590698242188,29.8142719268799,2,1,1,99.9277267456055,0,2084573184,99.9575614929199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873519539.0607,99.8988456726074,49999.6328125,0.00727700375246407,3.31135381767927E-6,1,2,13.1008939743042,1.99005279228153,31.4599983394146,1.74828837285735,0.25644488670047,10,9.28274681778246E-7,,,,,,,,,,,,,,,,,,,,,99.8699645996094,99.9277267456055,49999.6328125,49999.6328125,52.2358431259382,5.81616055094299,7.62818050384521,26,1,0,0,1,0.1324462890625,30.7917900085449,2,1,1,99.8699645996094,0,2084573184,99.8988456726074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873519541.04475,99.8233222961426,49999.6328125,0.00728583604183874,3.48028339239307E-6,1,2,13.1008939743042,1.9898322964535,31.4599983394146,1.75003890201523,0.256727499999763,10,1.03471229814797E-6,,,,,,,,,,,,,,,,,,,,,99.7766799926758,99.8699645996094,49999.6328125,49999.6328125,52.2073136849863,5.81781562451705,7.62375259399414,26,1,0,0,1,0.13275146484375,30.7917900085449,2,1,1,99.7766799926758,0,2084573184,99.8233222961426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
