[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3869973568.13186,08/18/2022,10:50 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Sandstone,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.57,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3869975029.41067
,3869975836.27036,100.008460998535,49999.7578125,0.0105760910190882,2.56099528442713E-6,1,2,14.0008964538574,4.98151594180685,39.4500009715557,12.218783802419,1.85220178772342,10,1.7678825610079E-5,,,,,,,,,,,,,,,,,,,,,100.008460998535,100.008460998535,49999.7578125,49999.7578125,52.4957346085825,6.09342349738914,8.25104331970215,28,1,0,0,1,0.336456298828125,31.7693061828613,1,1,1,100.008460998535,0,2084575008,100.008460998535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869975838.86733,100.014915466309,49999.7578125,0.0105776484889023,2.71726237241673E-6,1,2,14.0008964538574,4.98151760239904,39.4599996507168,12.2210190802803,1.84960514838379,10,1.5197664484215E-5,,,,,,,,,,,,,,,,,,,,,100.014915466309,100.014915466309,49999.7578125,49999.7578125,52.6207951716594,6.09396405456534,8.24424934387207,28,1,0,0,1,0.338973999023438,30.3030319213867,6,1,1,100.014915466309,0,2084575008,100.014915466309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869975840.18391,100.014007568359,49999.7578125,0.0105721319581367,2.70091111404385E-6,1,2,14.0008964538574,4.98149048683553,39.4500009715557,12.2143946303477,1.84967803319508,10,1.60997539311478E-5,,,,,,,,,,,,,,,,,,,,,100.01309967041,100.014915466309,49999.7578125,49999.7578125,52.6758999822652,6.09388428101394,8.24485301971436,28,1,0,0,1,0.340805053710937,30.7917900085449,6,1,1,100.01309967041,0,2084573184,100.014007568359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869975842.542,100.003288269043,49999.7578125,0.0105727608384809,2.4068913966306E-6,1,2,14.0008964538574,4.98149048683553,39.4599996507168,12.2151210662839,1.84978895450551,10,1.6101485004452E-5,,,,,,,,,,,,,,,,,,,,,99.9934768676758,100.01309967041,49999.7578125,49999.7578125,52.6196227288806,6.09388428101394,8.23992538452148,28,1,0,0,1,0.33935546875,31.7693061828613,2,1,1,99.9934768676758,0,2084573184,100.003288269043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869975844.51505,99.9779434204102,49999.7578125,0.0105773617702561,1.68106375763582E-6,1,2,14.0008964538574,4.98149847893381,39.4500009715557,12.2202854776185,1.85179053307502,10,1.71403710513101E-5,,,,,,,,,,,,,,,,,,,,,99.9624099731445,99.9934768676758,49999.7578125,49999.7578125,52.6235308714767,6.09402200987524,8.23145484924316,28,1,0,0,1,0.337066650390625,31.7693061828613,2,1,1,99.9624099731445,0,2084573184,99.9779434204102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869975846.51529,99.9330406188965,49999.7578125,0.0105756911576798,2.00067997737082E-6,1,2,14.0008964538574,4.98148387372895,39.4599996507168,12.2188129862694,1.8481020115511,10,1.42054803590708E-5,,,,,,,,,,,,,,,,,,,,,99.9036712646484,99.9624099731445,49999.7578125,49999.7578125,52.6590949691017,6.0938434503128,8.24205780029297,28,1,0,0,1,0.337066650390625,31.7693061828613,2,1,1,99.9036712646484,0,2084573184,99.9330406188965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869975848.52603,99.875186920166,49999.7578125,0.0105836850287717,1.55926699997694E-6,1,2,14.0008964538574,4.98149985621498,39.4500009715557,12.2279254033146,1.85069800618477,10,1.52466245540477E-5,,,,,,,,,,,,,,,,,,,,,99.8467025756836,99.9036712646484,49999.7578125,49999.7578125,52.6766816107844,6.09391207473807,8.2248592376709,28,1,0,0,1,0.33721923828125,31.7693061828613,2,1,1,99.8467025756836,0,2084573184,99.875186920166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869975850.5041,99.8136825561523,49999.7578125,0.0105859435097331,2.19901500529717E-6,1,2,14.0008964538574,4.98149985621498,39.4599996507168,12.2303137247085,1.85256766509652,10,1.65260344412172E-5,,,,,,,,,,,,,,,,,,,,,99.7806625366211,99.8467025756836,49999.7578125,49999.7578125,52.6004728301594,6.09391207473807,8.23567390441895,28,1,0,0,1,0.33935546875,31.7693061828613,2,1,1,99.7806625366211,0,2084573184,99.8136825561523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3869975852.54556,99.7305412292481,49999.7578125,0.0105979806879769,1.71259316140407E-6,1,2,14.0008964538574,4.98152758222272,39.4599996507168,12.2445139765737,1.85336958896905,10,1.54033636960863E-5,,,,,,,,,,,,,,,,,,,,,99.6936492919922,99.7674331665039,49999.7578125,49999.7578125,52.6000820158998,6.09364430632119,8.21937370300293,28,1,0,0,1,0.338973999023438,33.2355842590332,2,1,1,99.6936492919922,0,2084573184,99.7305412292481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
