[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865566513.83638,06/28/2022,9:26 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,oil stained sst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,285.13,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,58.41,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865569573.5383,1.99915385246277,49999.880859375,0.076905055346289,0.0226267594318906,1,2,12.9061126708984,4.99832822029237,38.0900017917156,101.945611010132,4.01238460511729,1000,-0.00822380758307475,,,,,,,,,,,,,,,,,,,,,1.99915385246277,1.99915385246277,49999.875,49999.88671875,50.1395154373611,5.44225862775762,2.61925935745239,17,1,68,0,0,0.282135009765625,31.7693061828613,1,4,1,1.99915385246277,0,1.99915385246277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865569575.76,2.0009388923645,49999.86328125,0.0649562197036843,0.0203191727498147,1,2,12.9061126708984,4.99832822029237,38.0900017917156,86.1369278492228,3.17976519203404,1000,-0.00710636614087583,,,,,,,,,,,,,,,,,,,,,2.0009388923645,2.0009388923645,49999.86328125,49999.86328125,50.2337016739284,5.44225862775762,2.61770582199097,19,1,68,0,0,0.289077758789063,30.7917900085449,1,6,1,2.0009388923645,0,2.0009388923645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865569577.04273,2.00079119205475,49890.759765625,0.110934748769056,0.0192422427156888,1,2,12.9061126708984,4.99814098524167,38.1000004708767,148.456431584141,-3.80099537721312,1000,-0.0192100981149837,,,,,,,,,,,,,,,,,,,,,2.00037002563477,2.00121235847473,49781.60546875,49999.9140625,50.1449868369957,5.44341750951942,2.61871910095215,15,1,68,0,0,0.2825927734375,31.2805480957031,1,6,1,2.00037002563477,0,2.00079119205475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865569579.21174,2.00122499465942,49676.845703125,0.078879296162021,0.0180476597127335,1,2,12.9061126708984,4.99771045132936,38.0900017917156,108.395505956177,-22.0980889200307,1000,-0.0285232618903836,,,,,,,,,,,,,,,,,,,,,2.00035190582275,2.00209808349609,49591.96875,49761.72265625,50.0167997598418,5.44498339549156,2.61263346672058,19,1,68,0,0,0.2728271484375,31.2805480957031,1,6,1,2.00209808349609,0,2.00122499465942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865569581.30356,1.99877375364304,49467.201171875,0.103894133591317,0.020359060785564,1,2,12.9061126708984,4.99771045132936,38.0900017917156,138.195208063987,2.03906752797913,1000,-0.0137005319980817,,,,,,,,,,,,,,,,,,,,,1.99544942378998,2.00209808349609,49362.37890625,49572.0234375,50.2055630472361,5.44498339549156,2.62201619148254,19,1,68,0,0,0.273513793945313,30.7917900085449,1,6,1,1.99544942378998,0,1.99877375364304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865569583.36654,1.99781119823456,49267.521484375,0.0842460690876635,0.0212702329442708,1,2,12.9061126708984,4.99776746850854,38.0900017917156,109.829199222428,16.8521132990917,1000,0.000537861586061759,,,,,,,,,,,,,,,,,,,,,1.99660921096802,1.9990131855011,49192.66015625,49342.3828125,50.3056114976976,5.44423638375614,2.62097382545471,18,1,68,0,0,0.282974243164062,31.2805480957031,1,6,1,1.9990131855011,0,1.99781119823456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865569585.49105,1.99976921081543,49052.794921875,0.0965697251908694,0.0201462527080192,1,2,12.9061126708984,4.99803699746595,38.1000004708767,127.934509075152,5.50221615807969,1000,-0.00997087334751272,,,,,,,,,,,,,,,,,,,,,1.9990131855011,2.00052523612976,48992.71875,49112.87109375,50.2051722329765,5.44346967450763,2.61422729492187,16,1,68,0,0,0.274810791015625,31.2805480957031,1,6,1,2.00052523612976,0,1.99976921081543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865569587.21614,1.99883764982224,48877.96484375,0.119581939133745,0.0229570863323161,1,2,12.9061126708984,4.99803699746595,38.0900017917156,157.377490629916,13.9152695549617,1000,-0.0069048058576441,,,,,,,,,,,,,,,,,,,,,1.99730741977692,2.00036787986755,48783.18359375,48972.74609375,50.1922753624092,5.44346967450763,2.61756038665771,16,1,68,0,0,0.288314819335937,30.7917900085449,1,6,1,1.99730741977692,0,1.99883764982224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865569589.23405,1.99859577417374,48678.515625,0.109144227352709,0.0197754034686244,1,2,12.9061126708984,4.99822923634499,38.1000004708767,145.438581008664,0.516792106468984,1000,-0.015638492587881,,,,,,,,,,,,,,,,,,,,,1.99730741977692,1.99988412857056,48583.78515625,48773.24609375,50.2016549046399,5.44227887706739,2.61261034011841,18,1,68,0,0,0.281448364257813,30.7917900085449,1,6,1,1.99988412857056,0,1.99859577417374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865569591.53926,2.00048279762268,48449.037109375,0.0926143298506701,0.0229825344938945,1,2,12.9061126708984,4.99837879111911,38.1000004708767,121.705111882826,12.0916163084024,1000,-0.00434129828077508,,,,,,,,,,,,,,,,,,,,,1.99988412857056,2.0010814666748,48324.34375,48573.73046875,50.2305751598515,5.44292576697815,2.62003827095032,18,1,68,0,0,0.273208618164062,30.7917900085449,1,6,1,2.0010814666748,0,2.00048279762268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
