[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866100649.53529,07/04/2022,1:48 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,285.13,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,58.09,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866102499.06716,1.99999648332596,25.083667755127,,,5,,,,38.0400009453297,,,,,0.000129535750693855,6.28605473027962E-8,1.98390400230494,0.000343342155162373,4.31785855184092E-5,2.09535167157259E-8,4.3152703921651E-5,1.48078213836793E-8,1.49478815251609E-6,1.48249212013168E-8,2.99999986425279,1.00057637691498,19.98847910208,20,1,3,0.455414454185504,0.021321122089046,0.000482412899145857,218.557220458984,1.99655342102051,2.00851702690125,25.083667755127,25.083667755127,,,2.57937741279602,,1,,,,,,1,1,1,1.99986350536346,0,2.00001730612659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866102602.70069,1.99912905693054,25.083667755127,,,5,,,,38.0400009453297,,,,,0.000122967872765278,1.52041654937655E-8,2.01410188349791,4.21458895630806E-5,4.09893335602298E-5,5.06806043655385E-9,4.09640106424124E-5,4.78495629271143E-9,1.44058939330783E-6,1.67015863480202E-9,2.99999687930003,10.005763053894,10,100,1,3,0.428688082835318,0.0573987444467576,0.00385255878791213,249.647750854492,1.99626553058624,2.0055079460144,25.083667755127,25.083667755127,,,2.56857919692993,,1,,,,,,1,1,1,2.00001406669617,0,1.99997999983014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866102660.84456,1.99948352575302,25.083667755127,,,5,,,,38.0400009453297,,,,,0.000116288332366808,3.84862158037959E-9,2.24320828157286,1.51140566493379E-5,3.87665528693049E-5,1.28299880936566E-9,3.87368454006007E-5,1.14768214191104E-9,1.51737595162591E-6,5.73508191721952E-10,2.99970783471142,100.057640075684,10,1000,1,3,0.402998151753645,0.0642927427764854,0.01261399500072,197.651611328125,1.9958370923996,2.0069568157196,25.083667755127,25.083667755127,,,2.56330537796021,,1,,,,,,1,1,1,2.00002956390381,0,2.00010363951973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866102876.10399,11.9329466819763,25.083667755127,,,5,,,,38.0400009453297,,,,,0.000159013222069084,4.85694149792124E-8,0.0969522840449128,0.000231858366365301,5.30044057383156E-5,1.61898044988507E-8,5.30043298538823E-5,1.05392528378855E-8,8.96906507260221E-8,1.22895858079159E-8,3.00000009157988,1.00057637691498,19.98847910208,20,1,3,0.559608349854038,0.00775008786504905,0.000427851191489026,216.964553833008,11.9324655532837,11.9346389770508,25.083667755127,25.083667755127,,,5.35743141174316,,1,,,,,,1,1,1,11.9331960678101,0,11.9331631309108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866102978.77959,11.9330744743347,25.083667755127,,,5,,,,38.0400009453297,,,,,0.000158536185014276,1.44148846998087E-8,0.0989103370275854,4.87799879298347E-5,5.28454458948069E-5,4.80496619377479E-9,5.28453671511533E-5,4.05619160254694E-9,9.12276316346748E-8,2.57585127807222E-9,2.99999711100659,10.005763053894,10,100,1,3,0.554850586287861,0.0554833033174781,0.00388175598345697,248.285774230957,11.9214220046997,11.9347848892212,25.083667755127,25.083667755127,,,5.36239385604858,,1,,,,,,1,1,1,11.9332284927368,0,11.9319681131615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866103040.63811,11.9323048591614,25.083667755127,,,5,,,,38.0400009453297,,,,,0.000157549676391037,4.73606814557191E-9,0.356531380528493,2.51988927594627E-5,5.25202438939293E-5,1.57880015879142E-9,5.25192270703843E-5,8.60378885308508E-10,3.26812801518773E-7,1.32376663922124E-9,2.99978950420008,100.057640075684,10,1000,1,3,0.548569015807146,0.0690253006499072,0.0127014620229602,197.520629882813,11.9215774536133,11.9353218078613,25.083667755127,25.083667755127,,,5.35591745376587,,1,,,,,,1,1,1,11.9332847595215,0,11.9305860558335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866103262.94505,21.8670492172241,25.083667755127,,,5,,,,38.0400009453297,,,,,6.58938585764424E-5,4.60017053094448E-8,-0.0259214408283517,0.000529995297468038,2.19646206660436E-5,1.53339025660627E-8,2.19646184181968E-5,9.98061574167508E-9,-9.93711230265335E-9,1.16411286962446E-8,2.99999984421819,1.00057637691498,19.98847910208,20,1,3,0.231903764151645,0.00271377451361979,0.000262684014160186,239.271186828613,21.866626739502,21.8681735992432,25.083667755127,25.083667755127,,,6.01245927810669,,1,,,,,,1,1,1,21.8668441772461,0,21.8671207038724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866103366.84297,21.8666248321533,25.083667755127,,,5,,,,38.0400009453297,,,,,6.58809897784354E-5,1.79713858187258E-8,-0.0437938996271141,7.1904069249482E-5,2.1960281758178E-5,5.99044880004709E-9,2.19602753432784E-5,5.77924571944904E-9,-1.67852901143741E-8,1.5766406503118E-9,3.00000658023895,10.005763053894,10,100,1,3,0.230629810931265,0.0224774160530562,0.00383036234416068,252.218757629395,21.8664531707764,21.8672714233398,25.083667755127,25.083667755127,,,6.01291561126709,,1,,,,,,1,1,1,21.8667964935303,0,21.866810798645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866103424.65954,21.8667573928833,25.083667755127,,,5,,,,38.0400009453297,,,,,6.58361076879916E-5,4.00112273894392E-9,0.068101861512166,5.33480297476325E-5,2.19469807708057E-5,1.3338055194483E-9,2.19469652677453E-5,6.38948642189022E-10,2.60862127339275E-8,1.17080391029222E-9,2.99977971346146,100.057640075684,10,1000,1,3,0.229381528972827,0.0276422091541653,0.0124788526445627,197.850646972656,21.8662719726562,21.8672847747803,25.083667755127,25.083667755127,,,6.00988578796387,,1,,,,,,1,1,1,21.8668823242187,0,21.8667869567871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866103664.29286,31.8004608154297,25.083667755127,,,5,,,,38.0400009453297,,,,,3.43325237901016E-5,4.34023479008709E-8,0.00329004444846193,0.000934119726897298,1.1444174323763E-5,1.44674489552492E-8,1.14441743048955E-5,9.74813135107826E-9,6.57148615489878E-10,1.06902298588415E-8,3.00000007154843,1.00057637691498,19.98847910208,20,1,3,0.120827548301106,0.00147503593676676,5.54478901904076E-5,244.453102111816,31.7979850769043,31.8039817810059,25.083667755127,25.083667755127,,,6.32086563110352,,1,,,,,,1,1,1,31.8007068634033,0,31.8012077331543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
