[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865488570.28375,06/27/2022,11:47 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,oil stained sst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,285.13,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,79.53,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865492126.45668,1.99995577335358,25.5224132537842,0.0145659538484813,1.11410385097502E-6,1,5,12.9061126708984,4.98829161622181,37.9300005733967,18.9546193121594,2.79787081648735,10,9.95073223907707E-6,,,,,,,,,,,,,,,,,,,,,1.99995577335358,1.99995577335358,25.5224132537842,25.5224132537842,50.0164089455822,5.43535887934168,2.67230772972107,65,1,0,0,1,0.289306640625,31.2805480957031,5,1,1,1.99995577335358,0,1.99995577335358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865492130.81967,2.24839115142822,25.5224132537842,0.0145688844464508,7.96139413095094E-7,1,5,12.9061126708984,4.9883442859294,37.9300005733967,18.9587808253905,2.79801962170577,10,9.60266861231421E-6,,,,,,,,,,,,,,,,,,,,,2.04981756210327,2.44696474075317,25.5224132537842,25.5224132537842,50.0468924578322,5.43512526408355,2.90402817726135,65,1,0,0,1,0.280838012695313,31.2805480957031,6,1,1,2.44696474075317,0,2.24839115142822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865492137.29419,3.04626190662384,25.5224132537842,0.0145585235823319,2.9817294799442E-6,1,5,12.9061126708984,4.9883264232782,37.9300005733967,18.9452244598884,2.79586822301592,10,9.48250873313666E-6,,,,,,,,,,,,,,,,,,,,,3.0153477191925,3.07717609405518,25.5224132537842,25.5224132537842,49.9859254333322,5.43441443852586,3.13921976089478,65,1,0,0,1,0.2880859375,31.7693061828613,6,1,1,3.07717609405518,0,3.04626190662384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865492145.25583,4.01778841018677,25.5224132537842,0.013299234682519,0.000115505098845736,1,5,12.9061126708984,4.98853271197765,37.9300005733967,17.3074561327281,2.55446105558929,10,8.8794762006756E-6,,,,,,,,,,,,,,,,,,,,,4.01778841018677,4.01778841018677,25.5224132537842,25.5224132537842,50.1039513397361,5.43358594040045,3.5034236907959,65,1,0,0,1,0.28045654296875,30.7917900085449,6,1,1,4.01778841018677,0,4.01778841018677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865492153.27002,5.0194730758667,25.5224132537842,0.00530485910233557,9.54159150299537E-5,1,5,12.9061126708984,4.98877556472755,37.9300005733967,6.90496949852483,1.0134158325528,10,-7.51908196924738E-7,,,,,,,,,,,,,,,,,,,,,5.0194730758667,5.0194730758667,25.5224132537842,25.5224132537842,50.0382945441207,5.43295034177661,3.80587458610535,65,1,0,0,1,0.2862548828125,30.7917900085449,6,1,1,5.0194730758667,0,5.0194730758667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865492160.47601,6.01563835144043,25.5224132537842,0.00308426119220995,5.65866734333604E-5,1,5,12.9061126708984,4.98844476778841,37.9399992525578,4.01412464776679,0.589637786441333,10,-6.09870691087197E-8,,,,,,,,,,,,,,,,,,,,,6.01563835144043,6.01563835144043,25.5224132537842,25.5224132537842,49.9206594519764,5.43441853820398,4.05613422393799,65,1,0,0,1,0.286788940429687,31.2805480957031,6,1,1,6.01563835144043,0,6.01563835144043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865492168.07177,7.1039080619812,25.5224132537842,0.00123763876940434,1.44788051618722E-5,1,5,12.9061126708984,4.98880824663718,37.9300005733967,1.61098444475541,0.236295171774309,10,-2.82833831518902E-7,,,,,,,,,,,,,,,,,,,,,7.1039080619812,7.1039080619812,25.5224132537842,25.5224132537842,49.9065901386303,5.43279018034464,4.31416654586792,65,1,0,0,1,0.28717041015625,31.7693061828613,6,1,1,7.1039080619812,0,7.1039080619812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865492174.36429,8.01838302612305,25.5224132537842,0.000925373416852861,6.80058701179581E-6,1,5,12.9061126708984,4.98891546981273,37.9300005733967,1.20458535738784,0.176492379521632,10,-3.5676067497966E-7,,,,,,,,,,,,,,,,,,,,,8.01838302612305,8.01838302612305,25.5224132537842,25.5224132537842,50.1488949795918,5.43231893923651,4.4970498085022,65,1,0,0,1,0.28594970703125,31.7693061828613,6,1,1,8.01838302612305,0,8.01838302612305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865492180.78334,9.06034088134766,25.5224132537842,0.000788060980862939,3.00943907890574E-6,1,5,12.9061126708984,4.98942137788911,37.9300005733967,1.0260054774566,0.150204432339887,10,-3.96265905043677E-7,,,,,,,,,,,,,,,,,,,,,9.06034088134766,9.06034088134766,25.5224132537842,25.5224132537842,50.0531454859861,5.43047936635153,4.64589214324951,65,1,0,0,1,0.285263061523438,30.7917900085449,6,1,1,9.06034088134766,0,9.06034088134766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865492187.37559,10.0110855102539,25.5224132537842,0.000724091564645178,1.5021286150916E-6,1,5,12.9061126708984,4.98832994913877,37.9300005733967,0.942452226706663,0.137831156553578,10,-4.70389861169291E-7,,,,,,,,,,,,,,,,,,,,,10.0110855102539,10.0110855102539,25.5224132537842,25.5224132537842,49.9386369079188,5.43385698121072,4.78157138824463,65,1,0,0,1,0.28778076171875,32.2580642700195,6,1,1,10.0110855102539,0,10.0110855102539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
