[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3873103217.52703,09/23/2022,4:11 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.01,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3873103385.59798
,3873104151.77818,99.9561309814453,49999.57421875,0.0658840769447083,0.000142588081040791,1,2,13.1008939743042,1.99350524384845,32.820001244545,15.8912292951377,2.25718097754942,100,-0.00029131541040823,,,,,,,,,,,,,,,,,,,,,99.9561309814453,99.9561309814453,49999.57421875,49999.57421875,52.3018907358132,5.89838840990678,7.77655172348022,26,1,0,0,1,0.1361083984375,31.7693061828613,1,1,1,99.9561309814453,0,2084573184,99.9561309814453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104154.35989,99.9646530151367,49999.57421875,0.0652137425006419,1.88742978817327E-5,1,2,13.1008939743042,2.0041108254154,32.820001244545,15.8792650015703,2.31964734022125,100,-3.01884609120432E-5,,,,,,,,,,,,,,,,,,,,,99.9646530151367,99.9646530151367,49999.57421875,49999.57421875,52.3562139178998,5.78382729560037,7.77295064926147,26,1,0,0,1,0.137939453125,31.2805480957031,6,1,1,99.9646530151367,0,2084573184,99.9646530151367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104165.18698,99.8100433349609,49999.57421875,0.0652095288575804,2.10227493825173E-5,1,2,13.1008939743042,2.00387221424488,32.820001244545,15.8745032222487,2.32003537433388,100,-2.58281801669878E-5,,,,,,,,,,,,,,,,,,,,,99.8100433349609,99.8100433349609,49999.57421875,49999.57421875,52.2952468933998,5.78469222095826,7.76434755325317,26,1,0,0,1,0.13671875,30.7917900085449,2,1,1,99.8100433349609,0,2084573184,99.8100433349609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104167.06608,99.7276382446289,49999.57421875,0.0653044665471527,1.55758663246807E-5,1,2,13.1008939743042,2.00388678490646,32.820001244545,15.8982471147621,2.32062372976271,100,-3.74558832421961E-5,,,,,,,,,,,,,,,,,,,,,99.6545791625977,99.8006973266602,49999.57421875,49999.57421875,52.2420961540921,5.78505084814479,7.75981664657593,26,1,0,0,1,0.136642456054688,31.2805480957031,2,1,1,99.6545791625977,0,2084573184,99.7276382446289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104169.83441,99.5981254577637,49999.57421875,0.0653730080947591,1.38024343672495E-5,1,2,13.1008939743042,2.00388678490646,32.820001244545,15.9151969620792,2.32126113517329,100,-4.48823996491823E-5,,,,,,,,,,,,,,,,,,,,,99.5416717529297,99.6545791625977,49999.57421875,49999.57421875,52.3882606871882,5.78505084814479,7.75908327102661,26,1,0,0,1,0.135421752929688,31.7693061828613,2,1,1,99.5416717529297,0,2084573184,99.5981254577637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104171.88081,99.4778213500977,49999.57421875,0.0654407066532189,9.11908394010703E-6,1,2,13.1008939743042,2.00391493251477,32.820001244545,15.9316423977163,2.32686398420752,100,-3.20416373416879E-5,,,,,,,,,,,,,,,,,,,,,99.4265975952148,99.5290451049805,49999.57421875,49999.57421875,52.3503517040055,5.78487895496106,7.75616550445557,25,1,64,0,0,0.13763427734375,31.2805480957031,2,1,1,99.4265975952148,0,2084573184,99.4778213500977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104173.78546,99.3544692993164,49999.57421875,0.0655528020608651,1.37544580796965E-5,1,2,13.1008939743042,2.00375484122025,32.820001244545,15.9564692095857,2.33082699056,100,-3.07410650609453E-5,,,,,,,,,,,,,,,,,,,,,99.282341003418,99.4265975952148,49999.57421875,49999.57421875,52.3780995164382,5.78565321331581,7.75562238693237,26,1,0,0,1,0.134963989257812,31.2805480957031,2,1,1,99.282341003418,0,2084573184,99.3544692993164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104175.78602,99.2067413330078,49999.57421875,0.065680185541221,1.87555113531563E-5,1,2,13.1008939743042,2.00375484122025,32.820001244545,15.9876793199008,2.33396984647867,100,-3.64970548759952E-5,,,,,,,,,,,,,,,,,,,,,99.1311416625977,99.282341003418,49999.57421875,49999.57421875,52.2839132798709,5.78565321331581,7.75044250488281,26,1,0,0,1,0.135040283203125,32.2580642700195,2,1,1,99.1311416625977,0,2084573184,99.2067413330078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104177.77608,99.0253028869629,49999.57421875,0.0658295526205485,1.78248382101393E-5,1,2,13.1008939743042,2.0037686336093,32.820001244545,16.0244701630323,2.33778352153551,100,-4.28439576240069E-5,,,,,,,,,,,,,,,,,,,,,98.9194641113281,99.1311416625977,49999.57421875,49999.57421875,52.3327650623228,5.78474387514303,7.7468056678772,26,1,0,0,1,0.135879516601562,30.7917900085449,2,1,1,98.9194641113281,0,2084573184,99.0253028869629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104179.73679,98.8109970092773,49999.57421875,0.0659935818391897,1.99632715157558E-5,1,2,13.1008939743042,2.00377928296361,32.820001244545,16.0643736622919,2.34490682222503,100,-3.77141535801709E-5,,,,,,,,,,,,,,,,,,,,,98.7025299072266,98.9194641113281,49999.57421875,49999.57421875,52.3624669460536,5.78402951983791,7.74260473251343,26,1,0,0,1,0.136489868164062,32.2580642700195,2,1,1,98.7025299072266,0,2084573184,98.8109970092773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104182.00777,98.5518455505371,49999.57421875,0.0662543635641519,3.33127188313406E-5,1,2,13.1008939743042,2.00377928296361,32.8000001609325,16.1275158994543,2.35648004821875,100,-2.83849112514136E-5,,,,,,,,,,,,,,,,,,,,,98.4705200195313,98.633171081543,49999.57421875,49999.57421875,52.3390180904767,5.78402951983791,7.74434995651245,24,1,64,0,0,0.135116577148438,31.2805480957031,2,1,1,98.4705200195313,0,2084573184,98.5518455505371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104183.6958,98.344123840332,49999.57421875,0.0665025578123781,2.27682802925908E-5,1,2,13.1008939743042,2.00368463062198,32.8000001609325,16.1870825394013,2.36100261923389,100,-4.53100669407088E-5,,,,,,,,,,,,,,,,,,,,,98.2177276611328,98.4705200195313,49999.57421875,49999.57421875,52.2803959515344,5.78599240476556,7.74011754989624,26,1,0,0,1,0.13916015625,31.2805480957031,2,1,1,98.2177276611328,0,2084573184,98.344123840332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104185.68605,98.0399475097656,49999.57421875,0.0667715289494844,2.33229489247263E-5,1,2,13.1008939743042,2.00356661634347,32.8000001609325,16.2507499832225,2.37020942365659,100,-4.58133773463012E-5,,,,,,,,,,,,,,,,,,,,,97.8958053588867,98.1840896606445,49999.57421875,49999.57421875,52.3022815500728,5.78596088968425,7.737464427948,26,1,0,0,1,0.138931274414062,32.7468223571777,2,1,1,97.8958053588867,0,2084573184,98.0399475097656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104187.68747,97.7524833679199,49999.57421875,0.0670469530366395,2.63111359680045E-5,1,2,13.1008939743042,2.00356661634347,32.8000001609325,16.317783377744,2.37997864783114,100,-4.60335369262493E-5,,,,,,,,,,,,,,,,,,,,,97.6091613769531,97.8958053588867,49999.57421875,49999.57421875,52.3890423157075,5.78596088968425,7.73311901092529,26,1,0,0,1,0.136260986328125,30.7917900085449,2,1,1,97.6091613769531,0,2084573184,97.7524833679199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104189.76933,97.3893547058105,49999.57421875,0.0673700899696431,2.39044192577468E-5,1,2,13.1008939743042,2.00345709258023,32.8000001609325,16.3948532851455,2.39036276231348,100,-4.97023592505081E-5,,,,,,,,,,,,,,,,,,,,,97.2681579589844,97.5105514526367,49999.57421875,49999.57421875,52.3210406345344,5.78781813055753,7.72972774505615,24,1,64,0,0,0.137939453125,32.2580642700195,2,1,1,97.2681579589844,0,2084573184,97.3893547058105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104191.66953,97.0754318237305,49999.57421875,0.0677041842697579,2.50339443208493E-5,1,2,13.1008939743042,2.00328298919218,32.8000001609325,16.4737976160912,2.39941553514326,100,-5.98377899440707E-5,,,,,,,,,,,,,,,,,,,,,96.9173278808594,97.2335357666016,49999.57421875,49999.57421875,52.4316410700055,5.78960840642968,7.72727584838867,26,1,0,0,1,0.132369995117188,30.3030319213867,2,1,1,96.9173278808594,0,2084573184,97.0754318237305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873104193.66893,96.692943572998,49999.57421875,0.068049203822342,2.91635782987758E-5,1,2,13.1008939743042,2.00328298919218,32.8000001609325,16.557462826425,2.41358778866162,100,-5.21486552953931E-5,,,,,,,,,,,,,,,,,,,,,96.5361785888672,96.8497085571289,49999.57421875,49999.57421875,52.3452711186305,5.78960840642968,7.72401094436646,26,1,0,0,1,0.135345458984375,31.2805480957031,2,1,1,96.5361785888672,0,2084573184,96.692943572998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
