[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3865843246.80756,07/01/2022,2:18 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,139.46,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,59.97,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3865844347.00911,100.001686096191,49999.7109375,0.0264617807431271,3.08488203540663E-6,1,2,12.9061126708984,4.99568654593368,46.6499999165535,34.5148734874984,5.03469273642378,100,-2.69614189227919E-5,,,,,,,,,,,,,,,,,,,,,100.001686096191,100.001686096191,49999.7109375,49999.7109375,49.6455262132072,5.39325495130748,7.45492839813232,26,1,0,0,1,0.288467407226562,30.3030319213867,1,1,1,100.001686096191,0,100.001686096191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865844349.71796,100.001602172852,49999.7109375,0.0264611581739786,5.6874315428776E-6,1,2,12.9061126708984,4.99570521408415,46.6499999165535,34.5156364694355,5.02511041860225,100,-3.42377893190251E-5,,,,,,,,,,,,,,,,,,,,,100.001602172852,100.001602172852,49999.7109375,49999.7109375,49.5368798490341,5.39302084770102,7.45828151702881,26,1,0,0,1,0.289535522460937,30.7917900085449,6,1,1,100.001602172852,0,100.001602172852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865844351.26288,99.984935760498,49999.7109375,0.0264596817991241,2.37743158841792E-6,1,2,12.9061126708984,4.99572353939283,46.6499999165535,34.5127491068224,5.03260935433599,100,-2.82906401491596E-5,,,,,,,,,,,,,,,,,,,,,99.9682693481445,100.001602172852,49999.7109375,49999.7109375,49.5986285020533,5.39303602519324,7.4646635055542,26,1,0,0,1,0.279388427734375,30.3030319213867,6,1,1,99.9682693481445,0,99.984935760498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865844353.80938,99.9444160461426,49999.7109375,0.0264512316360184,3.44046943570638E-6,1,2,12.9061126708984,4.99572008110531,46.6499999165535,34.5017479422756,5.03062760429001,100,-2.85650504677674E-5,,,,,,,,,,,,,,,,,,,,,99.9231033325195,99.9657287597656,49999.7109375,49999.7109375,49.6189508435533,5.39354685607918,7.45304012298584,26,1,0,0,1,0.279922485351562,30.7917900085449,2,1,1,99.9231033325195,0,99.9444160461426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865844355.82238,99.8929405212402,49999.7109375,0.0264490241214843,3.47487182521887E-6,1,2,12.9061126708984,4.99572008110531,46.6499999165535,34.498974866537,5.02948418115735,100,-2.91175022905427E-5,,,,,,,,,,,,,,,,,,,,,99.8627777099609,99.9231033325195,49999.7109375,49999.7109375,49.5564205620149,5.39354685607918,7.45114755630493,26,1,0,0,1,0.290069580078125,31.2805480957031,2,1,1,99.8627777099609,0,99.8929405212402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865844358.11929,99.8395538330078,49999.7109375,0.0264520984342772,1.9466077198071E-6,1,2,12.9061126708984,4.99563442943566,46.6499999165535,34.5020933270962,5.03037192989321,100,-2.8795733327843E-5,,,,,,,,,,,,,,,,,,,,,99.8163299560547,99.8627777099609,49999.7109375,49999.7109375,49.6091804870629,5.3930913096184,7.44994068145752,26,1,0,0,1,0.278244018554687,30.7917900085449,2,1,1,99.7970199584961,0,99.8395538330078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865844360.15268,99.7743949890137,49999.7109375,0.0264574780779424,2.79678564894964E-6,1,2,12.9061126708984,4.99574250494349,46.6499999165535,34.5101691918069,5.0314623704097,100,-2.88669101517316E-5,,,,,,,,,,,,,,,,,,,,,99.7517700195313,99.7970199584961,49999.7109375,49999.7109375,49.5904214026014,5.39330353644474,7.46008491516113,26,1,0,0,1,0.289840698242188,30.3030319213867,2,1,1,99.7517700195313,0,99.7743949890137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865844361.8344,99.7049789428711,49999.7109375,0.0264503407444697,3.10789063000611E-5,1,2,12.9061126708984,4.99574250494349,46.6499999165535,34.4946490669473,5.07237860181414,100,3.55540374764622E-6,,,,,,,,,,,,,,,,,,,,,99.6581878662109,99.7517700195313,49999.7109375,49999.7109375,49.5798694175918,5.39330353644474,7.44591188430786,26,1,0,0,1,0.278778076171875,31.2805480957031,2,1,1,99.6581878662109,0,99.7049789428711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865844363.85016,99.6066207885742,49999.7109375,0.0264847165850303,1.8043946448909E-6,1,2,12.9061126708984,4.99572354914905,46.6499999165535,34.545737743601,5.03509503063983,100,-3.00625571062684E-5,,,,,,,,,,,,,,,,,,,,,99.5550537109375,99.6581878662109,49999.7109375,49999.7109375,49.6248130574476,5.39297902325579,7.45385551452637,26,1,0,0,1,0.279083251953125,30.7917900085449,2,1,1,99.5550537109375,0,99.6066207885742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3865844366.01842,99.4741096496582,49999.7109375,0.0265073124406647,2.46796496765567E-6,1,2,12.9061126708984,4.99577982438869,46.6499999165535,34.5759371985637,5.03824350339276,100,-3.10289387238063E-5,,,,,,,,,,,,,,,,,,,,,99.3931655883789,99.5550537109375,49999.7109375,49999.7109375,49.6119161868802,5.39248414039653,7.45073318481445,26,1,0,0,1,0.288772583007812,30.7917900085449,2,1,1,99.3931655883789,0,99.4741096496582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
