[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3866169009.74022,07/05/2022,8:47 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM327,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB365,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC220,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI344,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,142.58,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Not Specified,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.27,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3866171441.4201,100.000541687012,49999.63671875,0.0107603975322354,1.57907546025034E-6,1,2,12.9061126708984,4.97656693310111,36.4199988543987,13.9592547149213,2.03949133483674,100,-8.50942997596038E-6,,,,,,,,,,,,,,,,,,,,,100.000541687012,100.000541687012,49999.63671875,49999.63671875,50.030869073188,5.37246669756205,7.29720449447632,26,1,0,0,1,0.276107788085938,29.8142719268799,1,1,1,100.000541687012,0,100.000541687012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866171444.86553,99.9999465942383,49999.63671875,0.0107581493978348,9.59219835788928E-7,1,2,12.9061126708984,4.9765488520121,36.4199988543987,13.9563975951603,2.0381652753907,100,-9.1934251605399E-6,,,,,,,,,,,,,,,,,,,,,99.9999465942383,99.9999465942383,49999.63671875,49999.63671875,49.9917876472264,5.37277438755589,7.28673410415649,26,1,0,0,1,0.275726318359375,29.3255138397217,6,1,1,99.9999465942383,0,99.9999465942383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866171456.66928,99.6962356567383,49999.63671875,0.010787493985962,1.45999873659483E-6,1,2,12.9061126708984,4.97649025187797,36.4199988543987,13.9945262665447,2.04170193890011,100,-1.07518453436541E-5,,,,,,,,,,,,,,,,,,,,,99.6962356567383,99.6962356567383,49999.63671875,49999.63671875,50.0046845177938,5.37287092534122,7.28531980514526,26,1,0,0,1,0.267257690429687,29.3255138397217,2,1,1,99.6962356567383,0,99.6962356567383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866171457.67014,99.6412620544434,49999.63671875,0.0107869076765049,4.59615791587336E-5,1,2,12.9061126708984,4.97644720556879,36.4199988543987,14.0027773594654,1.97906560060663,100,-5.89365973634105E-5,,,,,,,,,,,,,,,,,,,,,99.5862884521484,99.6962356567383,49999.63671875,49999.63671875,49.9999947466784,5.37264354868808,7.28669691085815,26,1,0,0,1,0.276031494140625,30.7917900085449,2,1,1,99.5862884521484,0,99.6412620544434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866171459.57458,99.5313148498535,49999.63671875,0.010808472884516,1.56216790944302E-6,1,2,12.9061126708984,4.97644720556879,36.4199988543987,14.0217697584914,2.04429724580722,100,-1.18138438762145E-5,,,,,,,,,,,,,,,,,,,,,99.4763412475586,99.5862884521484,49999.63671875,49999.63671875,49.9781091481399,5.37264354868808,7.28438758850098,26,1,0,0,1,0.267257690429687,29.8142719268799,2,1,1,99.4763412475586,0,99.5313148498535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866171466.82512,98.9289093017578,49999.63671875,0.0108601371960532,1.77423793685584E-6,1,2,12.9061126708984,4.97644590048583,36.4199988543987,14.0893227481384,2.05043079479566,1000,-1.46745994838363E-5,,,,,,,,,,,,,,,,,,,,,98.9289093017578,98.9289093017578,49999.63671875,49999.63671875,49.9695112344284,5.37330460302335,7.27414989471436,26,1,0,0,1,0.276336669921875,29.8142719268799,2,1,1,98.9289093017578,0,98.9289093017578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866171473.0304,98.0739593505859,49999.63671875,0.0109533579197168,2.21783813205134E-6,1,2,12.9061126708984,4.97635985787747,36.4199988543987,14.2091674090369,2.07307856870092,100,-1.08703542481963E-5,,,,,,,,,,,,,,,,,,,,,98.0739593505859,98.0739593505859,49999.63671875,49999.63671875,50.0289150018899,5.3728559984693,7.27565670013428,26,1,0,0,1,0.277175903320313,30.3030319213867,2,1,1,98.0739593505859,0,98.0739593505859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866171480.82922,96.8212814331055,49999.63671875,0.0111333759490587,2.78540371831214E-6,1,2,12.9061126708984,4.97638426997562,36.4199988543987,14.4436025499201,2.10166197858758,1000,-1.52909788897768E-5,,,,,,,,,,,,,,,,,,,,,96.8212814331055,96.8212814331055,49999.63671875,49999.63671875,49.964821463313,5.37297155738787,7.25938701629639,26,1,0,0,1,0.286941528320313,30.3030319213867,2,1,1,96.8212814331055,0,96.8212814331055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866171481.80174,96.6574554443359,49999.63671875,0.0111402348464753,7.20991414103105E-5,1,2,12.9061126708984,4.97633259910457,36.4199988543987,14.4405969926081,2.18251598803631,1000,4.60621851607041E-5,,,,,,,,,,,,,,,,,,,,,96.5112075805664,96.8037033081055,49999.63671875,49999.63671875,49.9820172907361,5.37291963598964,7.25300168991089,26,1,0,0,1,0.275802612304687,29.3255138397217,2,1,1,96.5112075805664,0,96.6574554443359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3866171488.7441,95.4047927856445,49999.63671875,0.01136417379214,3.34977539172002E-6,1,2,12.9061126708984,4.97637141438025,36.4199988543987,14.7423649493135,2.14933172442908,100,-1.24396170779264E-5,,,,,,,,,,,,,,,,,,,,,95.4047927856445,95.4047927856445,49999.63671875,49999.63671875,49.939418536438,5.37321535681535,7.24827527999878,26,1,0,0,1,0.2764892578125,30.3030319213867,2,1,1,95.4047927856445,0,95.4047927856445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
