[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3873084673.75024,09/23/2022,11:02 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1047,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM278,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB323,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC258,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI127,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,sndst,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,61.94,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
"FC",3873084922.74018
,3873085697.98817,99.986701965332,49999.55859375,0.0100471283911223,1.17533328137553E-6,1,2,13.1008939743042,4.97669728517621,36.6199985146522,11.5972053055104,1.72018250835692,100,1.74466987929147E-5,,,,,,,,,,,,,,,,,,,,,99.986701965332,99.986701965332,49999.55859375,49999.55859375,52.5867943310729,5.75337653937026,7.55057001113892,26,1,0,0,1,0.297622680664063,33.7243423461914,1,1,1,99.986701965332,0,2084573184,99.986701965332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873085700.67487,99.9933433532715,49999.55859375,0.0100503015633969,1.42127365324732E-6,1,2,13.1008939743042,4.97667986334639,36.6199985146522,11.6007083858845,1.7214178504953,100,1.80589393715818E-5,,,,,,,,,,,,,,,,,,,,,99.9929046630859,99.993782043457,49999.55859375,49999.55859375,52.4906540232075,5.7529191354302,7.55034780502319,26,1,0,0,1,0.297164916992188,30.3030319213867,6,1,1,99.993782043457,0,2084573184,99.9933433532715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873085706.84933,99.9492492675781,49999.55859375,0.010052301969921,1.65761288532653E-6,1,2,13.1008939743042,4.97669073110707,36.6199985146522,11.6008649467861,1.73669545878562,10,3.09934713356575E-5,,,,,,,,,,,,,,,,,,,,,99.9492492675781,99.9492492675781,49999.55859375,49999.55859375,52.5875759595921,5.752956188006,7.55278921127319,26,1,0,0,1,0.298690795898438,31.7693061828613,2,1,1,99.9492492675781,0,2084573184,99.9492492675781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873085707.85514,99.931095123291,49999.55859375,0.0100560048250893,1.80362402982161E-6,1,2,13.1008939743042,4.97682576779623,36.6199985146522,11.6056535749102,1.73690005175534,10,3.05707302628781E-5,,,,,,,,,,,,,,,,,,,,,99.9129409790039,99.9492492675781,49999.55859375,49999.55859375,52.5488853478902,5.75234093359409,7.54960203170776,26,1,0,0,1,0.295791625976562,31.7693061828613,2,1,1,99.9129409790039,0,2084573184,99.931095123291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873085709.7798,99.8840827941895,49999.55859375,0.0100620478092345,1.76216365036432E-6,1,2,13.1008939743042,4.97682576779623,36.6199985146522,11.6125015869262,1.73880498156853,10,3.1334950269042E-5,,,,,,,,,,,,,,,,,,,,,99.855224609375,99.9129409790039,49999.55859375,49999.55859375,52.5391149913998,5.75234093359409,7.54194021224976,26,1,0,0,1,0.297470092773438,31.7693061828613,2,1,1,99.855224609375,0,2084573184,99.8840827941895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873085711.76258,99.8225746154785,49999.55859375,0.0100694808900221,1.39854925034742E-6,1,2,13.1008939743042,4.97687636021044,36.6199985146522,11.6210985779944,1.74111886591322,10,3.22281274573209E-5,,,,,,,,,,,,,,,,,,,,,99.789924621582,99.855224609375,49999.55859375,49999.55859375,52.4582164396594,5.75237191741401,7.54583024978638,26,1,0,0,1,0.296783447265625,31.7693061828613,2,1,1,99.789924621582,0,2084573184,99.8225746154785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873085713.75656,99.7505111694336,49999.55859375,0.0100757102729014,1.49932323718924E-6,1,2,13.1008939743042,4.97694123667944,36.6199985146522,11.6286091253196,1.74148706816532,10,3.16064945031266E-5,,,,,,,,,,,,,,,,,,,,,99.7110977172852,99.789924621582,49999.55859375,49999.55859375,52.6372093705633,5.75173495524441,7.53862428665161,26,1,0,0,1,0.295333862304687,31.7693061828613,2,1,1,99.7110977172852,0,2084573184,99.7505111694336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873085715.72965,99.6664085388184,49999.55859375,0.0100878330522174,1.679610686713E-6,1,2,13.1008939743042,4.97694123667944,36.6199985146522,11.6425306504463,1.74405764913699,10,3.20561421132256E-5,,,,,,,,,,,,,,,,,,,,,99.6217193603516,99.7110977172852,49999.55859375,49999.55859375,52.4996427511786,5.75173495524441,7.53602457046509,26,1,0,0,1,0.29693603515625,31.7693061828613,2,1,1,99.6217193603516,0,2084573184,99.6664085388184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3873085717.81372,99.5572776794434,49999.55859375,0.0101018365983807,1.52945744579669E-6,1,2,13.1008939743042,4.97696853026617,36.6199985146522,11.6589665171488,1.74523366816953,10,3.10107513098358E-5,,,,,,,,,,,,,,,,,,,,,99.5162887573242,99.5982666015625,49999.55859375,49999.55859375,52.6071166725729,5.75206089098332,7.54186487197876,24,1,64,0,0,0.295867919921875,31.7693061828613,2,1,1,99.5162887573242,0,2084573184,99.5572776794434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
