Specimen_ID	Depth	Ms	Mrs	Mass_mg	Mass_kg	Brh	Bcr	Bc	Ms_Am^2/kg	Mrs_Am^2/kg	Shape	Mrs/Ms	Bcr/Bc	Brh/Bcr	Staining	Xhf	Xhf_m3/kg
SSK115289	1057.73	5.45E-06	7.46E-07	5395	0.005395	48.12	42.93	12.92	9.57E-04	1.32E-04	0.71	1.38E-01	3.322755418	1.120894479		3.42E-10	7.11E-08
SSK115315	1059.73	4.18E-06	7.69E-07	5525	0.005525	52.16	46.95	14.46	7.05E-04	1.34E-04	0.96	1.89E-01	3.246887967	1.110969116		2.07E-10	4.50E-08
SSK115316	1060.56	6.81E-06	1.19E-06	7265	0.007265	43.38	45.94	15.34	8.98E-04	1.60E-04	0.79	1.78E-01	2.994784876	0.944275141		4.49E-10	6.75E-08
SSK115317	1061.45	5.18E-06	8.95E-07	6095	0.006095	48.86	44.16	13.36	8.03E-04	1.42E-04	0.85	1.77E-01	3.305389222	1.106431159		2.53E-10	4.83E-08
SSK115318	1062.26	9.88E-06	1.36E-06	7095	0.007095	51.95	43.67	12.22	1.35E-03	1.87E-04	0.81	1.39E-01	3.573649755	1.189603847		3.60E-10	5.66E-08
SSK115319	1063.35	5.38E-06	7.97E-07	6295	0.006295	468.38	42.11	11.39	8.09E-04	1.22E-04	1.15	1.50E-01	3.697102722	11.12277369		2.54E-10	4.70E-08
SSK115320	1064.5	5.68E-06	8.58E-07	6865	0.006865	43.96	44.73	13.77	7.86E-04	1.20E-04	0.77	1.53E-01	3.248366013	0.982785603		3.73E-10	6.04E-08
SSK115321	1065.1	5.69E-06	8.67E-07	7135	0.007135	51.96	44.76	13.06	7.57E-04	1.17E-04	0.96	1.55E-01	3.427258806	1.160857909		2.93E-10	4.69E-08
SSK115334	1065.49	8.85E-06	1.02E-06	6755	0.006755	48.83	46.28	12.73	1.27E-03	1.46E-04	0.57	1.15E-01	3.635506677	1.055099395		7.14E-10	1.12E-07
SSK115322	1066.25	7.67E-06	8.87E-07	8505	0.008505	46.42	45.92	13	8.68E-04	1.01E-04	0.43	1.16E-01	3.532307692	1.010888502		4.55E-10	5.84E-08
SSK115323	1067.7	5.88E-06	9.11E-07	5930	0.00593	44.63	43.26	14.07	9.62E-04	1.50E-04	-0.66	1.56E-01	3.074626866	1.031668978		2.86E-10	5.54E-08
SSK115324	1068.67	3.39E-06	7.13E-07	5400	0.0054	48.3	45.67	15.83	5.96E-04	1.28E-04	-0.64	2.14E-01	2.885028427	1.057587037		1.87E-10	4.25E-08
ssk115_32_new	1069.95	0.0000121	0.00000144	6285	0.006285	47.9	32.35	9.1	1.88E-03	2.24E-04	-0.098	1.19E-01	3.554945055	1.480680062		2.24E-10	4.23E-08
SSK115_326	1070.5	1.18E-06	1.74E-07	7210	0.00721	42.85	40.45	11.16	1.40E-04	2.09E-05	-0.47	1.50E-01	3.624551971	1.059332509		4.23E-11	1.17E-08
SSK115_327	1071.65	4.08E-06	7.12E-07	4730	0.00473	49.96	42.13	12.2	8.26E-04	1.46E-04	-0.33	1.76E-01	3.453278689	1.185853311		2.12E-10	5.38E-08
SSK115_328	1072.52	1.03E-06	1.71E-07	6650	0.00665	53.78	43.73	13.23	1.29E-04	2.22E-05	-0.66	1.73E-01	3.305366591	1.229819346		5.35E-11	1.44E-08
SSK115_329	1073.26	3.95E-06	6.28E-07	5410	0.00541	42.32	42.91	11.79	6.98E-04	1.12E-04	-0.52	1.60E-01	3.639525021	0.986250291		1.79E-10	4.09E-08
SSK115_330	1074.6	4.84E-06	7.24E-07	6980	0.00698	50.49	41.39	12.28	6.69E-04	1.00E-04	-0.73	1.50E-01	3.370521173	1.21985987		2.45E-10	4.12E-08
SSK115331	1075.7	6.00E-06	7.92E-07	7335	0.007335	48.71	40.63	11.81	7.79E-04	1.04E-04	0.79	1.33E-01	3.440304826	1.198867832		3.45E-10	5.27E-08
SSK115332	1076.5	5.00E-06	7.45E-07	6775	0.006775	43.65	45.21	12.34	6.96E-04	1.05E-04	0.84	1.51E-01	3.6636953	0.96549436		2.40E-10	4.16E-08
ssk115_333_new	1077.52	0.00000521	0.000000767	6225	0.006225	51.8	44.55	13	7.91E-04	1.18E-04	0.015	1.49E-01	3.426923077	1.162738496		2.69E-10	4.99E-08
SSK115314	1078.8	8.99E-06	9.91E-07	6645	0.006645	46.45	39.64	10	1.31E-03	1.44E-04	0.83	1.10E-01	3.964	1.171796165		1.45E-10	2.81E-08
SSK115313	1082.44	6.34E-06	8.56E-07	7145	0.007145	38.31	42.84	12.92	8.47E-04	1.15E-04	0.68	1.36E-01	3.315789474	0.894257703		2.95E-10	4.71E-08
