Specimen_ID	Depth_m	Ms_(Am2/Kg)	Mrs_(Am2/Kg)	Mrs/Ms	Bc_[mT]	Bcr/Bc	Xhf_(m3/kg minus pot)
SSK141247	920.11	6.69E-04	9.26E-05	1.38E-01	12.3	3.743089431	4.02E-08
SSK141246	920.77	7.00E-04	1.08E-04	1.54E-01	13.1	3.277862595	3.57E-08
SSK141245	921.05	5.67E-04	8.27E-05	1.46E-01	9.6	3.764583333	3.94E-08
ssk115_380	921.45	1.26E-03	1.62E-04	1.28E-01	8.5	3.521176471	3.65E-08
SSK141244	921.8	5.73E-04	7.06E-05	1.23E-01	11.4	3.071929825	3.13E-08
SSK141243	923.17	8.06E-04	9.84E-05	1.22E-01	8.1	3.430864198	3.33E-08
ssk115_381	923.45	4.96E-04	8.71E-05	1.76E-01	10.3	3.414563107	2.94E-08
SSK115362	924.47	7.60E-04	9.97E-05	1.31E-01	11.1	3.130630631	3.84E-08
SSK141242	924.86	7.40E-04	9.80E-05	1.32E-01	10.1	3.452475248	3.55E-08
SSK115363	925.35	8.47E-04	1.30E-04	1.53E-01	10.5	3.428571429	3.62E-08
ssk115_364	926.22	9.27E-04	1.25E-04	1.34E-01	9.9	3.690909091	4.44E-08
ssk115_365	927.55	7.31E-04	1.18E-04	1.61E-01	10.2	3.53627451	3.73E-08
ssk115_366	928.75	6.56E-04	1.02E-04	1.56E-01	10.1	3.59009901	3.07E-08
ssk115_367	929.5	1.34E-03	1.19E-04	8.91E-02	9.4	3.653191489	4.23E-08
ssk115_368	930.15	9.97E-04	1.40E-04	1.40E-01	9.7	3.540206186	4.04E-08
ssk115_369	931.18	7.50E-04	1.01E-04	1.34E-01	9.5	3.64	3.55E-08
ssk115_370	932.3	8.58E-04	1.26E-04	1.46E-01	9	3.546666667	2.93E-08
ssk115_371	934.01	5.59E-04	8.52E-05	1.52E-01	10	3.611	3.00E-08
ssk115_372	936.35	7.06E-04	1.18E-04	1.67E-01	10.6	3.301886792	3.70E-08
ssk115_373	936.95	5.62E-04	8.90E-05	1.58E-01	9.9	3.58989899	3.41E-08
ssk115_374	938.75	7.76E-04	1.65E-04	2.12E-01	14.6	3.132876712	4.17E-08
ssk115_375	939.7	9.42E-04	1.51E-04	1.60E-01	11.6	3.468965517	4.66E-08
ssk115_376	940.2	7.43E-04	1.19E-04	1.60E-01	13	3.474615385	3.38E-08
ssk115_377	942.55	8.84E-04	1.54E-04	1.74E-01	12	3.600833333	3.99E-08
SSK141241	943.05	7.63E-04	1.56E-04	2.05E-01	14.3	3.434965035	4.35E-08
ssk115_378	943.55	1.39E-03	2.35E-04	1.69E-01	9.8	3.273469388	4.35E-08
SSK141240_2	943.75	9.84E-04	1.47E-04	1.50E-01	12.2	3.607377049	4.91E-08
ssk115_379	945.57	1.17E-03	2.15E-04	1.83E-01	13.4	3.199253731	6.22E-08
SSK141239	945.8	1.31E-03	1.99E-04	1.52E-01	12.7	3.347244094	4.94E-08
SSK141238	946.3	9.38E-04	1.16E-04	1.24E-01	10.5	3.665714286	4.68E-08
