Specimen_ID	Depth_ft	Depth_m	 Mass_[mg]	Mass_(Kg)	Bcr_[mT]	Bc_[mT]	Brh_[mT]	Bih_[mT]	Ms_[Am^2]	Ms_[Am^2/Kg]	Mrs_[Am^2]	Mrs_[Am^2/Kg]	Xhf_[m^3]	Xhf_[m^3/kg]	Shape	Mrs/Ms	Bcr/Bc
ssk115_382	5410	1648.968	6535	0.006535	87.94	19.5	261	88.2	6.65E-06	9.74E-04	6.26E-07	9.10E-05	-5.95E-11	-2.75E-09	4.09E-01	9.35E-02	4.51E+00
ssk115_383	5414	1650.1872	5695	0.005695	121.6	26.3	282.9	92.2	5.26E-06	8.73E-04	7.49E-07	1.26E-04	-1.33E-11	4.96E-09	5.35E-01	1.44E-01	4.62E+00
ssk115_384	5426	1653.8448	6495	0.006495	101.6	17.4	256.1	84	1.38E-05	2.08E-03	1.43E-06	2.15E-04	-3.27E-12	5.90E-09	5.92E-01	1.04E-01	5.84E+00
ssk115_385	5433	1655.9784	6385	0.006385	37.04	4.7	233.2	88.6	2.28E-05	3.53E-03	6.03E-07	8.96E-05	-5.09E-11	-1.46E-09	5.03E-01	2.54E-02	7.88E+00
SSK115_386	5445	1659.636	6110	0.00611	96.49	15	126.4	58.7	3.64E-05	5.91E-03	6.13E-06	9.98E-04	1.24E-11	8.83E-09	0.587	1.69E-01	6.43E+00
SSK141230	5446.3	1660.457317	4725	0.004725	94.24	15.5	119.4	56.4	5.81E-06	1.17E-03	1.12E-06	2.30E-04	5.33E-12	9.92E-09	7.56E-01	1.97E-01	6.08E+00
SSK115_387	5450	1661.16     6770	0.00677	31.56	6.8	54.1	57	1.00E-05	1.43E-03	8.86E-07	1.26E-04	2.32E-11	9.57E-09	0.297	8.80E-02	4.64E+00
SSK141229	5451.1	1661.920732	6685	0.006685	32.44	6	8.97E+01	53.6	9.31E-06	1.35E-03	6.41E-07	9.12E-05	-6.09E-13	6.13E-09	5.04E-01	6.76E-02	5.41E+00
SSK141228	5463.1	1665.579268	7605	0.007605	279	163.1	294.9	149.3	3.41E-05	4.45E-03	2.36E-05	3.10E-03	8.46E-10	1.17E-07	2.63E-01	6.97E-01	1.71E+00
SSK115_388_2	5465	1665.732	7210	0.00721	123.4	22.7	143.6	66.1	1.90E-05	2.60E-03	4.34E-06	5.98E-04	8.84E-11	1.80E-08	0.668	2.30E-01	5.44E+00
SSK115_389	5467	1666.3416	5360	0.00536	189.4	84.7	267	107.1	1.50E-05	2.75E-03	7.65E-06	1.42E-03	4.73E-11	1.66E-08	5.75E-01	5.18E-01	2.24E+00
SSK141227	5468.1	1667.103659	5565	0.005565	257.5	94.4	247.1	93.2	1.02E-05	1.78E-03	6.21E-06	1.11E-03	6.60E-11	1.93E-08	5.50E-01	6.23E-01	2.73E+00
SSK115_390	5475	1668.78	5610	0.00561	141.2	63.6	196.9	94.4	1.39E-05	2.43E-03	6.35E-06	1.13E-03	1.48E-11	1.00E-08	0.507	4.64E-01	2.22E+00
SSK115_391	5479	1669.9992	6700	0.0067	214.5	92.4	362.6	131.3	1.52E-05	2.23E-03	5.34E-06	7.92E-04	4.75E-12	6.91E-09	0.383	3.56E-01	2.32E+00
ssk115_392	5480	1670.304	5680	0.00568	52.53	12	247.6	96.9	3.43E-06	5.53E-04	2.12E-07	3.18E-05	1.70E-11	1.03E-08	0.54	5.75E-02	4.38E+00
SSK115_393	5486	1672.1328	6400	0.0064	199	26.5	375.2	104.8	5.75E-06	8.54E-04	2.52E-06	3.89E-04	-3.21E-11	1.48E-09	1.874	4.56E-01	7.51E+00
SSK115_394	5492	1673.9616	5250	0.00525	190.1	76.5	317.7	116.9	1.61E-05	3.01E-03	6.71E-06	1.27E-03	3.89E-11	1.53E-08	0.597	4.22E-01	2.48E+00
SSK115_395	5498	1675.7904	6370	0.00637	250.7	223.7	388.6	227.4	2.74E-05	4.26E-03	1.75E-05	2.74E-03	4.17E-10	7.20E-08	0.099	6.44E-01	1.12E+00
SSK141226	5497	1675.914634	5945	0.005945	327.3	192.5	332.5	133.9	6.56E-06	1.06E-03	5.22E-06	8.73E-04	2.00E-10	4.06E-08	2.99E-01	8.27E-01	1.70E+00
SSK141225	5498.6	1676.402439	6905	0.006905	243.7	176.9	434.3	211.4	1.15E-05	1.62E-03	5.36E-06	7.72E-04	1.91E-10	3.37E-08	1.27E-01	4.75E-01	1.38E+00
ssk115_396	5503	1677.3144	6060	0.00606	223.1	135.1	339.2	130.6	7.66E-06	1.22E-03	4.01E-06	6.57E-04	-1.19E-11	4.89E-09	0.342	5.40E-01	1.65E+00
ssk115_397	5512	1680.0576	5230	0.00523	209.25	106.9	363.8	151.7	1.76E-05	3.31E-03	6.41E-06	1.22E-03	1.07E-11	9.99E-09	0.26	3.68E-01	1.96E+00
ssk115_398_2	5516	1681.2768	4980	0.00498	242.8	131.2	377.8	177	1.19E-05	2.33E-03	4.94E-06	9.86E-04	2.10E-12	8.77E-09	0.221	4.23E-01	1.85E+00
ssk115_399	5519	1682.1912	7175	0.007175	192.3	106.7	372.2	133.9	3.40E-05	4.70E-03	1.35E-05	1.88E-03	1.42E-10	2.56E-08	0.391	4.00E-01	1.80E+00
ssk115_400	5523	1683.4104	7285	0.007285	188.4	84.1	367.3	133.5	5.34E-05	7.29E-03	1.71E-05	2.34E-03	2.86E-10	4.50E-08	0.39	3.21E-01	2.24E+00
ssk115_401	5524	1683.7152	7895	0.007895	192.2	79.3	350.5	126.1	5.13E-05	6.46E-03	1.61E-05	2.04E-03	8.40E-11	1.59E-08	0.394	3.15E-01	2.42E+00
SSK141224	5524.2	1684.207317	6085	0.006085	232.8	43	267.9	85	5.33E-05	8.71E-03	1.81E-05	2.97E-03	1.39E-10	2.97E-08	8.22E-01	3.41E-01	5.41E+00
