DEPT .m 	Cali in	DT us/ft	GR  gAPI	LLD ohmm	LLS ohmm	MSFL ohmm	NPHI m3/m3	RHOB g/cm3	SP mV	MD M	TVDSS	UTME	UTMN
1219.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.199951	1208	399494.9063	85650.10156
1219.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.300049	1208.098755	399494.9375	85650.09375
1219.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.400024	1208.19751	399494.9375	85650.07813
1219.46952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.500122	1208.296265	399494.9688	85650.07031
1219.56952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.600098	1208.39502	399495	85650.0625
1219.66952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.700195	1208.493774	399495	85650.04688
1219.76952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.800171	1208.592529	399495.0313	85650.03906
1219.86952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.900269	1208.691284	399495.0625	85650.03125
1219.96952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.000244	1208.790039	399495.0625	85650.02344
1220.06952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.100342	1208.888794	399495.0938	85650.00781
1220.16952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.20044	1208.987671	399495.125	85650
1220.26952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.300415	1209.086426	399495.125	85649.99219
1220.36952	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.400513	1209.185181	399495.1563	85649.97656
