Well_STAINED,Mrs/Ms_STAINED,Bcr/Bc_STAINED,Well_OWC,Mrs/Ms_OWC,Bcr/Bc_OWC,Well_WET,Mrs/Ms_WET,Bcr/Bc_WET,Well_PC,Mrs/Ms_PC,Bcr/Bc_PC
K1,0.16632203,3.551094891,K1,0.136770273,2.832173913,K1,0.128966965,3.92371134,K1,0.132202891,3.552222222
K1,0.153561442,3.448507463,W1,0.237478411,2.747826087,K1,0.140321025,3.655789474,W1,0.099924204,3.651960784
K1,0.162888237,3.685123967,W1,0.193310165,3.266447368,K1,0.169506575,3.762,W1,0.073929572,4.093406593
K1,0.135568433,4.502727273,D2,0.089096489,3.653191489,K1,0.165230853,3.222033898,D2,0.160118563,3.468965517
K1,0.143319376,3.697457627,G3,0.085173194,3.68694362,K1,0.156440108,3.581632653,D2,0.182967742,3.199253731
K1,0.133110811,4.036923077,Creech-1,0.119251041,3.554945055,K1,0.145868394,3.861616162,,,
K1,0.166997056,3.796,,,,K1,0.135469805,3.757647059,,,
K1,0.135234177,4.014545455,,,,K1,0.162910688,3.157954545,,,
K1,0.135660658,3.519191919,,,,K1,0.115138034,4.3875,,,
K1,0.14528993,3.368269231,,,,K1,0.124114179,3.78125,,,
K1,0.146699329,3.561904762,,,,K1,0.098681042,4.958823529,,,
K1,0.134887134,3.429807692,,,,K1,0.130713726,3.524468085,,,
K1,0.136902879,3.709090909,,,,K1,0.107802134,3.787654321,,,
K1,0.15993743,3.623684211,,,,K1,0.114833939,4.37721519,,,
K1,0.203514475,2.702702703,,,,K1,0.098262964,4.32,,,
K1,0.171487282,3.471171171,,,,K1,0.120644437,4.207317073,,,
K1,0.157452915,4.672815534,,,,K1,0.101368346,4.359493671,,,
K1,0.182335549,4.004201681,,,,K1,0.095603322,4.386419753,,,
K1,0.154295893,3.996969697,,,,K1,0.177042376,4.694495413,,,
K1,0.185071325,4.03553719,,,,W1,0.165629528,3.222516556,,,
W1,0.22039299,3.037254902,,,,W1,0.158445789,3.693700787,,,
W1,0.219465649,3.263013699,,,,D2,0.140069288,3.540206186,,,
W1,0.197549228,3.191666667,,,,D2,0.134114229,3.64,,,
W1,0.260335506,3.13006135,,,,D2,0.146371859,3.546666667,,,
W1,0.247997712,2.955555556,,,,D2,0.152404133,3.611,,,
W1,0.195478723,3.346666667,,,,D2,0.167272412,3.301886792,,,
W1,0.132347944,3.610377358,,,,D2,0.158276085,3.58989899,,,
W1,0.153975741,3.580808081,,,,D2,0.21204971,3.132876712,,,
W1,0.154588113,4.213483146,,,,D2,0.15976708,3.474615385,,,
W1,0.164390089,3.185576923,,,,D2,0.173981273,3.600833333,,,
W1,0.187022901,3.43963964,,,,D2,0.204624633,3.434965035,,,
W1,0.188596491,4.363106796,,,,D2,0.169486791,3.273469388,,,
W1,0.151906713,3.77029703,,,,D2,0.149845646,3.607377049,,,
W1,0.200391007,3.340707965,,,,D2,0.152161618,3.347244094,,,
W1,0.164627364,3.733333333,,,,D2,0.123526509,3.665714286,,,
W1,0.183911883,3.288888889,,,,G3,0.171126501,3.238552437,,,
W1,0.204724409,3.515,,,,G3,0.172997003,3.340659341,,,
W1,0.176535572,3.400869565,,,,G3,0.144631776,3.651639344,,,
W1,0.190627843,3.335897436,,,,G3,0.151886284,3.156028369,,,
W1,0.175224888,3.590196078,,,,G3,0.172417638,3.47238806,,,
W1,0.185722928,3.68,,,,G3,0.127548503,3.285031847,,,
W1,0.197197539,3.202678571,,,,G3,0.159907891,3.303159693,,,
W1,0.210191083,3.533980583,,,,G3,0.317210856,2.745,,,
W1,0.127548503,3.15631068,,,,G3,0.190929833,3.171875,,,
W1,0.115780561,3.563917526,,,,G3,0.125220425,3.824524313,,,
W1,0.165205136,3.539805825,,,,G3,0.06451849,5.097633136,,,
W1,0.159973,3.4,,,,G3,0.096403904,3.401428571,,,
W1,0.158387622,3.700980392,,,,G3,0.070687288,4.828655835,,,
W1,0.132979386,3.798319328,,,,G3,0.11107134,4.227895392,,,
W1,0.118247008,3.458,,,,G3,0.27419532,3.778217822,,,
W1,0.162670162,3.673809524,,,,G3,0.216346884,3.479850746,,,
D2,1.38E-01,3.743089431,,,,G3,0.165759549,4.0625,,,
D2,1.54E-01,3.277862595,,,,G3,0.156540259,4.485858586,,,
