Well_STAINED,Mrs/Ms_STAINED,Bcr/Bc_STAINED,Well_OWC,Mrs/Ms_OWC,Bcr/Bc_OWC,Well_WET,Mrs/Ms_WET,Bcr/Bc_WET,Well_PC,Mrs/Ms_PC,Bcr/Bc_PC
M1,0.137178408,3.061111111,M1,1.03E-01,2.787755102,M1,4.63E-01,3.186206897,,,
M1,0.131518726,3.134831461,L5,0.104295976,4.1,M1,1.46E-01,3.477631579,,,
M1,0.011029508,3.073988439,,,,M1,4.31E-02,5.212765957,,,
M1,0.144337036,3.113186813,,,,M1,1.99E+00,3.474444444,,,
M1,0.272264014,2.6875,,,,M1,9.45E-02,3.781176471,,,
M1,0.153198257,3.114285714,,,,M1,2.12E-01,3.246875,,,
M1,0.114243867,3.557534247,,,,M1,2.03E-01,3.151428571,,,
M1,0.132054176,3.410843373,,,,L5,0.070856071,4.971186441,,,
M1,0.198952493,3.537209302,,,,L5,0.241186199,3.120618557,,,
M1,-0.003688903,5.114285714,,,,,,,,,
M1,0.107897755,2.677678571,,,,,,,,,
M1,0.127486042,3.56025641,,,,,,,,,
M1,0.140497358,3.244318182,,,,,,,,,
M1,0.094182575,4.5,,,,,,,,,
M1,0.138151505,6.371428571,,,,,,,,,
M1,0.129130762,3.432432432,,,,,,,,,
M1,0.462951623,3.186206897,,,,,,,,,
L5,0.049739024,0.689677419,,,,,,,,,
L5,0.105420041,3.151388889,,,,,,,,,
L5,0.058003832,1.295238095,,,,,,,,,
L5,0.085607488,2.617647059,,,,,,,,,
L5,0.087018615,4.795555556,,,,,,,,,
L5,0.06640473,9.104901961,,,,,,,,,
L5,0.039796475,3.215789474,,,,,,,,,
L5,0.052372529,2.294791667,,,,,,,,,
L5,0.07928653,3.516666667,,,,,,,,,
L5,0.133498146,3.479268293,,,,,,,,,
L5,0.18452963,2.602803738,,,,,,,,,
L5,0.159517859,1.949586777,,,,,,,,,
L5,0.099286662,3.185057471,,,,,,,,,
L5,0.077365202,4.0875,,,,,,,,,
