Well_STAINED,Mrs/Ms_STAINED,Bcr/Bc_STAINED,Well_OWC,Mrs/Ms_OWC,Bcr/Bc_OWC,Well_WET,Mrs/Ms_WET,Bcr/Bc_WET,Well_PC,Mrs/Ms_PC,Bcr/Bc_PC
K1,1.29E-01,4.646875,K1,0.556366953,1.943298969,K1,0.154046672,4.749593496,K1,0.549606332,1.801691007
K1,1.72E-01,7.886363636,D2,0.697018568,1.71060699,K1,0.128875626,5.212280702,K1,5.60E-01,4.001385042
K1,1.52E-01,6.059813084,G3,0.362304591,2.613445378,K1,0.320120547,3.409266409,D2,6.44E-01,1.12E+00
K1,1.87E-01,6.177692308,,,,K1,0.371700111,3.523529412,D2,0.321363213,2.24019025
K1,4.22E-01,3.55624037,,,,K1,0.513033517,2.073403241,G3,,
K1,1.37E-01,4.469565217,,,,K1,0.484670411,2.529668874,,,
K1,1.34E-01,3.867741935,,,,K1,0.512411659,1.911955514,,,
K1,3.38E-01,5.229473684,,,,K1,0.386747454,2.438356164,,,
K1,1.25E-01,5.269565217,,,,K1,0.549606332,1.801691007,,,
K1,1.02E-01,5.615217391,,,,K1,0.402785913,1.782101167,,,
K1,8.59E-02,5.658666667,,,,K1,0.400436011,1.735849057,,,
K1,3.30E-01,4.740983607,,,,K1,0.370456055,1.873961219,,,
K1,2.23E-01,6.547979798,,,,K1,0.263408562,4.322580645,,,
D2,9.35E-02,4.51E+00,,,,K1,0.28824821,4.892116183,,,
D2,1.44E-01,4.62E+00,,,,K1,0.448530358,4.486445783,,,
D2,1.04E-01,5.84E+00,,,,K1,0.328276515,3.929971989,,,
D2,2.54E-02,7.88E+00,,,,K1,0.586528117,2.002363823,,,
D2,1.69E-01,6.43E+00,,,,K1,0.495710329,1.748576078,,,
D2,1.97E-01,6.08E+00,,,,K1,0.381277395,2.6128,,,
D2,8.80E-02,4.64E+00,,,,K1,0.559500264,4.001385042,,,
D2,6.76E-02,5.41E+00,,,,K1,0.452998508,3.040609137,,,
D2,2.30E-01,5.44E+00,,,,D2,5.18E-01,2.24E+00,,,
G3,0.15789555,6.645454545,,,,D2,6.23E-01,2.73E+00,,,
,,,,,,D2,4.64E-01,2.22E+00,,,
,,,,,,D2,3.56E-01,2.32E+00,,,
,,,,,,D2,5.75E-02,4.38E+00,,,
,,,,,,D2,4.56E-01,7.51E+00,,,
,,,,,,D2,4.22E-01,2.48E+00,,,
,,,,,,D2,8.27E-01,1.70E+00,,,
,,,,,,D2,4.75E-01,1.38E+00,,,
,,,,,,D2,5.40E-01,1.65E+00,,,
,,,,,,D2,3.68E-01,1.96E+00,,,
,,,,,,D2,4.23E-01,1.85E+00,,,
,,,,,,D2,4.00E-01,1.80E+00,,,
,,,,,,D2,0.314989689,2.42370744,,,
,,,,,,D2,0.340832438,5.413953488,,,
,,,,,,G3,0.201847326,7.048780488,,,
,,,,,,G3,0.176612976,6.58490566,,,
,,,,,,G3,0.300241066,4.447019868,,,
,,,,,,G3,0.387943869,2.881034483,,,
,,,,,,G3,0.092528621,4.789655172,,,
,,,,,,G3,0.309730195,3.456769984,,,
,,,,,,G3,0.402648819,4.117988395,,,
,,,,,,G3,0.328111645,3.931688805,,,
,,,,,,G3,0.246709862,5.933147632,,,
,,,,,,G3,0.25376775,2.954716981,,,
,,,,,,G3,0.197541327,4.418282548,,,
,,,,,,G3,0.276827213,2.908149406,,,
,,,,,,G3,0.421532598,3.131372549,,,
,,,,,,G3,0.590322859,1.949243099,,,
,,,,,,G3,0.328287091,2.408440797,,,
,,,,,,G3,0.249041391,2.399339934,,,
,,,,,,G3,0.321354818,2.500671141,,,
,,,,,,G3,0.378116698,2.164229471,,,
,,,,,,G3,0.600054297,1.242774566,,,
,,,,,,G3,0.429774237,1.702451395,,,
,,,,,,G3,0.250936092,2.823684211,,,
,,,,,,G3,0.424833248,2.102339181,,,
,,,,,,G3,0.391263407,1.876763876,,,
,,,,,,G3,0.380127386,1.968367347,,,
,,,,,,G3,0.357007246,2.14790287,,,
,,,,,,G3,0.278357076,2.046474359,,,
,,,,,,G3,0.389979865,1.938305709,,,
