Sample	Depth	Bcr	Bc_mT	Brh_mT	Bih_mT	Ms_Am^2	Mrs_Am^2	Xhf_m^3	Shape	mass_kg	Ms_Am2/Kg	Mrs_Am2/Kg	Xhf_m3/kg	Mrs/Ms	Bcr/Bc
SSK141284	956.7672	34.2	11.2	26.6	83.1	2.13E-06	3.14E-07	1.61E-10	0.212	0.00875	2.11E-04	3.23E-05	2.31E-08	1.53E-01	3.053571429
SSK141283	957.6816	54.4	18.8	68.1	50.7	2.38E-06	5.78E-07	6.94E-11	0.247	0.00628	3.33E-04	8.71E-05	1.77E-08	2.61E-01	2.893617021
SSK141282	964.9968	51.29	14.4	81.8	77.6	2.78E-06	4.13E-07	2.53E-10	0.692	0.00659	3.78E-04	5.79E-05	4.47E-08	1.53E-01	3.561805556
SSK141281	969.5688	56.99	12.9	67.2	68.2	3.07E-06	5.09E-07	3.09E-10	0.631	0.00635	4.38E-04	7.52E-05	5.52E-08	1.72E-01	4.417829457
SSK141280	978.408	49.19	14.5	58.9	63.4	3.45E-06	5.77E-07	2.98E-10	0.403	0.00659	4.80E-04	8.28E-05	5.15E-08	1.73E-01	3.392413793
SSK141279	987.2472	50.06	11.3	45.9	78.8	4.22E-06	5.92E-07	2.65E-10	0.47	0.00631	6.23E-04	8.89E-05	4.86E-08	1.43E-01	4.430088496
SSK141278	987.8568	46.51	14.5	58.6	122.3	7.00E-06	7.67E-07	2.99E-10	-0.356	0.00698	9.62E-04	1.05E-04	4.88E-08	1.10E-01	3.207586207
SSK141277	989.9904	48.56	13.6	52.7	109.7	6.09E-06	7.27E-07	2.55E-10	0.211	0.00691	8.40E-04	1.01E-04	4.29E-08	1.20E-01	3.570588235
SSK141276	991.5144	51.69	14.2	57.2	102.9	4.05E-06	5.35E-07	2.64E-10	0.561	0.00672	5.60E-04	7.50E-05	4.55E-08	1.34E-01	3.640140845
SSK141275	992.7336	49.47	15	62.4	73.8	3.23E-06	5.17E-07	3.20E-10	0.376	0.00702	4.19E-04	6.92E-05	5.15E-08	1.65E-01	3.298
SSK141274	993.648	46.2	13.8	48.8	107.6	7.46E-06	8.70E-07	2.57E-10	-0.147	0.00708	1.01E-03	1.18E-04	4.22E-08	1.17E-01	3.347826087
SSK141273	994.8672	53.88	16.5	61.8	120.3	6.17E-06	7.60E-07	3.37E-10	-0.048	0.00739	7.96E-04	9.86E-05	5.12E-08	1.24E-01	3.265454545
SSK141272	996.3912	46.83	13.9	55.9	109.7	6.56E-06	7.11E-07	3.09E-10	0.001	0.00659	9.52E-04	1.03E-04	5.32E-08	1.08E-01	3.369064748
SSK141271	1001.5728	39.11	10.9	52	67	5.75E-06	7.80E-07	8.30E-11	-0.109	0.00766	7.13E-04	9.78E-05	1.63E-08	1.37E-01	3.588073394
SSK141270	1003.4016	40.56	13.8	48.6	58.8	3.83E-06	6.49E-07	1.56E-10	0.095	0.00752	4.71E-04	8.22E-05	2.63E-08	1.74E-01	2.939130435
SSK141269	1005.84	44.29	13.6	50.6	96.6	8.78E-06	1.06E-06	2.17E-10	-0.149	0.00718	1.18E-03	1.43E-04	3.60E-08	1.21E-01	3.256617647
