Specimen_ID	Depth_m	Mass_mg	Mass_kg	Bcr_mT	Bc_mT	Brh_mT	Bih_mT	Ms_Am^2	Ms_Am2Kg-1	Mrs_Am^2	Mrs_Am2Kg-1	Xhf_m^3	Xhf_m^3Kg-1	Shape	Mrs/Ms	Bcr/Bc
ssk115_347	943.6	7710	0.006725	42.11	12.5	40.4	44.2	3.66E-06	5.02E-04	7.92E-07	1.13E-04	2.83E-10	4.83E-08	0.098	2.26E-01	3.3688
ssk115_336	951.8	7510	0.006525	48.91	14.9	46.8	53.7	4.55E-06	6.53E-04	9.18E-07	1.36E-04	4.85E-10	8.07E-08	-0.016	2.08E-01	3.282550336
ssk115_337	952.2	6860	0.005875	45.88	13.5	48.6	50.5	4.29E-06	6.81E-04	8.74E-07	1.43E-04	3.78E-10	7.14E-08	-0.015	2.11E-01	3.398518519
ssk115_338	954.5	7560	0.006575	47.58	17	42.1	45.9	3.63E-06	5.09E-04	9.57E-07	1.41E-04	5.77E-10	9.41E-08	0.039	2.77E-01	2.798823529
ssk115_339	955.43	7550	0.006565	43.35	12.2	46.5	46.4	5.24E-06	7.55E-04	1.02E-06	1.51E-04	5.02E-10	8.28E-08	0.015	2.00E-01	3.553278689
ssk115_340	956.47	7060	0.006075	45.23	15.4	48.8	66.7	5.32E-06	8.29E-04	8.96E-07	1.42E-04	4.40E-10	7.93E-08	0.161	1.72E-01	2.937012987
ssk115_341	957.95	7740	0.006755	38.05	11.6	40.4	56.3	4.40E-06	6.09E-04	6.64E-07	9.37E-05	1.91E-10	3.44E-08	-0.181	1.54E-01	3.280172414
ssk115_342	958.34	5060	0.00506	35.96	12.2	41.5	45.1	2.83E-06	5.25E-04	4.93E-07	9.28E-05	2.98E-10	6.73E-08	-0.134	1.77E-01	2.947540984
SSK115_343	959.75	5000	0.005	44.9	14	49.2	56.7	5.08E-06	9.81E-04	9.54E-07	1.86E-04	2.40E-10	5.65E-08	0.1	1.90E-01	3.207142857
SSK115_344	960.95	5505	0.005505	43.52	8.8	106.5	61.4	5.48E-06	9.43E-04	4.28E-07	7.21E-05	1.28E-10	3.08E-08	0.175	7.64E-02	4.945454545
