Specimen_ID	Depth_m	Mass_mg	Mass_kg	Bcr_mT	Bc_mT	Brh_mT	Bih_mT	Ms_Am^2	Ms_Am2Kg-1	Mrs_Am^2	Mrs_Am2Kg-1	Xhf_m^3	Xhf_m^3Kg-1	Shape	Mrs/Ms	Bcr/Bc
SSK115_402	1650.7	5830	0.00583	87.72	13.2	111.9	53.6	1.70E-05	2.89E-03	2.68E-06	4.56E-04	7.20E-11	1.96E-08	0.651	1.58E-01	6.645454545
SSK115_403	1658.2	5240	0.00524	115.6	16.4	126.5	53.6	3.89E-05	7.39E-03	7.84E-06	1.49E-03	1.50E-10	3.67E-08	0.748	2.02E-01	7.048780488
ssk115_404	1658.85	6305	0.006305	104.7	15.9	129.2	58.1	4.92E-05	7.76E-03	8.67E-06	1.37E-03	7.13E-11	1.79E-08	0.657	1.77E-01	6.58490566
ssk115_405	1659.45	6175	0.006175	134.3	30.2	151.6	67.7	1.97E-05	3.14E-03	5.86E-06	9.44E-04	1.46E-10	3.04E-08	0.62	3.00E-01	4.447019868
SSK115_406	1661.54	6050	0.00605	167.1	58	182.2	101.7	1.79E-05	2.93E-03	6.90E-06	1.14E-03	2.11E-10	4.19E-08	0.363	3.88E-01	2.881034483
SSK115_407	1664.5	6200	0.0062	27.78	5.8	37.4	50.2	8.45E-06	1.33E-03	7.89E-07	1.24E-04	3.30E-11	1.21E-08	0.376	9.25E-02	4.789655172
SSK152746	1666.5	4625	0.0062	211.9	61.3	199.6	155.7	2.37E-05	3.79E-03	7.31E-06	1.18E-03	1.31E-10	2.80E-08	0.154	3.10E-01	3.456769984
SSK152747	1667.45	4105	0.0062	212.9	51.7	201.6	82.6	2.52E-05	4.04E-03	1.01E-05	1.63E-03	1.45E-10	3.02E-08	0.586	4.03E-01	4.117988395
SSK152748	1669.52	6735	0.0062	217.7	83.3	200.5	178.2	5.89E-05	9.47E-03	2.13E-05	3.43E-03	3.89E-10	6.96E-08	0.023	3.62E-01	2.613445378
SSK152750	1674	5535	0.0062	207.2	52.7	197.2	97	1.97E-05	3.15E-03	6.43E-06	1.03E-03	-1.86E-13	6.79E-09	0.351	3.28E-01	3.931688805
