Specimen_ID	Depth_m	Bcr	Bc_[mT]	Brh_[mT]	Ms_(Am2/Kg)	Mrs_(Am2/Kg)	Mrs/Ms	Bcr/Bc	Xhf_minus_pot
ssk115_257	914.88	48.65	13.7	53.4	1.24E-03	2.07E-04	1.66E-01	3.551094891	9.47E-08
ssk115_258	925.01	46.21	13.4	52.7	1.33E-03	2.05E-04	1.54E-01	3.448507463	9.41E-08
ssk115_259	932.21	44.59	12.1	44.7	1.24E-03	2.03E-04	1.63E-01	3.685123967	8.14E-08
SSK141169	934.1	49.53	11	46.7	1.15E-03	1.57E-04	1.36E-01	4.502727273	8.92E-08
SSK141170	935.3	43.63	11.8	49.7	9.61E-04	1.38E-04	1.43E-01	3.697457627	6.32E-08
SSK141171	936.4	52.48	13	65.8	9.43E-04	1.25E-04	1.33E-01	4.036923077	8.41E-08
SSK141172_2	936.9	47.45	12.5	52	1.00E-03	1.68E-04	1.67E-01	3.796	7.19E-08
SSK141173_2	937.7	44.16	11	50.5	1.13E-03	1.52E-04	1.35E-01	4.014545455	6.80E-08
SSK141174_2	940.2	34.84	9.9	113	8.16E-04	1.11E-04	1.36E-01	3.519191919	4.79E-08
SSK141177	940.4	35.03	10.4	36.9	6.23E-04	9.05E-05	1.45E-01	3.368269231	2.66E-08
ssk115_261	941.55	37.4	10.5	41.4	7.78E-04	1.14E-04	1.47E-01	3.561904762	3.69E-08
SSK141178_2	942.06	32.57	11.5	47.8	6.07E-03	8.31E-04	1.37E-01	2.832173913	4.76986E-08
ssk115_262	942.25	35.67	10.4	44.3	1.10E-03	1.48E-04	1.35E-01	3.429807692	4.93E-08
ssk115_263	942.46	36.72	9.9	42.3	8.31E-04	1.14E-04	1.37E-01	3.709090909	5.14E-08
ssk115_264	942.7	41.31	11.4	44.8	7.84E-04	1.25E-04	1.60E-01	3.623684211	4.98E-08
ssk115_265	943.57	40	14.8	47.6	1.10E-03	2.25E-04	2.04E-01	2.702702703	2.87E-08
ssk115_266_New	944.15	38.53	11.1	41.7	3.98E-04	6.83E-05	1.71E-01	3.471171171	1.71E-08
ssk115_267	945.13	48.13	10.3	46.9	7.13E-04	1.12E-04	1.57E-01	4.672815534	2.51E-08
ssk115_268	945.7	47.65	11.9	49	6.65E-04	1.21E-04	1.82E-01	4.004201681	3.23E-08
SSK115_269	946.01	39.57	9.9	41.1	7.80E-04	1.20E-04	1.54E-01	3.996969697	3.67E-08
ssk115_270	946.8	48.83	12.1	47.6	6.09E-04	1.13E-04	1.85E-01	4.03553719	3.65E-08
ssk115_271	948.07	38.06	9.7	43.9	6.90E-04	8.90E-05	1.29E-01	3.92371134	3.46E-08
SSK115_272	948.3	34.73	9.5	41.3	1.15E-03	1.61E-04	1.40E-01	3.655789474	4.81E-08
ssk115_273	949.39	37.62	10	41.6	5.21E-04	8.83E-05	1.70E-01	3.762	2.24E-08
ssk115_274	950.63	38.02	11.8	45.7	7.63E-04	1.26E-04	1.65E-01	3.222033898	2.31E-08
ssk115_275	951.1	35.1	9.8	40.4	5.34E-04	8.35E-05	1.56E-01	3.581632653	2.68E-08
ssk115_276	952.3	38.23	9.9	41.7	6.59E-04	9.62E-05	1.46E-01	3.861616162	2.78E-08
ssk115_277	953.9	31.94	8.5	37.9	7.87E-04	1.07E-04	1.35E-01	3.757647059	2.65E-08
SSK141179	955.05	27.79	8.8	33	1.04E-03	1.69E-04	1.63E-01	3.157954545	2.57E-08
ssk115_278	958.46	35.1	8	39.4	9.81E-04	1.13E-04	1.15E-01	4.3875	4.63E-08
SSK141180	958.95	36.3	9.6	53.6	9.38E-04	1.16E-04	1.24E-01	3.78125	4.52E-08
SSK141181	959.3	33.72	6.8	55.8	9.36E-04	9.24E-05	9.87E-02	4.958823529	4.69E-08
ssk115_279_New	959.69	31.97	9	38	1.23E-03	1.62E-04	1.32E-01	3.552222222	4.76E-08
SSK141182	959.95	33.13	9.4	35	7.33E-04	9.57E-05	1.31E-01	3.524468085	2.43E-08
ssk115_280	960.15	30.68	8.1	37.1	9.38E-04	1.01E-04	1.08E-01	3.787654321	2.10E-08
ssk115_281	961.6	34.58	7.9	39.7	7.60E-04	8.73E-05	1.15E-01	4.37721519	4.04E-08
ssk115_282	963.48	34.56	8	41.4	9.49E-04	9.32E-05	9.83E-02	4.32	1.63E-08
ssk115_283	965.28	34.5	8.2	44.8	6.12E-04	7.38E-05	1.21E-01	4.207317073	1.75E-08
ssk115_284	967.97	34.44	7.9	43.2	9.94E-04	1.01E-04	1.01E-01	4.359493671	3.25E-08
ssk115_285	969.75	35.53	8.1	45.1	9.32E-04	8.91E-05	9.56E-02	4.386419753	5.03E-08
SSK115_286	971.55	51.17	10.9	47.6	7.16E-04	1.27E-04	1.77E-01	4.694495413	3.48E-08
