Specimen_ID	Depth_m	Mass_[mg]	Mass_(kg)	Bcr_[mT]	Bc_[mT]	Brh_[mT]	Bih_[mT]	Ms_[Am^2]	Ms_(Am2/kg)	Mr_[Am^2]	Mrs_(Am2/kg)	Xhf_[m^3]	Xhf_[m^3/kg]	Shape	Mrs/Ms	Bcr/Bc
SSK115_290	1621.69	6830	0.00683	44.61	9.6	71.6	50.8	9.62E-06	1.38E-03	1.24E-06	1.78E-04	2.53E-11	9.90E-09	0.643	1.29E-01	4.646875
ssk141_237	1623.65	6905	0.006905	104.1	13.2	197.3	73.1	4.40E-06	5.96E-04	7.39E-07	1.03E-04	1.15E-10	2.27E-08	1.046	1.72E-01	7.886363636
ssk141_236	1624.15	6905	0.006905	64.84	10.7	75.6	58.2	7.97E-06	1.11E-03	1.20E-06	1.69E-04	1.13E-10	2.24E-08	0.788	1.52E-01	6.059813084
SSK115_293	1624.63	4370	0.00437	80.31	13	98.8	56.2	1.84E-05	4.17E-03	3.44E-06	7.82E-04	2.92E-11	1.64E-08	0.79	1.87E-01	6.177692308
ssk141_235	1625.08	4845	0.004845	230.8	64.9	229.3	97.8	1.70E-05	3.47E-03	7.14E-06	1.47E-03	2.90E-10	6.84E-08	0.57	4.22E-01	3.55624037
ssk141_234	1625.85	6735	0.006735	41.12	9.2	60.8	54	1.06E-05	1.53E-03	1.44E-06	2.09E-04	2.18E-11	9.41E-09	0.524	1.37E-01	4.469565217
ssk141_233	1626.5	6745	0.006745	35.97	9.3	47.6	51.8	1.24E-05	1.80E-03	1.66E-06	2.41E-04	-2.12E-12	5.85E-09	0.302	1.34E-01	3.867741935
ssk115_294	1628.19	5330	0.00533	49.68	9.5	34.2	20.7	1.58E-06	2.43E-04	4.60E-07	8.19E-05	-8.19E-12	6.40E-09	0.252	3.38E-01	5.229473684
ssk115_295	1628.33	4160	0.00416	48.48	9.2	64.1	60.3	5.69E-06	1.33E-03	7.14E-07	1.66E-04	-1.19E-11	7.31E-09	0.339	1.25E-01	5.269565217
SSK115_296	1629.7	5490	0.00549	51.66	9.2	74.2	70.6	1.35E-06	2.14E-04	1.43E-07	2.18E-05	-6.89E-12	6.45E-09	0.314	1.02E-01	5.615217391
ssk141_232	1630.5	5105	0.005105	263.9	135.8	271	167.6	2.09E-05	4.04E-03	1.15E-05	2.25E-03	2.68E-10	6.06E-08	0.184	5.56E-01	1.943298969
ssk141_231	1630.91	6135	0.006135	42.44	7.5	68.4	66.4	6.62E-06	1.03E-03	5.75E-07	8.86E-05	8.72E-12	8.20E-09	0.382	8.59E-02	5.658666667
SSK115_297	1631.32	4650	0.00465	144.6	30.5	130.9	76.6	1.08E-06	1.95E-04	3.22E-07	6.43E-05	-7.13E-12	7.56E-09	0.482	3.30E-01	4.740983607
SSK115_298	1632.4	3690	0.00369	129.65	19.8	130.5	70.5	6.43E-06	1.70E-03	1.42E-06	3.79E-04	-2.81E-11	3.85E-09	0.629	2.23E-01	6.547979798
SSK115_292	1632.95	5820	0.00582	58.42	12.3	80	61.6	1.62E-06	2.48E-04	2.46E-07	3.83E-05	2.43E-12	7.69E-09	0.47	1.54E-01	4.749593496
SSK115_299	1634.19	6640	0.00664	59.42	11.4	81.6	68.5	1.14E-05	1.69E-03	1.47E-06	2.18E-04	7.02E-11	1.69E-08	0.51	1.29E-01	5.212280702
SSK115_300	1635.38	6110	0.00611	176.6	51.8	316.4	104.6	2.00E-05	3.24E-03	6.37E-06	1.04E-03	7.24E-11	1.88E-08	0.713	3.20E-01	3.409266409
SSK115_301	1636.28	5690	0.00569	179.7	51	315.2	88.2	2.61E-05	4.56E-03	9.66E-06	1.69E-03	6.18E-11	1.83E-08	0.889	3.72E-01	3.523529412
ssk115_291	1637.55	4610	0.00461	217.5	104.9	292.5	135.8	1.58E-05	3.39E-03	8.04E-06	1.74E-03	6.02E-11	2.22E-08	0.411	5.13E-01	2.073403241
SSK115_302	1638.6	5610	0.00561	190.99	75.5	209.9	106.5	1.82E-05	3.21E-03	8.76E-06	1.56E-03	3.32E-11	1.35E-08	0.404	4.85E-01	2.529668874
ssk115_256	1639.57	4650	0.00465	206.3	107.9	252.6	139.3	1.90E-05	4.05E-03	9.67E-06	2.07E-03	1.07E-10	3.21E-08	0.286	5.12E-01	1.911955514
SSK115_303	1640.65	6810	0.00681	213.6	87.6	281.2	144.7	2.46E-05	3.59E-03	9.47E-06	1.39E-03	1.88E-10	3.38E-08	0.323	3.87E-01	2.438356164
ssk115_260	1641.6	3860	0.00386	234.4	130.1	271.1	158.8	1.96E-05	5.03E-03	1.07E-05	2.77E-03	1.55E-10	5.11E-08	0.174	5.50E-01	1.801691007
ssk115_304	1642.95	4910	0.00491	229	128.5	375.4	171	1.32E-05	2.65E-03	5.27E-06	1.07E-03	3.98E-11	1.67E-08	0.195	4.03E-01	1.782101167
ssk115_305	1643.5	3860	0.00386	220.8	127.2	374.7	168.2	1.46E-05	3.74E-03	5.80E-06	1.50E-03	3.36E-11	1.97E-08	0.203	4.00E-01	1.735849057
ssk115_306	1644.37	4630	0.00463	202.95	108.3	359.2	148	1.35E-05	2.88E-03	4.96E-06	1.07E-03	1.54E-11	1.25E-08	0.265	3.70E-01	1.873961219
ssk115_307	1645.7	5530	0.00553	107.2	24.8	209.4	73.2	2.07E-05	3.71E-03	5.43E-06	9.78E-04	1.70E-11	1.07E-08	0.947	2.63E-01	4.322580645
SSK115_312	1647.5	6100	0.0061	117.9	24.1	165	66.6	3.84E-06	6.01E-04	1.08E-06	1.73E-04	-1.58E-12	6.68E-09	0.844	2.88E-01	4.892116183
SSK115_308	1649.4	4960	0.00496	297.9	66.4	250.3	101.2	1.72E-05	3.43E-03	7.66E-06	1.54E-03	4.56E-11	1.77E-08	0.519	4.49E-01	4.486445783
ssk115_309	1651.3	8710	0.00871	140.3	35.7	204.6	81.7	2.45E-05	2.78E-03	7.98E-06	9.13E-04	1.91E-11	6.96E-09	0.765	3.28E-01	3.929971989
SSK115_287	1652.87	5980	0.00598	194.83	97.3	275.1	101.3	1.42E-05	2.35E-03	8.25E-06	1.38E-03	5.98E-11	1.71E-08	0.529	5.87E-01	2.002363823
SSK115_288	1653.9	6810	0.00681	214.9	122.9	350	152	2.03E-05	2.96E-03	1.00E-05	1.47E-03	4.29E-11	1.25E-08	0.36	4.96E-01	1.748576078
ssk115_310	1654.9	5710	0.00571	163.3	62.5	281.2	110.8	1.96E-05	3.40E-03	7.43E-06	1.30E-03	4.13E-11	1.46E-08	0.608	3.81E-01	2.6128
SSK115_335	1657.3	4870	0.00487	288.9	72.2	245.1	78.7	1.20E-05	2.43E-03	6.64E-06	1.36E-03	9.06E-11	2.73E-08	0.659	5.60E-01	4.001385042
ssk115_311	1658.17	8470	0.00847	179.7	59.1	254.7	88.1	1.45E-05	1.68E-03	6.47E-06	7.60E-04	4.16E-11	9.82E-09	0.693	4.53E-01	3.040609137
