DEPTH	CALI	CORE_POR	DT	GR	LLD	LLS	MSFL	NPHI	RHOB	CORE_KH	CORE_KV	MD_m	RFT	TVDSS	UTME	UTMN
1219.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.210693	-999.25	1208.533814	400940.1875	87050.71875
1219.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.310791	-999.25	1208.633423	400940.1875	87050.71094
1219.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.410767	-999.25	1208.733154	400940.1875	87050.71094
1219.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.510864	-999.25	1208.832764	400940.1875	87050.70313
1219.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.61084	-999.25	1208.932373	400940.1875	87050.69531
1219.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.710938	-999.25	1209.031982	400940.1875	87050.69531
1219.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.810913	-999.25	1209.131714	400940.1875	87050.6875
1219.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1219.911011	-999.25	1209.231323	400940.1875	87050.67969
1220	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.010986	-999.25	1209.330933	400940.1875	87050.67969
1220.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.111084	-999.25	1209.430542	400940.1875	87050.67188
1220.2	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.211182	-999.25	1209.530273	400940.1875	87050.66406
1220.3	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.311157	-999.25	1209.629883	400940.1875	87050.66406
1220.4	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.411255	-999.25	1209.729492	400940.1875	87050.65625
1220.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.511231	-999.25	1209.829224	400940.1875	87050.64844
1220.6	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.611328	-999.25	1209.928833	400940.1875	87050.64844
1220.7	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.711304	-999.25	1210.028442	400940.1875	87050.64063
1220.8	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.811401	-999.25	1210.128052	400940.1875	87050.64063
1220.9	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1220.911377	-999.25	1210.227783	400940.1875	87050.63281
1221	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1221.011475	-999.25	1210.327393	400940.1875	87050.625
1221.1	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1221.111572	-999.25	1210.427002	400940.1875	87050.625
