Sample	Depth	Bcr	Bc_mT	Brh_mT	Bih_mT	Ms_Am^2	Mrs_Am^2	Xhf_m^3	Shape	mass_kg	Ms_Am2/Kg	Mrs_Am2/Kg	Xhf_m3/kg	Mrs/Ms	Bcr/Bc
SSK152768	803.06	10.69	15.5	369.6	249.6	-1.48E-07	9.60E-09	-4.79E-11	-0.755	0.005575	-7.79E-05	-3.87E-06	-1.14E-09	4.97E-02	0.689677419
SSK141248	803.45	22.69	7.2	46.4	56.3	5.90E-06	6.23E-07	1.02E-10	-0.026	0.003955	1.42E-03	1.50E-04	3.63E-08	1.05E-01	3.151388889
SSK141249	804.3	16.32	12.6	292.3	82.5	6.69E-07	5.34E-08	4.15E-11	-1.92	0.005395	7.09E-05	4.11E-06	1.54E-08	5.80E-02	1.295238095
SSK141250	805.31	26.7	10.2	96.9	56.6	2.48E-06	2.19E-07	1.18E-11	-0.366	0.005035	4.36E-04	3.73E-05	1.06E-08	8.56E-02	2.617647059
SSK141251	806.5	21.58	4.5	138.5	55.2	1.64E-06	1.49E-07	-3.04E-11	-0.096	0.005475	2.47E-04	2.15E-05	2.04E-09	8.70E-02	4.795555556
SSK152761_810-815_DC	812	17.61	8.7	26.4	45.8	1.50E-04	2.42E-05	1.13E-10	-0.239	0.003445	4.35E-02	7.02E-03	4.49E-08	1.61E-01	2.024137931
SSK152763_810-815_DC	814	17.12	7.6	28.2	48.7	1.24E-04	1.77E-05	9.97E-11	-0.197	0.003315	3.73E-02	5.33E-03	4.26E-08	1.43E-01	2.252631579
SSK152762_815-820_DC	817	17.5	8.4	26.1	51.9	1.10E-04	1.64E-05	8.84E-11	-0.565	0.003345	3.28E-02	4.89E-03	3.89E-08	1.49E-01	2.083333333
SSK152764_815-820_DC	819	19.69	8.7	31.1	41.8	9.65E-05	1.64E-05	1.29E-10	-0.084	0.003185	3.02E-02	5.14E-03	5.36E-08	1.70E-01	2.263218391
SSK141252	821.9	92.87	10.2	102.7	84.5	2.00E-06	1.45E-07	1.37E-10	-1.725	0.006145	2.79E-04	1.85E-05	2.91E-08	6.64E-02	9.104901961
SSK141253	822.56	30.55	9.5	279.2	62.8	1.02E-06	6.04E-08	5.86E-11	-1.013	0.005895	1.24E-04	4.95E-06	1.70E-08	3.98E-02	3.215789474
SSK141254	823.67	22.03	9.6	181.2	49.4	2.02E-06	1.22E-07	-1.03E-11	-0.645	0.007365	2.35E-04	1.23E-05	4.24E-09	5.24E-02	2.294791667
SSK141255	824.7	27.43	7.8	346.1	79.6	5.19E-06	4.20E-07	5.71E-11	-0.131	0.006525	7.52E-04	5.96E-05	1.51E-08	7.93E-02	3.516666667
SSK141256	825.15	28.53	8.2	50.6	55.5	2.12E-06	2.76E-07	3.37E-11	-0.196	0.006975	2.63E-04	3.51E-05	1.08E-08	1.33E-01	3.479268293
SSK141257	825.56	27.85	10.7	37.4	50.7	9.68E-07	1.57E-07	-4.87E-12	-0.35	0.006615	1.03E-04	1.90E-05	5.55E-09	1.85E-01	2.602803738
SSK141258	826.31	23.59	12.1	47.2	51.9	1.94E-06	2.95E-07	-2.89E-11	-0.461	0.006045	2.74E-04	4.36E-05	2.09E-09	1.60E-01	1.949586777
SSK141259	827.1	27.71	8.7	169.7	48.8	1.09E-06	1.11E-07	2.20E-13	-0.51	0.006005	1.34E-04	1.33E-05	6.96E-09	9.93E-02	3.185057471
SSK141260	827.77	32.7	8	65.7	105.4	3.36E-06	2.69E-07	1.42E-11	-0.643	0.005565	5.52E-04	4.27E-05	1.00E-08	7.74E-02	4.0875
SSK141261	829.35	29.33	5.9	200.9	78.9	1.85E-06	1.42E-07	1.54E-10	0.66	0.007165	2.18E-04	1.55E-05	2.73E-08	7.09E-02	4.971186441
SSK141262	830.5	31.57	7.7	55.1	75.2	4.11E-06	4.30E-07	2.08E-10	0.216	0.005305	7.21E-04	7.52E-05	4.70E-08	1.04E-01	4.1
SSK152765	831.1	30.27	9.7	60.4	36.7	2.06E-06	4.59E-07	8.91E-11	0.597	0.005885	3.01E-04	7.27E-05	2.22E-08	2.41E-01	3.120618557
SSK152760_830-835_DC	832.5	18.67	9.1	27.7	43.4	8.52E-05	1.55E-05	9.02E-11	-0.191	0.003665	2.32E-02	4.22E-03	3.60E-08	1.82E-01	2.051648352
SSK152766_835-837_DC	836	20.2	7.8	33.5	44.1	6.49E-05	9.77E-06	7.63E-11	-0.127	0.003325	1.94E-02	2.93E-03	3.54E-08	1.51E-01	2.58974359
SSK152767_DC	837	20.6	8.5	36.6	44.2	7.35E-05	1.17E-05	6.98E-11	-0.277	0.003055	2.40E-02	3.82E-03	3.65E-08	1.59E-01	2.423529412
