Sample	Depth_m	Bc_[mT]	Ms_(Am2/Kg)	Mrs_(Am2/Kg)	Xhf_(m3/kg)	Mrs/Ms	Bcr/Bc
SSK141302	890	9	1.27E-03	1.74E-04	2.45E-08	0.137178408	3.061111111
SSK141301	893.6	8.9	4.00E-03	5.26E-04	1.49E-08	0.131518726	3.134831461
SSK141300	896.69	8.65	2.93E-03	3.23E-05	1.32E-09	0.011029508	3.073988439
SSK141299	898.15	9.1	8.53E-04	1.23E-04	2.61E-08	0.144337036	3.113186813
SSK141298	900.76	10.4	5.14E-05	1.40E-05	1.98E-09	0.272264014	2.6875
SSK141297	903.97	9.1	4.82E-04	7.39E-05	2.95E-09	0.153198257	3.114285714
SSK141296	905.7	7.3	5.91E-04	6.76E-05	-1.49E-09	0.114243867	3.557534247
SSK141295	907.85	8.3	8.82E-04	1.16E-04	2.39E-09	0.132054176	3.410843373
SSK141294	910.7	8.6	1.38E-04	2.75E-05	9.18E-09	0.198952493	3.537209302
SSK141293	912.7	2.1	6.37E-05	-2.35E-07	-1.64E-09	-0.003688903	5.114285714
SSK141292	913.65	11.2	1.76E-04	1.90E-05	2.71E-08	0.107897755	2.677678571
SSK141310	915.05	7.8	5.73E-04	7.31E-05	1.09E-09	0.127486042	3.56025641
SSK141309	917.4	8.8	1.10E-03	1.54E-04	-3.62E-10	0.140497358	3.244318182
SSK141308	918.54	5.7	3.20E-04	3.01E-05	2.40E-08	0.094182575	4.5
SSK141307	920.2	4.2	1.16E-04	1.60E-05	3.30E-09	0.138151505	6.371428571
SSK141306	921.03	7.2	8.05E-04	9.36E-05	3.91E-08	0.116364153	3.836111111
SSK141305	922.59	7.4	2.58E-04	3.33E-05	1.39E-08	0.129130762	3.432432432
SSK141304	924.81	8.7	2.98E-05	1.38E-05	7.59E-09	0.462951623	3.186206897
SSK141303	927.5	7.6	2.36E-04	3.45E-05	1.53E-08	0.146259858	3.477631579
SSK152755	929.5	4.7	2.37E-03	1.02E-04	4.91E-08	4.31E-02	5.212765957
SSK141311	931.9	9.8	4.46E-04	4.59E-05	6.65E-08	0.10298905	2.787755102
SSK152756	933	9	1.91E-05	3.79E-05	3.44E-08	1.99E+00	3.474444444
SSK152757	934.74	8.5	9.08E-04	8.58E-05	6.37E-08	9.45E-02	3.781176471
SSK152758	937.74	9.6	4.74E-04	1.01E-04	7.45E-08	2.12E-01	3.246875
SSK152759	939.48	10.5	5.05E-04	1.03E-04	5.68E-08	2.03E-01	3.151428571
