Sample	Depth	Bcr	Bc_mT	Brh_mT	Bih_mT	Ms_Am^2	Mrs_Am^2	Xhf_m^3	Shape	mass_kg	Ms_Am2/Kg	Mrs_Am2/Kg	Xhf_m3/kg	Mrs/Ms	Bcr/Bc
SSK141223	997.42	55.83	15.2	60.9	69.5	3.87E-06	7.15E-07	1.96E-10	-0.009	0.005015	7.15E-04	1.36E-04	3.32E-07	1.91E-01	3.67E+00
SSK141222	1000.52	50.9	16.6	55.7	65.8	4.96E-06	9.99E-07	2.42E-10	0.196	0.006535	7.15E-04	1.48E-04	3.96E-07	2.07E-01	3.07E+00
SSK141221	1002.1	48.52	16.4	56.5	74	4.86E-06	8.52E-07	2.58E-10	0.144	0.004665	9.80E-04	1.76E-04	3.06E-07	1.79E-01	2.96E+00
SSK141220	1004.3	50.66	14.2	62.1	69.3	4.92E-06	9.25E-07	2.66E-10	-0.087	0.005845	7.93E-04	1.53E-04	3.88E-07	1.93E-01	3.57E+00
SSK141219	1006.69	53.07	15	59.2	70	5.77E-06	1.01E-06	3.15E-10	0.216	0.005625	9.75E-04	1.74E-04	3.66E-07	1.78E-01	3.54E+00
SSK141218	1007.34	42.7	11.3	375.8	109.8	1.16E-06	1.11E-07	1.65E-10	0.369	0.005505	1.59E-04	1.45E-05	1.30E-06	9.13E-02	3.78E+00
SSK141217	1009.43	56.52	18.1	59.6	73.7	3.70E-06	7.45E-07	2.36E-10	0.109	0.004425	7.71E-04	1.61E-04	3.60E-07	2.09E-01	3.12E+00
SSK141216	1011.3	46.3	14	51.8	62.3	4.38E-06	8.06E-07	2.17E-10	0.267	0.005565	7.36E-04	1.39E-04	3.51E-07	1.89E-01	3.31E+00
SSK141215	1012.69	21.5	6.1	30.9	40.6	6.30E-06	1.20E-06	2.38E-10	0.84	0.005695	1.06E-03	2.05E-04	2.65E-07	1.94E-01	3.52E+00
SSK141263	1020.77	54.8	17.6	65.1	74.5	5.34E-06	1.06E-06	3.71E-10	0.19	0.005465	9.25E-04	1.88E-04	4.46E-07	2.04E-01	3.11E+00
SSK141264	1021.15	51.51	16.3	47.2	62.5	4.35E-06	8.71E-07	1.88E-10	0.05	0.005405	7.52E-04	1.55E-04	3.05E-07	2.07E-01	3.16E+00
SSK141265	1022.4	51.66	18.5	56.8	60.9	4.38E-06	1.01E-06	1.71E-10	0.302	0.006165	6.64E-04	1.59E-04	3.20E-07	2.39E-01	2.79E+00
SSK141266	1024.4	52.47	17.3	55.2	63.2	3.83E-06	7.88E-07	1.58E-10	0.179	0.005385	6.58E-04	1.41E-04	3.03E-07	2.14E-01	3.03E+00
SSK141267	1047.51	36.42	8.5	264.2	46.7	3.43E-06	5.96E-07	1.60E-10	0.512	0.006615	4.75E-04	8.54E-05	4.24E-07	1.80E-01	4.28E+00
SSK141268	1049.45	35.66	11	42.2	42.2	2.30E-06	4.76E-07	1.19E-10	0.384	0.005115	3.94E-04	8.70E-05	4.08E-07	2.21E-01	3.24E+00
SSK152741	1054.9	34.09	8.2	36	54.1	3.46E-06	4.84E-07	7.16E-11	0.471	0.004785	6.63E-04	9.46E-05	1.71E-07	1.43E-01	4.16E+00
SSK152742	1058.8	40.08	14.7	43.9	58.1	3.13E-06	5.17E-07	9.76E-11	-0.792	0.004315	6.59E-04	1.13E-04	2.11E-07	1.71E-01	2.73E+00
SSK152743	1060.16	39.03	7.9	204.3	58.9	4.54E-06	6.22E-07	9.19E-11	0.145	0.005415	7.86E-04	1.09E-04	1.70E-07	1.39E-01	4.94E+00
SSK152744	1062.43	38.63	6.6	55.1	78.4	5.07E-06	3.49E-07	8.67E-11	0.005	0.004485	1.07E-03	7.09E-05	1.20E-07	6.64E-02	5.85E+00
SSK152745	1067.25	38.65	11.7	190.3	33	2.21E-06	5.15E-07	1.48E-10	1.206	0.004795	4.01E-04	1.01E-04	4.72E-07	2.51E-01	3.30E+00
